rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_top_price,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,close_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,96.1262813339901,84.64661498708008,603787,新日股份,bottom_area,2026-04-30,11.96,17.11,2026-04-27,11.61,3.014642549526283,3.7037037037037015,32.14494447691409,30.099357101110453,False,0.6734,1.5234,2,2,2,100.0,56.730295566502456,92.85714285714283,16.985357450473717,3.014642549526283,历史2/2次成功; 当前距低点3.01%; 最新日涨幅0.67%; 状态bottom_area; 底部未确认
2,92.9698935796707,80.80332924936697,300775,三角防务,bottom_area,2026-04-30,29.82,40.25,2026-04-30,29.15,2.2984562607204175,3.7049742710120133,27.577639751552795,25.913043478260867,False,1.8791,4.9722,1,1,1,100.0,37.224782386072704,37.224782386072704,17.701543739279586,2.2984562607204175,历史1/1次成功; 当前距低点2.30%; 最新日涨幅1.88%; 状态bottom_area; 底部未确认
3,91.30052373923671,78.07229108969389,300779,惠城环保,bottom_area,2026-04-30,69.82,94.68,2026-04-29,68.85,1.4088598402323878,4.03776325344953,27.28136882129279,26.25686523024927,False,-0.852,2.7108,1,1,1,100.0,34.11016949152542,34.11016949152542,18.591140159767612,1.4088598402323878,历史1/1次成功; 当前距低点1.41%; 最新日涨幅-0.85%; 状态bottom_area; 底部未确认
4,89.52617173856004,76.43336507361009,603277,银都股份,bottom_area,2026-04-30,13.03,17.69,2026-04-24,12.86,1.3219284603421457,3.0326594090202224,27.30356133408706,26.342566421707186,False,-0.0767,0.3489,1,1,1,100.0,24.23312883435582,24.23312883435582,18.678071539657857,1.3219284603421457,历史1/1次成功; 当前距低点1.32%; 最新日涨幅-0.08%; 状态bottom_area; 底部未确认
5,88.36261573774314,78.1688970158989,601628,中国人寿,bottom_area,2026-04-30,36.67,50.7,2026-04-07,35.51,3.2666854407209343,9.011546043368075,29.960552268244584,27.67258382642998,True,0.0819,0.3509,1,1,1,100.0,25.736235595390532,25.736235595390532,16.733314559279066,3.2666854407209343,历史1/1次成功; 当前距低点3.27%; 最新日涨幅0.08%; 状态bottom_area; 底部已确认
6,86.88555028519012,75.30740747953267,002315,焦点科技,bottom_area,2026-04-30,30.44,44.42,2026-04-29,29.8,2.147651006711411,2.9865771812080553,32.913102206213416,31.47230977037371,False,0.0657,2.7389,2,3,2,66.66666666666666,44.71712423746247,57.129586623316285,17.85234899328859,2.147651006711411,历史2/3次成功; 当前距低点2.15%; 最新日涨幅0.07%; 状态bottom_area; 底部未确认
7,85.51251157488468,71.48067489049788,300858,科拓生物,bottom_area,2026-04-30,17.85,24.5,2026-04-30,17.82,0.16835016835017472,2.693602693602696,27.26530612244898,27.142857142857135,False,-2.4057,8.2568,1,1,1,100.0,23.303834808259573,23.303834808259573,19.831649831649827,0.16835016835017472,历史1/1次成功; 当前距低点0.17%; 最新日涨幅-2.41%; 状态bottom_area; 底部未确认
8,84.90080822454047,75.89311900797279,688109,品茗科技,bottom_area,2026-04-30,95.51,128.0,2026-04-28,91.98,3.837790824092195,5.24026962383126,28.140624999999996,25.382812499999996,False,-0.0941,0.9517,2,2,2,100.0,35.50151659625266,37.459584295612025,16.162209175907805,3.837790824092195,历史2/2次成功; 当前距低点3.84%; 最新日涨幅-0.09%; 状态bottom_area; 底部未确认
9,84.88594228671634,76.47519706104097,688552,航天南湖,bottom_area,2026-04-30,40.08,53.79,2026-04-30,38.44,4.266389177939648,5.359001040582732,28.53690277003161,25.48800892359175,False,1.0845,8.3141,2,2,2,100.0,21.411636487867607,21.800367421922857,15.733610822060355,4.266389177939648,历史2/2次成功; 当前距低点4.27%; 最新日涨幅1.08%; 状态bottom_area; 底部未确认
10,76.99410700465091,64.81457672246167,688326,经纬恒润,bottom_area,2026-04-30,89.19,125.0,2026-04-30,88.7,0.5524239007891711,2.976324689966179,29.04,28.648,False,-2.1181,2.5874,2,3,2,66.66666666666666,31.061486825775873,34.48938586529221,19.44757609921083,0.5524239007891711,历史2/3次成功; 当前距低点0.55%; 最新日涨幅-2.12%; 状态bottom_area; 底部未确认
11,70.19979310344827,58.4998275862069,600636,退市国化,bottom_area,2026-04-30,4.51,6.3,2026-04-29,4.51,0.0,2.660753880266078,28.41269841269841,28.41269841269841,False,0.0,0.0,1,2,1,50.0,32.90229885057471,32.90229885057471,20.0,0.0,历史1/2次成功; 当前距低点0.00%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
