rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,93.6593310391916,83.55691868405084,688300,联瑞新材,bottom_area,2023-08-16,42.12,2023-08-14,41.55,1.3718411552346579,3.7304452466907447,28.974358974358978,False,0.0475,0.2936,2,2,2,100.0,24.003852247235756,26.809910956252438,13.628158844765343,1.3718411552346579,历史2/2次成功; 当前距低点1.37%; 最新日涨幅0.05%; 状态bottom_area; 底部未确认
2,86.22330614321606,75.68427135678391,002150,正泰电源,bottom_area,2023-08-16,14.0,2023-08-16,13.93,0.5025125628140724,3.3022254127781827,27.447916666666668,False,-1.8233,1.1513,1,1,1,100.0,164.87025948103792,164.87025948103792,14.497487437185926,0.5025125628140724,历史1/1次成功; 当前距低点0.50%; 最新日涨幅-1.82%; 状态bottom_area; 底部未确认
3,85.21710836514593,74.61327011466172,688328,深科达,bottom_area,2023-08-16,21.82,2023-08-16,21.74,0.367985280588785,2.5298988040478414,30.918334922148077,False,-1.1328,3.4785,2,2,2,100.0,25.92621803443088,29.170984455958543,14.632014719411215,0.367985280588785,历史2/2次成功; 当前距低点0.37%; 最新日涨幅-1.13%; 状态bottom_area; 底部未确认
4,83.44488749121174,75.59806797179024,002864,盘龙药业,bottom_area,2023-08-16,34.9,2023-08-08,34.15,2.1961932650073206,7.349926793557827,27.340425531914896,True,-2.7042,4.6891,1,1,1,100.0,21.26553019358567,21.26553019358567,12.803806734992678,2.1961932650073206,历史1/1次成功; 当前距低点2.20%; 最新日涨幅-2.70%; 状态bottom_area; 底部已确认
5,82.29528159873513,72.66865897620764,600935,华塑股份,bottom_area,2023-08-16,3.68,2023-06-27,3.65,0.8219178082191849,7.671232876712336,28.571428571428577,True,-0.8086,0.2488,1,1,1,100.0,28.50877192982458,28.50877192982458,14.178082191780813,0.8219178082191849,历史1/1次成功; 当前距低点0.82%; 最新日涨幅-0.81%; 状态bottom_area; 底部已确认
6,81.66575666386288,71.32821263874314,603015,弘讯科技,bottom_area,2023-08-16,8.48,2023-08-16,8.46,0.23640661938533772,2.482269503546088,29.38230383973288,False,-1.7381,0.8167,1,1,1,100.0,23.318385650224208,23.318385650224208,14.763593380614662,0.23640661938533772,历史1/1次成功; 当前距低点0.24%; 最新日涨幅-1.74%; 状态bottom_area; 底部未确认
7,81.37073775899428,71.00390384289827,002519,银河电子,bottom_area,2023-08-16,5.38,2023-08-16,5.37,0.18621973929236102,1.675977653631282,27.628032345013477,False,-1.4652,0.9717,1,1,1,100.0,20.959595959595962,20.959595959595962,14.813780260707638,0.18621973929236102,历史1/1次成功; 当前距低点0.19%; 最新日涨幅-1.47%; 状态bottom_area; 底部未确认
8,80.37855762416244,73.52783631144418,002045,国光电器,bottom_area,2023-08-16,13.62,2023-08-14,13.26,2.7149321266968283,8.974358974358971,28.20790471034109,True,-4.0169,3.8472,3,4,3,75.0,30.875707313510432,33.77563329312426,12.285067873303172,2.7149321266968283,历史3/4次成功; 当前距低点2.71%; 最新日涨幅-4.02%; 状态bottom_area; 底部已确认
9,80.29985271049149,70.7509484756641,688143,长盈通,bottom_area,2023-08-16,28.6,2023-08-15,28.4,0.7042253521126861,2.887323943661973,32.04115817181144,False,-1.5829,0.6503,1,1,1,100.0,25.949367088607595,25.949367088607595,14.295774647887313,0.7042253521126861,历史1/1次成功; 当前距低点0.70%; 最新日涨幅-1.58%; 状态bottom_area; 底部未确认
10,79.02561253502819,69.08328663031212,300604,长川科技,bottom_area,2023-08-16,35.35,2023-08-16,35.25,0.2836879432624154,4.2836879432624055,29.031608616871353,False,-3.1507,1.9283,3,4,3,75.0,26.210188929840978,36.28082648300379,14.716312056737586,0.2836879432624154,历史3/4次成功; 当前距低点0.28%; 最新日涨幅-3.15%; 状态bottom_area; 底部未确认
11,77.83102657908917,71.93746878057505,002219,新里程,bottom_area,2023-08-16,3.79,2023-08-07,3.67,3.2697547683923736,6.267029972752043,29.42307692307693,False,-1.3021,0.3599,1,1,1,100.0,23.938223938223942,23.938223938223942,11.730245231607626,3.2697547683923736,历史1/1次成功; 当前距低点3.27%; 最新日涨幅-1.30%; 状态bottom_area; 底部未确认
