rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,76.22108399161804,72.4141184185476,000157,中联重科,bottom_area,2021-07-19,7.97,2021-07-19,7.79,2.3106546854942196,3.8510911424903695,30.57040998217469,False,-1.8473,1.6866,1,1,1,100.0,14.744145706851702,14.744145706851702,7.689345314505782,2.3106546854942196,历史1/1次成功; 当前距低点2.31%; 最新日涨幅-1.85%; 状态bottom_area; 底部未确认
2,75.8098492820112,69.58603254351804,605319,无锡振华,bottom_area,2021-07-19,15.91,2021-07-19,15.83,0.5053695514845236,2.210991787744786,27.451879010082493,False,-1.6687,5.1532,1,1,1,100.0,17.248790972595383,17.248790972595383,9.494630448515478,0.5053695514845236,历史1/1次成功; 当前距低点0.51%; 最新日涨幅-1.67%; 状态bottom_area; 底部未确认
3,73.63340912822714,67.86592537141543,300771,智莱科技,bottom_area,2021-07-19,18.18,2021-07-19,18.05,0.7202216066481939,3.656509695290859,27.799999999999997,False,-2.8327,5.1791,1,1,1,100.0,10.634573304157549,10.634573304157549,9.279778393351807,0.7202216066481939,历史1/1次成功; 当前距低点0.72%; 最新日涨幅-2.83%; 状态bottom_area; 底部未确认
