rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,75.80575291958766,73.47370047617562,000600,建投能源,bottom_area,2022-07-20,5.23,2022-07-19,5.06,3.3596837944664197,6.126482213438746,27.71428571428572,False,1.5534,7.9769,1,1,1,100.0,10.826771653543304,10.826771653543304,6.640316205533581,3.3596837944664197,历史1/1次成功; 当前距低点3.36%; 最新日涨幅1.55%; 状态bottom_area; 底部未确认
2,73.13287002366475,71.81812179852022,000505,京粮控股,bottom_area,2022-07-20,8.74,2022-07-15,8.4,4.047619047619046,5.952380952380952,29.173693086003365,False,0.1145,1.0594,1,1,1,100.0,10.358565737051803,10.358565737051803,5.952380952380955,4.047619047619046,历史1/1次成功; 当前距低点4.05%; 最新日涨幅0.11%; 状态bottom_area; 底部未确认
3,69.24541825118489,68.27574329773456,300359,全通教育,bottom_area,2022-07-20,5.14,2022-07-15,4.93,4.259634888438133,5.476673427991896,27.500000000000004,False,-0.1942,1.2288,1,1,1,100.0,16.38554216867469,16.38554216867469,5.740365111561867,4.259634888438133,历史1/1次成功; 当前距低点4.26%; 最新日涨幅-0.19%; 状态bottom_area; 底部未确认
4,58.083308194585406,53.72075059586112,002589,瑞康医药,bottom_area,2022-07-20,4.47,2022-07-19,4.43,0.9029345372460504,2.483069977426644,29.346092503987244,False,-0.4454,9.228,1,2,1,50.0,28.49162011173183,28.49162011173183,9.09706546275395,0.9029345372460504,历史1/2次成功; 当前距低点0.90%; 最新日涨幅-0.45%; 状态bottom_area; 底部未确认
