rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_top_price,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,close_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,99.09268021130434,84.11355413285135,300411,金盾股份,bottom_area,2026-05-29,8.03,11.24,2026-05-28,7.95,1.0062893081760904,6.9182389937106885,29.270462633451956,28.558718861209968,False,-1.8337,2.8882,3,3,3,100.0,28.322009438133495,33.550488599348526,18.99371069182391,1.0062893081760904,历史3/3次成功; 当前距低点1.01%; 最新日涨幅-1.83%; 状态bottom_area; 底部未确认
2,97.2471448861436,84.71378106322483,000919,金陵药业,bottom_area,2026-05-29,6.34,8.83,2026-05-28,6.19,2.423263327948295,3.7156704361873913,29.898074745186857,28.19932049830125,False,1.1164,2.0577,3,3,3,100.0,26.44527661799429,31.2267657992565,17.57673667205171,2.423263327948295,历史3/3次成功; 当前距低点2.42%; 最新日涨幅1.12%; 状态bottom_area; 底部未确认
3,93.71187257725383,78.80351778656124,300348,长亮科技,bottom_area,2026-05-29,10.17,14.95,2026-05-29,10.12,0.4940711462450663,4.249011857707525,32.30769230769231,31.97324414715719,False,-2.958,1.8839,2,2,2,100.0,61.67178134052256,87.71331058020478,19.505928853754934,0.4940711462450663,历史2/2次成功; 当前距低点0.49%; 最新日涨幅-2.96%; 状态bottom_area; 底部未确认
4,93.63659824046928,81.80340175953083,601390,中国中铁,bottom_area,2026-05-29,4.77,6.47,2026-05-28,4.65,2.5806451612903056,3.6559139784946217,28.129829984544042,26.275115919629062,False,2.1413,0.786,1,1,1,100.0,46.06060606060606,46.06060606060606,17.419354838709694,2.5806451612903056,历史1/1次成功; 当前距低点2.58%; 最新日涨幅2.14%; 状态bottom_area; 底部未确认
5,93.10806015037589,80.16857142857141,000913,钱江摩托,bottom_area,2026-05-29,11.4,15.85,2026-05-28,11.2,1.7857142857142954,4.553571428571443,29.33753943217666,28.075709779179807,False,-0.9557,0.9442,1,1,1,100.0,53.534183082271134,53.534183082271134,18.214285714285705,1.7857142857142954,历史1/1次成功; 当前距低点1.79%; 最新日涨幅-0.96%; 状态bottom_area; 底部未确认
6,92.42472756423282,77.9624925395905,601238,广汽集团,bottom_area,2026-05-29,6.07,8.67,2026-05-28,6.03,0.6633499170812609,3.1509121061359786,30.44982698961937,29.98846597462514,False,0.0,0.4439,2,2,2,100.0,25.08027070180526,26.42487046632124,19.33665008291874,0.6633499170812609,历史2/2次成功; 当前距低点0.66%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
7,91.28751550124227,77.96872076114258,000912,泸天化,bottom_area,2026-05-29,3.77,5.43,2026-05-27,3.72,1.3440860215053716,3.763440860215045,31.491712707182312,30.57090239410681,False,-0.5277,1.5521,4,5,4,80.0,26.092671452552917,33.20388349514563,18.655913978494628,1.3440860215053716,历史4/5次成功; 当前距低点1.34%; 最新日涨幅-0.53%; 状态bottom_area; 底部未确认
8,91.05241898124223,78.83651350730135,002773,康弘药业,bottom_area,2026-05-29,21.0,30.6,2026-05-28,20.57,2.090422946037918,4.132231404958684,32.77777777777778,31.37254901960785,False,0.7194,1.3183,1,1,1,100.0,24.10041841004185,24.10041841004185,17.909577053962085,2.090422946037918,历史1/1次成功; 当前距低点2.09%; 最新日涨幅0.72%; 状态bottom_area; 底部未确认
9,90.00686968270536,76.32582549093416,300355,蒙草生态,bottom_area,2026-05-29,3.18,4.38,2026-05-27,3.15,0.9523809523809603,6.349206349206354,28.08219178082192,27.397260273972595,False,-2.454,1.5784,3,3,3,100.0,25.63039818474601,33.201581027668,19.04761904761904,0.9523809523809603,历史3/3次成功; 当前距低点0.95%; 最新日涨幅-2.45%; 状态bottom_area; 底部未确认
10,89.33428197881392,74.92510464821413,002987,京北方,bottom_area,2026-05-29,11.45,15.99,2026-05-29,11.41,0.3505696757230425,4.294478527607364,28.64290181363352,28.392745465916203,False,-2.9661,1.0061,2,2,2,100.0,27.389266176681016,28.88432580424366,19.64943032427696,0.3505696757230425,历史2/2次成功; 当前距低点0.35%; 最新日涨幅-2.97%; 状态bottom_area; 底部未确认
11,89.20136141765029,74.55745098039218,300272,开能健康,bottom_area,2026-05-29,6.13,9.02,2026-05-29,6.12,0.16339869281045402,5.555555555555554,32.150776053215075,32.03991130820399,False,-4.0689,2.2244,1,1,1,100.0,65.74468085106382,65.74468085106382,19.836601307189547,0.16339869281045402,历史1/1次成功; 当前距低点0.16%; 最新日涨幅-4.07%; 状态bottom_area; 底部未确认
