rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,85.4981281074859,82.0998422919669,603327,福蓉科技,bottom_area,2022-06-08,12.93,2022-06-08,12.69,1.891252955082744,3.703703703703709,31.107491856677534,False,-1.7477,0.5051,2,2,2,100.0,45.01020983632018,52.609776304888165,6.108747044917257,1.891252955082744,历史2/2次成功; 当前距低点1.89%; 最新日涨幅-1.75%; 状态bottom_area; 底部未确认
2,82.88040573656146,79.67227810978626,605266,健之佳,bottom_area,2022-06-08,45.02,2022-06-08,44.16,1.947463768115957,3.374094202898555,28.0195599022005,False,0.2673,0.8268,2,2,2,100.0,10.174706995110995,12.038497948879776,6.052536231884043,1.947463768115957,历史2/2次成功; 当前距低点1.95%; 最新日涨幅0.27%; 状态bottom_area; 底部未确认
3,82.00518138882398,80.9035164835165,002663,普邦股份,bottom_area,2022-06-08,1.88,2022-05-31,1.82,3.296703296703287,4.395604395604387,30.798479087452467,False,0.5348,2.6254,1,1,1,100.0,66.45569620253163,66.45569620253163,4.703296703296713,3.296703296703287,历史1/1次成功; 当前距低点3.30%; 最新日涨幅0.53%; 状态bottom_area; 底部未确认
4,80.76857879740685,80.17480892536551,605399,晨光新材,bottom_area,2022-06-08,40.4,2022-06-08,38.99,3.6163118748396936,5.950243652218519,31.452180028129394,False,3.0349,10.4682,1,1,1,100.0,52.857533497402244,52.857533497402244,4.383688125160306,3.6163118748396936,历史1/1次成功; 当前距低点3.62%; 最新日涨幅3.03%; 状态bottom_area; 底部未确认
5,77.03016257051873,75.4008631899053,605208,永茂泰,bottom_area,2022-06-08,13.18,2022-06-08,12.81,2.888368462138948,4.761904761904757,29.576690489279827,False,0.6107,1.9272,1,1,1,100.0,15.410447761194026,15.410447761194026,5.111631537861053,2.888368462138948,历史1/1次成功; 当前距低点2.89%; 最新日涨幅0.61%; 状态bottom_area; 底部未确认
6,76.47176141850943,74.6890284762946,688026,洁特生物,bottom_area,2022-06-08,46.32,2022-06-08,45.07,2.773463501220324,3.128466829376518,32.245941070354775,False,2.2742,0.4267,3,4,3,75.0,14.341533650951233,20.423991726990696,5.2265364987796765,2.773463501220324,历史3/4次成功; 当前距低点2.77%; 最新日涨幅2.27%; 状态bottom_area; 底部未确认
7,76.25635219197244,74.05702858607872,002795,永和智控,bottom_area,2022-06-08,8.27,2022-06-02,8.07,2.4783147459727295,6.071871127633212,29.765013054830288,False,-1.6647,2.1952,1,1,1,100.0,25.632183908045985,25.632183908045985,5.521685254027271,2.4783147459727295,历史1/1次成功; 当前距低点2.48%; 最新日涨幅-1.66%; 状态bottom_area; 底部未确认
8,75.85983138461539,70.24058461538462,603177,德创环保,bottom_area,2022-06-08,19.67,2022-06-08,19.67,0.0,0.0,28.342440801457187,False,-10.0183,0.2373,1,1,1,100.0,37.04615384615384,37.04615384615384,8.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-10.02%; 状态bottom_area; 底部未确认
9,73.48766021978975,72.5120730981521,688168,安博通,confirmed_rebound,2022-06-08,35.32,2022-06-06,34.19,3.3050599590523624,13.834454518865178,32.90816326530613,True,-2.5117,3.8857,2,2,2,100.0,11.815106477373549,12.015306122448962,4.694940040947638,3.3050599590523624,历史2/2次成功; 当前距低点3.31%; 最新日涨幅-2.51%; 状态confirmed_rebound; 底部已确认
10,72.99765218877711,71.22643105977264,605077,华康股份,bottom_area,2022-06-08,20.75,2022-05-26,20.2,2.722772277227726,4.900990099009911,32.396251673360105,False,-0.4796,0.9105,1,1,1,100.0,13.410493827160492,13.410493827160492,5.277227722772274,2.722772277227726,历史1/1次成功; 当前距低点2.72%; 最新日涨幅-0.48%; 状态bottom_area; 底部未确认
11,70.7885351761774,70.36819203325717,002802,洪汇新材,bottom_area,2022-06-08,14.33,2022-06-08,13.82,3.6903039073806063,6.078147612156294,30.726817042606513,False,-0.3477,1.7746,1,1,1,100.0,20.65637065637066,20.65637065637066,4.309696092619394,3.6903039073806063,历史1/1次成功; 当前距低点3.69%; 最新日涨幅-0.35%; 状态bottom_area; 底部未确认
