rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,91.80071711642282,86.94781577106129,002551,尚荣医疗,bottom_area,2024-06-04,2.58,2024-06-04,2.55,1.176470588235304,2.745098039215698,27.142857142857146,False,-1.5267,2.12,4,4,4,100.0,28.9794016786977,52.61780104712043,6.823529411764697,1.176470588235304,历史4/4次成功; 当前距低点1.18%; 最新日涨幅-1.53%; 状态bottom_area; 底部未确认
2,88.35268981839027,84.13719190761843,002693,双成药业,bottom_area,2024-06-04,4.87,2024-06-04,4.8,1.4583333333333393,4.375,28.143712574850298,False,-2.7944,1.7125,4,4,4,100.0,17.323612406550794,34.61538461538462,6.541666666666661,1.4583333333333393,历史4/4次成功; 当前距低点1.46%; 最新日涨幅-2.79%; 状态bottom_area; 底部未确认
3,84.86158899855936,80.41530025856115,000521,长虹美菱,bottom_area,2024-06-04,9.26,2024-06-04,9.15,1.2021857923497203,4.043715846994527,27.61075949367089,False,-2.8332,3.9556,3,3,3,100.0,10.840235833970437,13.407821229050265,6.79781420765028,1.2021857923497203,历史3/3次成功; 当前距低点1.20%; 最新日涨幅-2.83%; 状态bottom_area; 底部未确认
4,84.64475762891415,81.15762865865504,300511,雪榕生物,bottom_area,2024-06-04,3.37,2024-06-04,3.31,1.8126888217522674,5.438066465256802,30.89770354906054,False,-3.7143,3.1161,5,5,5,100.0,15.86322135618395,29.220779220779214,6.187311178247732,1.8126888217522674,历史5/5次成功; 当前距低点1.81%; 最新日涨幅-3.71%; 状态bottom_area; 底部未确认
5,84.61731330115926,80.55998106232632,301382,蜂助手,bottom_area,2024-06-04,18.95,2024-06-04,18.68,1.4453961456102762,4.925053533190588,28.37423312883435,False,-4.002,3.093,3,3,3,100.0,24.8144315823534,47.676579925650564,6.554603854389724,1.4453961456102762,历史3/3次成功; 当前距低点1.45%; 最新日涨幅-4.00%; 状态bottom_area; 底部未确认
6,84.44921349514237,80.38448842030436,000518,四环生物,bottom_area,2024-06-04,2.12,2024-06-04,2.09,1.4354066985646052,2.3923444976076684,32.14285714285715,False,-1.8519,1.3037,3,3,3,100.0,13.53341770447127,17.834394904458602,6.564593301435395,1.4354066985646052,历史3/3次成功; 当前距低点1.44%; 最新日涨幅-1.85%; 状态bottom_area; 底部未确认
7,84.27647933495018,81.07241963673204,300752,隆利科技,bottom_area,2024-06-04,13.36,2024-06-04,13.1,1.9847328244274793,6.793893129770997,27.019498607242337,False,-4.023,6.3281,4,4,4,100.0,17.51403481949826,21.807655194596325,6.015267175572521,1.9847328244274793,历史4/4次成功; 当前距低点1.98%; 最新日涨幅-4.02%; 状态bottom_area; 底部未确认
8,81.36838432403957,78.24366153280955,603011,合锻智能,bottom_area,2024-06-04,6.23,2024-06-04,6.11,1.9639934533551573,3.9279869067103,28.953488372093016,False,-1.8898,2.7612,2,2,2,100.0,25.169712937953285,41.201716738197426,6.036006546644843,1.9639934533551573,历史2/2次成功; 当前距低点1.96%; 最新日涨幅-1.89%; 状态bottom_area; 底部未确认
9,81.10159131255372,80.88675266007013,300644,南京聚隆,bottom_area,2024-06-04,22.59,2024-06-04,21.75,3.862068965517241,5.195402298850571,29.566062176165804,False,-0.3529,13.0157,3,3,3,100.0,45.97994570671739,78.38246409674981,4.137931034482759,3.862068965517241,历史3/3次成功; 当前距低点3.86%; 最新日涨幅-0.35%; 状态bottom_area; 底部未确认
10,79.60860083563398,77.86137205886645,300621,维业股份,bottom_area,2024-06-04,7.95,2024-06-04,7.73,2.8460543337645503,4.0103492884864,27.621722846441944,False,0.2522,1.751,1,1,1,100.0,28.120300751879686,28.120300751879686,5.15394566623545,2.8460543337645503,历史1/1次成功; 当前距低点2.85%; 最新日涨幅0.25%; 状态bottom_area; 底部未确认
11,78.96800994208499,74.78687500000004,605180,华生科技,bottom_area,2024-06-04,12.95,2024-06-04,12.8,1.171874999999989,2.4999999999999885,28.809788654060064,False,-1.9682,1.6141,1,1,1,100.0,13.541666666666663,13.541666666666663,6.8281250000000115,1.171874999999989,历史1/1次成功; 当前距低点1.17%; 最新日涨幅-1.97%; 状态bottom_area; 底部未确认
