rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,79.04122161155037,74.93617305526648,002353,杰瑞股份,bottom_area,2021-03-24,34.64,2021-03-24,34.22,1.227352425482179,3.4774985388661537,27.438507209499573,False,-1.9808,1.0598,1,1,1,100.0,15.024390243902431,15.024390243902431,6.772647574517821,1.227352425482179,历史1/1次成功; 当前距低点1.23%; 最新日涨幅-1.98%; 状态bottom_area; 底部未确认
2,78.05949234893032,73.56930498108765,601015,陕西黑猫,bottom_area,2021-03-24,6.58,2021-03-24,6.52,0.9202453987730138,5.521472392638042,32.50517598343686,False,-4.6377,3.1666,2,2,2,100.0,37.29819618435554,65.6514382402707,7.079754601226987,0.9202453987730138,历史2/2次成功; 当前距低点0.92%; 最新日涨幅-4.64%; 状态bottom_area; 底部未确认
3,74.59346856107909,69.36140476395063,603222,济民健康,confirmed_rebound,2021-03-24,13.66,2021-03-24,13.63,0.22010271460014205,9.977989728539981,29.01041666666666,False,-9.3563,9.8411,2,2,2,100.0,16.307736307736306,21.904761904761898,7.7798972853998585,0.22010271460014205,历史2/2次成功; 当前距低点0.22%; 最新日涨幅-9.36%; 状态confirmed_rebound; 底部未确认
4,73.85723206538015,69.04297614827568,300433,蓝思科技,bottom_area,2021-03-24,24.3,2021-03-24,24.18,0.4962779156327585,3.8047973531844566,28.227960819234188,False,-2.9553,0.7889,1,1,1,100.0,14.217687074829932,14.217687074829932,7.503722084367241,0.4962779156327585,历史1/1次成功; 当前距低点0.50%; 最新日涨幅-2.96%; 状态bottom_area; 底部未确认
