rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
44,67.66770391398147,63.82569753724224,300552,万集科技,bottom_area,2023-05-11,17.41,2023-05-04,17.08,1.9320843091335007,7.728337236533961,31.129032258064527,True,0.0575,1.5916,1,2,1,50.0,23.929299796057098,23.929299796057098,8.067915690866501,1.9320843091335007,历史1/2次成功; 当前距低点1.93%; 最新日涨幅0.06%; 状态bottom_area; 底部已确认
45,67.30741478226615,62.92381849695621,002800,天顺股份,bottom_area,2023-05-11,15.23,2023-05-11,15.01,1.4656895403064667,6.862091938707524,29.662605435801314,False,-2.9318,9.8059,2,4,2,50.0,11.696723918575062,11.768447837150124,8.534310459693534,1.4656895403064667,历史2/4次成功; 当前距低点1.47%; 最新日涨幅-2.93%; 状态bottom_area; 底部未确认
46,60.845489211023306,58.638316619177864,002758,浙农股份,bottom_area,2023-05-11,12.46,2023-04-25,12.09,3.060380479735327,5.789909015715462,28.249258160237396,False,0.4839,1.2307,1,2,1,50.0,19.064430714916153,19.064430714916153,6.939619520264674,3.060380479735327,历史1/2次成功; 当前距低点3.06%; 最新日涨幅0.48%; 状态bottom_area; 底部未确认
47,59.79894464922419,57.77259252340332,688286,敏芯股份,bottom_area,2023-05-11,46.9,2023-05-10,45.45,3.1903190319031807,4.84048404840483,29.183546276098475,False,1.5152,1.473,1,2,1,50.0,16.00279524807827,16.00279524807827,6.809680968096821,3.1903190319031807,历史1/2次成功; 当前距低点3.19%; 最新日涨幅1.52%; 状态bottom_area; 底部未确认
48,59.08842962573253,55.68165899237294,688229,博睿数据,bottom_area,2023-05-11,54.1,2023-05-09,53.1,1.8832391713747645,8.079096045197739,31.92307692307692,False,-1.6364,1.3764,1,2,1,50.0,11.21206614573869,11.21206614573869,8.116760828625235,1.8832391713747645,历史1/2次成功; 当前距低点1.88%; 最新日涨幅-1.64%; 状态bottom_area; 底部未确认
49,58.37782139719068,57.10338095901778,002403,爱仕达,bottom_area,2023-05-11,8.11,2023-04-25,7.81,3.841229193341867,7.298335467349568,28.545288197621225,True,1.375,0.8713,1,2,1,50.0,11.190233977619528,11.190233977619528,6.158770806658134,3.841229193341867,历史1/2次成功; 当前距低点3.84%; 最新日涨幅1.38%; 状态bottom_area; 底部已确认
50,57.33780463713568,52.41447927199192,000509,华塑控股,bottom_area,2023-05-11,3.46,2023-05-11,3.45,0.2898550724637619,2.6086956521739086,27.21518987341772,False,-1.983,0.5032,1,2,1,50.0,13.953488372093018,13.953488372093018,9.71014492753624,0.2898550724637619,历史1/2次成功; 当前距低点0.29%; 最新日涨幅-1.98%; 状态bottom_area; 底部未确认
51,56.83205704920933,56.29590556761303,002769,普路通,bottom_area,2023-05-11,8.82,2023-04-25,8.44,4.502369668246455,7.464454976303327,28.231292517006807,True,3.0374,0.9185,1,2,1,50.0,14.953271028037399,14.953271028037399,5.4976303317535455,4.502369668246455,历史1/2次成功; 当前距低点4.50%; 最新日涨幅3.04%; 状态bottom_area; 底部已确认
52,55.377561558222425,55.239296061419516,001266,宏英智能,bottom_area,2023-05-11,24.77,2023-04-25,23.62,4.868755292125311,8.044030482641823,28.6404833836858,True,0.9784,1.4533,1,2,1,50.0,13.763753373468953,13.763753373468953,5.131244707874689,4.868755292125311,历史1/2次成功; 当前距低点4.87%; 最新日涨幅0.98%; 状态bottom_area; 底部已确认
53,55.01866356866385,54.86743029882145,002623,亚玛顿,bottom_area,2023-05-11,27.21,2023-04-25,25.95,4.855491329479775,7.013487475915222,30.42895442359249,True,0.9647,0.7629,1,2,1,50.0,11.601884570082444,11.601884570082444,5.144508670520226,4.855491329479775,历史1/2次成功; 当前距低点4.86%; 最新日涨幅0.96%; 状态bottom_area; 底部已确认
54,54.28935725660995,50.290550379396734,688298,东方生物,bottom_area,2023-05-11,54.33,2023-05-10,53.8,0.9851301115241659,2.9368029739777053,30.741503604531424,False,-0.7127,0.6858,2,6,2,33.33333333333333,13.83501989429302,15.470039788586028,9.014869888475834,0.9851301115241659,历史2/6次成功; 当前距低点0.99%; 最新日涨幅-0.71%; 状态bottom_area; 底部未确认
55,54.26114885025314,50.23575291857545,300499,高澜股份,bottom_area,2023-05-11,16.91,2023-05-11,16.75,0.9552238805970158,4.298507462686561,32.26849979781642,False,-2.8161,13.9401,1,2,1,50.0,10.396039603960403,10.396039603960403,9.044776119402984,0.9552238805970158,历史1/2次成功; 当前距低点0.96%; 最新日涨幅-2.82%; 状态bottom_area; 底部未确认
