rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,97.78608688987086,84.22124861703814,002790,瑞尔特,bottom_area,2025-11-13,9.04,2025-11-12,8.88,1.8018018018017834,2.702702702702685,32.829046898638424,False,1.0056,3.8875,1,1,1,100.0,49.512670565302145,49.512670565302145,18.198198198198217,1.8018018018017834,历史1/1次成功; 当前距低点1.80%; 最新日涨幅1.01%; 状态bottom_area; 底部未确认
2,95.55795150677763,82.9014441732379,603809,豪能股份,bottom_area,2025-11-13,12.55,2025-11-13,12.28,2.19869706840392,2.6872964169381115,27.764705882352946,False,0.9654,1.6069,2,2,2,100.0,30.615448866660387,31.661442006269603,17.80130293159608,2.19869706840392,历史2/2次成功; 当前距低点2.20%; 最新日涨幅0.97%; 状态bottom_area; 底部未确认
3,92.2983015165058,77.7653265253178,603759,海天股份,bottom_area,2025-11-13,11.74,2025-11-12,11.67,0.5998286203941755,7.36932305055698,29.14389799635701,False,0.0853,9.8304,1,1,1,100.0,39.90825688073395,39.90825688073395,19.400171379605826,0.5998286203941755,历史1/1次成功; 当前距低点0.60%; 最新日涨幅0.09%; 状态bottom_area; 底部未确认
4,89.93337787806428,77.51534215928096,603151,邦基科技,bottom_area,2025-11-13,19.9,2025-11-13,19.54,1.842374616171952,4.298874104401228,27.549128661475713,False,-0.0502,4.2925,1,1,1,100.0,36.42987249544626,36.42987249544626,18.157625383828048,1.842374616171952,历史1/1次成功; 当前距低点1.84%; 最新日涨幅-0.05%; 状态bottom_area; 底部未确认
5,84.24540253334554,75.92384809376192,603173,福斯达,bottom_area,2025-11-13,40.4,2025-11-05,38.74,4.284976768198236,4.775425916365517,29.422481326288942,False,1.9944,4.9067,1,1,1,100.0,35.34190927555856,35.34190927555856,15.715023231801764,4.284976768198236,历史1/1次成功; 当前距低点4.28%; 最新日涨幅1.99%; 状态bottom_area; 底部未确认
6,75.01102116850127,64.27831216483207,002123,梦网科技,bottom_area,2025-11-13,11.99,2025-11-13,11.81,1.5241320914479228,1.6088060965283615,31.93083573487032,False,0.6717,1.5789,1,3,1,33.33333333333333,54.50450450450449,54.50450450450449,18.47586790855208,1.5241320914479228,历史1/3次成功; 当前距低点1.52%; 最新日涨幅0.67%; 状态bottom_area; 底部未确认
7,72.10223547346831,64.7184039833478,605398,新炬网络,bottom_area,2025-11-13,29.45,2025-10-13,28.3,4.063604240282681,9.222614840989397,28.172588832487307,True,0.5119,1.0586,2,4,2,50.0,21.523772318238297,22.15700660308142,15.93639575971732,4.063604240282681,历史2/4次成功; 当前距低点4.06%; 最新日涨幅0.51%; 状态bottom_area; 底部已确认
8,69.04235512071064,59.31544054535267,000661,长春高新,bottom_area,2025-11-13,104.46,2025-11-13,102.75,1.6642335766423297,1.761557177615574,27.52345348099034,False,0.9861,1.943,1,3,1,33.33333333333333,25.03526756324649,25.03526756324649,18.335766423357672,1.6642335766423297,历史1/3次成功; 当前距低点1.66%; 最新日涨幅0.99%; 状态bottom_area; 底部未确认
9,67.3867504551255,58.10607605586402,002338,奥普光电,bottom_area,2025-11-13,51.34,2025-11-12,50.4,1.8650793650793747,2.3809523809523867,28.35820895522388,False,0.6469,0.8863,1,3,1,33.33333333333333,20.995288574793882,20.995288574793882,18.134920634920626,1.8650793650793747,历史1/3次成功; 当前距低点1.87%; 最新日涨幅0.65%; 状态bottom_area; 底部未确认
10,59.651941742138064,54.14302079168331,002678,珠江钢琴,bottom_area,2025-11-13,5.15,2025-11-03,4.92,4.674796747967489,4.878048780487809,29.613733905579405,False,0.7828,1.5625,1,4,1,25.0,35.5191256830601,35.5191256830601,15.325203252032512,4.674796747967489,历史1/4次成功; 当前距低点4.67%; 最新日涨幅0.78%; 状态bottom_area; 底部未确认
11,57.196285245354346,51.7474770678004,300563,神宇股份,bottom_area,2025-11-13,38.33,2025-10-23,36.68,4.4983642311886545,6.27044711014176,28.776699029126213,False,0.4192,3.03,1,4,1,25.0,20.477137176938378,20.477137176938378,15.501635768811347,4.4983642311886545,历史1/4次成功; 当前距低点4.50%; 最新日涨幅0.42%; 状态bottom_area; 底部未确认
12,53.24287938679765,47.55037757636498,001209,洪兴股份,bottom_area,2025-11-13,22.47,2025-11-13,21.65,3.7875288683602784,6.6974595842956255,29.821717990275538,False,-4.383,18.8063,1,4,1,25.0,21.88679245283018,21.88679245283018,16.21247113163972,3.7875288683602784,历史1/4次成功; 当前距低点3.79%; 最新日涨幅-4.38%; 状态bottom_area; 底部未确认
