rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,94.09932947093625,83.66572180993286,000717,中南股份,bottom_area,2024-07-08,1.7,2024-06-24,1.68,1.1904761904761916,7.738095238095245,29.411764705882355,True,-2.8571,0.3427,2,2,2,100.0,35.64520174311065,56.020942408376975,13.809523809523808,1.1904761904761916,历史2/2次成功; 当前距低点1.19%; 最新日涨幅-2.86%; 状态bottom_area; 底部已确认
2,89.53508184377908,82.25745487436944,002299,圣农发展,bottom_area,2024-07-08,12.58,2024-07-05,12.22,2.9459901800327284,4.664484451718482,29.770114942528725,False,0.9631,0.9029,3,3,3,100.0,19.64684131636587,26.73830594184577,12.05400981996727,2.9459901800327284,历史3/3次成功; 当前距低点2.95%; 最新日涨幅0.96%; 状态bottom_area; 底部未确认
3,88.78420081263717,78.13901129382478,603368,柳药集团,bottom_area,2024-07-08,17.18,2024-07-08,17.07,0.6444053895723458,3.514938488576458,29.170124481327804,False,-2.6629,1.3683,3,3,3,100.0,31.603524634675978,42.85714285714285,14.355594610427655,0.6444053895723458,历史3/3次成功; 当前距低点0.64%; 最新日涨幅-2.66%; 状态bottom_area; 底部未确认
4,88.24455053082305,79.0678987291121,001218,丽臣实业,bottom_area,2024-07-08,14.57,2024-07-05,14.34,1.6039051603905192,3.277545327754537,27.57575757575758,False,-1.6205,1.0706,2,2,2,100.0,25.18711018711019,29.999999999999993,13.396094839609479,1.6039051603905192,历史2/2次成功; 当前距低点1.60%; 最新日涨幅-1.62%; 状态bottom_area; 底部未确认
5,87.88963489132615,80.97526987791652,603218,日月股份,bottom_area,2024-07-08,9.65,2024-07-05,9.36,3.0982905982906086,5.982905982905988,27.216174183514774,False,0.6257,0.996,1,1,1,100.0,47.95361527967258,47.95361527967258,11.901709401709391,3.0982905982906086,历史1/1次成功; 当前距低点3.10%; 最新日涨幅0.63%; 状态bottom_area; 底部未确认
6,87.67976778604901,76.68761257456104,000065,北方国际,bottom_area,2024-07-08,9.68,2024-07-08,9.65,0.3108808290155374,3.419689119170985,27.169811320754718,False,-3.2967,0.6873,3,3,3,100.0,29.926993896325044,41.48061104582843,14.689119170984464,0.3108808290155374,历史3/3次成功; 当前距低点0.31%; 最新日涨幅-3.30%; 状态bottom_area; 底部未确认
7,87.31091643894725,76.27117647058826,002687,乔治白,bottom_area,2024-07-08,4.09,2024-07-08,4.08,0.24509803921568107,2.2058823529411726,30.25641025641025,False,-2.1531,0.972,1,1,1,100.0,64.00000000000001,64.00000000000001,14.75490196078432,0.24509803921568107,历史1/1次成功; 当前距低点0.25%; 最新日涨幅-2.15%; 状态bottom_area; 底部未确认
8,86.55715786876742,75.86492063492062,001696,宗申动力,bottom_area,2024-07-08,9.49,2024-07-08,9.45,0.42328042328043314,4.126984126984133,30.155210643015522,False,-2.7664,6.3127,1,1,1,100.0,65.16853932584267,65.16853932584267,14.576719576719565,0.42328042328043314,历史1/1次成功; 当前距低点0.42%; 最新日涨幅-2.77%; 状态bottom_area; 底部未确认
9,86.41477753579778,75.56123349398433,600973,宝胜股份,bottom_area,2024-07-08,3.38,2024-07-08,3.37,0.2967359050445041,3.8575667655786314,27.21382289416846,False,-3.1519,0.6726,2,2,2,100.0,40.36446966390223,46.551724137931025,14.703264094955495,0.2967359050445041,历史2/2次成功; 当前距低点0.30%; 最新日涨幅-3.15%; 状态bottom_area; 底部未确认
10,85.518115425017,78.66822374749151,688102,斯瑞新材,bottom_area,2024-07-08,8.2,2024-07-05,7.96,3.015075376884414,7.663316582914577,31.90761334473909,True,-3.7559,1.2417,3,3,3,100.0,24.691374230042936,37.1943371943372,11.984924623115585,3.015075376884414,历史3/3次成功; 当前距低点3.02%; 最新日涨幅-3.76%; 状态bottom_area; 底部已确认
11,85.3495910424536,74.53445487892803,000789,万年青,bottom_area,2024-07-08,4.39,2024-07-08,4.38,0.22831050228310015,3.8812785388127837,27.603305785123965,False,-3.0905,0.7808,2,2,2,100.0,34.00539152759949,47.599999999999994,14.771689497716899,0.22831050228310015,历史2/2次成功; 当前距低点0.23%; 最新日涨幅-3.09%; 状态bottom_area; 底部未确认
