rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,95.68048017967806,81.89533808765832,605133,嵘泰股份,bottom_area,2024-02-05,16.67,2024-02-05,16.43,1.4607425441266098,9.86001217285454,27.171985815602834,False,-8.3562,5.7175,2,2,2,100.0,48.8485542379945,60.01483679525222,18.539257455873393,1.4607425441266098,历史2/2次成功; 当前距低点1.46%; 最新日涨幅-8.36%; 状态bottom_area; 底部未确认
2,91.28481693280976,78.37189078366873,300667,必创科技,bottom_area,2024-02-05,9.99,2024-02-05,9.83,1.6276703967446606,17.395727365208536,31.21063680895731,False,-13.9535,4.3377,2,2,2,100.0,31.951501549712724,36.615811373092924,18.37232960325534,1.6276703967446606,历史2/2次成功; 当前距低点1.63%; 最新日涨幅-13.95%; 状态bottom_area; 底部未确认
3,90.5585623224892,77.34400816384269,603171,税友股份,bottom_area,2024-02-05,21.89,2024-02-05,21.6,1.3425925925925886,11.0648148148148,28.07192807192807,False,-8.7917,4.3171,2,2,2,100.0,22.930748790074055,25.396825396825395,18.657407407407412,1.3425925925925886,历史2/2次成功; 当前距低点1.34%; 最新日涨幅-8.79%; 状态bottom_area; 底部未确认
4,89.3379003097719,74.44825025814325,600135,乐凯胶片,bottom_area,2024-02-05,5.24,2024-02-05,5.24,0.0,10.305343511450381,29.093369418132603,False,-9.9656,1.9822,2,2,2,100.0,43.00134547388843,56.981132075471706,20.0,0.0,历史2/2次成功; 当前距低点0.00%; 最新日涨幅-9.97%; 状态bottom_area; 底部未确认
5,88.70694071597248,76.66378041227992,603198,迎驾贡酒,bottom_area,2024-02-05,49.22,2024-02-05,48.26,1.9892250310816428,6.299212598425195,28.51429417864021,False,-1.9912,0.7624,1,1,1,100.0,33.65168539325842,33.65168539325842,18.01077496891836,1.9892250310816428,历史1/1次成功; 当前距低点1.99%; 最新日涨幅-1.99%; 状态bottom_area; 底部未确认
6,88.33654352441613,73.61378627034678,002631,德尔未来,bottom_area,2024-02-05,4.12,2024-02-05,4.12,0.0,10.436893203883487,27.845884413309978,False,-10.0437,1.2575,2,2,2,100.0,38.51497994810097,47.77070063694268,20.0,0.0,历史2/2次成功; 当前距低点0.00%; 最新日涨幅-10.04%; 状态bottom_area; 底部未确认
7,87.88199569968776,76.07319005056955,002779,中坚科技,bottom_area,2024-02-05,21.13,2024-02-05,20.7,2.0772946859903367,12.657004830917879,29.782903663500683,False,-8.1304,1.7416,2,2,2,100.0,25.1044190033737,29.818594104308378,17.922705314009665,2.0772946859903367,历史2/2次成功; 当前距低点2.08%; 最新日涨幅-8.13%; 状态bottom_area; 底部未确认
8,87.76836593194055,73.68428287051579,002755,奥赛康,bottom_area,2024-02-05,7.45,2024-02-05,7.42,0.4043126684636152,10.916442048517528,27.397260273972606,False,-9.5874,0.8473,2,2,2,100.0,31.59202018609052,32.35294117647059,19.595687331536386,0.4043126684636152,历史2/2次成功; 当前距低点0.40%; 最新日涨幅-9.59%; 状态bottom_area; 底部未确认
9,87.74885018226311,76.083984633655,300510,金冠股份,bottom_area,2024-02-05,3.77,2024-02-05,3.69,2.168021680216804,13.008130081300811,29.445506692160617,False,-10.6635,2.5608,2,2,2,100.0,26.274591744888774,30.519480519480524,17.831978319783197,2.168021680216804,历史2/2次成功; 当前距低点2.17%; 最新日涨幅-10.66%; 状态bottom_area; 底部未确认
10,87.69473031147126,73.07894192622605,001210,金房能源,bottom_area,2024-02-05,13.82,2024-02-05,13.82,0.0,10.926193921852386,28.02083333333333,False,-9.9674,4.2981,2,2,2,100.0,35.639472721645426,38.131313131313135,20.0,0.0,历史2/2次成功; 当前距低点0.00%; 最新日涨幅-9.97%; 状态bottom_area; 底部未确认
11,87.32728402058393,75.7331660607505,002054,德美化工,bottom_area,2024-02-05,4.69,2024-02-05,4.59,2.1786492374727784,10.239651416122,28.39313572542902,False,-8.0392,2.6264,1,1,1,100.0,41.18541033434649,41.18541033434649,17.82135076252722,2.1786492374727784,历史1/1次成功; 当前距低点2.18%; 最新日涨幅-8.04%; 状态bottom_area; 底部未确认
