rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,87.5911465974245,85.25998744697554,000679,大连友谊,bottom_area,2025-09-24,7.9,2025-09-23,7.7,2.5974025974025996,4.025974025974021,27.083333333333336,False,0.7653,1.6452,8,8,8,100.0,14.8498138121154,24.94061757719715,5.402597402597401,2.5974025974025996,历史8/8次成功; 当前距低点2.60%; 最新日涨幅0.77%; 状态bottom_area; 底部未确认
2,87.53310624729694,82.95880406310047,600322,津投城开,confirmed_rebound,2025-09-24,2.51,2025-09-23,2.48,1.209677419354831,10.080645161290324,31.491712707182323,False,-1.1811,6.5354,4,4,4,100.0,18.15520741521231,35.828877005347586,6.790322580645169,1.209677419354831,历史4/4次成功; 当前距低点1.21%; 最新日涨幅-1.18%; 状态confirmed_rebound; 底部未确认
3,86.0243657160753,81.62789046653143,601669,中国电建,bottom_area,2025-09-24,5.57,2025-09-23,5.5,1.272727272727278,2.181818181818184,29.8469387755102,False,0.0,1.1344,2,2,2,100.0,12.417788431987212,16.457680250783696,6.727272727272722,1.272727272727278,历史2/2次成功; 当前距低点1.27%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
4,84.99429961341194,84.16213468617781,000718,苏宁环球,bottom_area,2025-09-24,2.67,2025-09-23,2.58,3.48837209302325,4.651162790697678,31.2,False,1.9084,6.6386,4,4,4,100.0,19.86894117349903,36.111111111111114,4.5116279069767495,3.48837209302325,历史4/4次成功; 当前距低点3.49%; 最新日涨幅1.91%; 状态bottom_area; 底部未确认
5,84.26366638447017,79.63348809257276,300528,幸福蓝海,bottom_area,2025-09-24,22.84,2025-09-23,22.6,1.0619469026548602,6.548672566371668,32.73809523809524,False,-2.0163,8.2793,2,2,2,100.0,21.584553928095872,23.169107856191747,6.93805309734514,1.0619469026548602,历史2/2次成功; 当前距低点1.06%; 最新日涨幅-2.02%; 状态bottom_area; 底部未确认
6,82.09407057032405,82.70418339867493,300534,陇神戎发,bottom_area,2025-09-24,9.76,2025-09-23,9.35,4.385026737967916,4.491978609625668,27.519379844961243,False,2.6288,2.2582,5,5,5,100.0,23.021743877643914,41.58730158730159,3.614973262032084,4.385026737967916,历史5/5次成功; 当前距低点4.39%; 最新日涨幅2.63%; 状态bottom_area; 底部未确认
7,81.8673978214866,81.83824795578552,002115,三维通信,bottom_area,2025-09-24,11.23,2025-09-23,10.8,3.9814814814814787,7.499999999999988,27.272727272727266,False,1.1712,11.9742,4,4,4,100.0,13.419493191200443,20.720720720720706,4.018518518518521,3.9814814814814787,历史4/4次成功; 当前距低点3.98%; 最新日涨幅1.17%; 状态bottom_area; 底部未确认
8,81.60302874366835,80.00541667894068,601900,南方传媒,bottom_area,2025-09-24,12.82,2025-09-23,12.45,2.9718875502008113,3.935742971887552,30.756395995550616,False,1.5848,0.732,2,2,2,100.0,24.523227383863077,39.999999999999986,5.028112449799189,2.9718875502008113,历史2/2次成功; 当前距低点2.97%; 最新日涨幅1.58%; 状态bottom_area; 底部未确认
9,81.24119994967688,80.45416149068325,301009,可靠股份,bottom_area,2025-09-24,13.33,2025-09-23,12.88,3.4937888198757703,4.5807453416149055,30.566037735849054,False,1.1381,1.9895,1,1,1,100.0,53.96648044692738,53.96648044692738,4.50621118012423,3.4937888198757703,历史1/1次成功; 当前距低点3.49%; 最新日涨幅1.14%; 状态bottom_area; 底部未确认
10,80.80339863866823,80.06480460001403,002755,奥赛康,bottom_area,2025-09-24,21.16,2025-09-23,20.44,3.5225048923679,5.088062622309193,28.75566399442314,False,1.633,0.779,2,2,2,100.0,31.59202018609052,32.35294117647059,4.4774951076321,3.5225048923679,历史2/2次成功; 当前距低点3.52%; 最新日涨幅1.63%; 状态bottom_area; 底部未确认
11,80.63422587821012,79.16255626086527,301151,冠龙节能,bottom_area,2025-09-24,21.0,2025-09-23,20.38,3.042198233562321,5.004906771344453,28.49122807017544,False,0.6229,3.497,1,1,1,100.0,37.520259319286865,37.520259319286865,4.9578017664376794,3.042198233562321,历史1/1次成功; 当前距低点3.04%; 最新日涨幅0.62%; 状态bottom_area; 底部未确认
12,80.49496792694983,79.9749891985915,000037,深南电A,bottom_area,2025-09-24,8.49,2025-09-23,8.19,3.663003663003672,3.9072039072039106,28.220858895705526,False,1.6766,1.4514,8,9,8,88.88888888888889,23.57212541944976,45.16765285996055,4.336996336996328,3.663003663003672,历史8/9次成功; 当前距低点3.66%; 最新日涨幅1.68%; 状态bottom_area; 底部未确认
13,80.38901803867533,74.43427596173642,600162,香江控股,confirmed_rebound,2025-09-24,2.2,2025-09-24,2.2,0.0,8.636363636363633,30.599369085173496,False,-9.465,10.1431,4,4,4,100.0,19.807935278152744,28.90624999999999,8.0,0.0,历史4/4次成功; 当前距低点0.00%; 最新日涨幅-9.46%; 状态confirmed_rebound; 底部未确认
14,77.42772879010256,76.66132699962904,688166,博瑞医药,bottom_area,2025-09-24,72.5,2025-09-24,70.06,3.4827290893519804,5.766485869254913,30.613053382192728,False,-2.0535,4.3285,2,2,2,100.0,35.27929743737403,50.993377483443716,4.51727091064802,3.4827290893519804,历史2/2次成功; 当前距低点3.48%; 最新日涨幅-2.05%; 状态bottom_area; 底部未确认
15,75.03383768728516,74.84788022089784,002651,利君股份,bottom_area,2025-09-24,11.27,2025-09-23,10.85,3.8709677419354835,5.806451612903233,28.09807819748178,False,1.4401,2.5222,3,4,3,75.0,28.648853078014685,41.96642685851319,4.129032258064517,3.8709677419354835,历史3/4次成功; 当前距低点3.87%; 最新日涨幅1.44%; 状态bottom_area; 底部未确认
16,74.66460561925527,74.07785036880927,002259,升达林业,bottom_area,2025-09-24,4.04,2025-09-23,3.9,3.589743589743593,5.641025641025646,27.509293680297397,False,0.4975,0.9501,1,1,1,100.0,16.894977168949776,16.894977168949776,4.410256410256407,3.589743589743593,历史1/1次成功; 当前距低点3.59%; 最新日涨幅0.50%; 状态bottom_area; 底部未确认
17,74.09120400448874,73.74774748322147,002181,粤传媒,bottom_area,2025-09-24,7.73,2025-09-23,7.45,3.7583892617449695,5.637583892617449,29.31688804554079,False,0.5202,2.6101,1,1,1,100.0,17.187499999999993,17.187499999999993,4.24161073825503,3.7583892617449695,历史1/1次成功; 当前距低点3.76%; 最新日涨幅0.52%; 状态bottom_area; 底部未确认
18,72.09033046050608,72.42431196478734,600259,中稀有色,bottom_area,2025-09-24,54.82,2025-09-23,52.59,4.240349876402352,6.750332762882671,30.122242891310126,False,2.6784,3.637,1,1,1,100.0,15.980159585939194,15.980159585939194,3.7596501235976487,4.240349876402352,历史1/1次成功; 当前距低点4.24%; 最新日涨幅2.68%; 状态bottom_area; 底部未确认
19,64.55793199384911,64.19596902244574,603057,紫燕食品,confirmed_rebound,2025-09-24,19.58,2025-09-23,18.88,3.7076271186440644,8.050847457627116,28.267477203647424,False,0.9278,4.3503,2,3,2,66.66666666666666,14.315549388642651,19.124700239808163,4.292372881355936,3.7076271186440644,历史2/3次成功; 当前距低点3.71%; 最新日涨幅0.93%; 状态confirmed_rebound; 底部未确认
20,64.24133780109413,65.3599725933539,603709,中源家居,bottom_area,2025-09-24,14.35,2025-09-23,13.68,4.89766081871345,7.0906432748538055,32.80943025540275,False,-1.0345,3.0659,1,1,1,100.0,8.53031860226105,8.53031860226105,3.10233918128655,4.89766081871345,历史1/1次成功; 当前距低点4.90%; 最新日涨幅-1.03%; 状态bottom_area; 底部未确认
