rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,82.46487187298683,78.34138466302349,688018,乐鑫科技,bottom_area,2022-09-21,83.61,2022-09-21,82.51,1.3331717367591738,3.38140831414373,29.47863247863247,False,-1.6353,0.8826,1,1,1,100.0,34.629119477604306,34.629119477604306,6.666828263240826,1.3331717367591738,历史1/1次成功; 当前距低点1.33%; 最新日涨幅-1.64%; 状态bottom_area; 底部未确认
2,81.08973829147637,78.34385542168678,002110,三钢闽光,bottom_area,2022-09-21,5.09,2022-09-21,4.98,2.2088353413654502,2.4096385542168517,32.97442799461641,False,0.5929,0.2512,1,1,1,100.0,22.90322580645161,22.90322580645161,5.79116465863455,2.2088353413654502,历史1/1次成功; 当前距低点2.21%; 最新日涨幅0.59%; 状态bottom_area; 底部未确认
3,80.61226606419534,77.88787627919159,603229,奥翔药业,bottom_area,2022-09-21,25.41,2022-09-21,24.86,2.212389380530976,3.2984714400643615,28.869814020028624,False,-0.431,0.95,2,2,2,100.0,26.30174229463547,41.48479427549196,5.787610619469024,2.212389380530976,历史2/2次成功; 当前距低点2.21%; 最新日涨幅-0.43%; 状态bottom_area; 底部未确认
4,80.3886266073824,81.13039017469389,600367,红星发展,bottom_area,2022-09-21,19.6,2022-09-19,18.76,4.477611940298506,5.7569296375266426,27.483571704677228,False,0.0,2.3902,4,4,4,100.0,15.695405368679975,24.161490683229793,3.522388059701494,4.477611940298506,历史4/4次成功; 当前距低点4.48%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
5,79.85232454509618,79.62319305429249,300437,清水源,bottom_area,2022-09-21,18.07,2022-09-19,17.4,3.850574712643688,4.540229885057487,29.354445797807553,False,-0.0553,1.4511,6,6,6,100.0,22.379050532903687,30.330330330330323,4.149425287356312,3.850574712643688,历史6/6次成功; 当前距低点3.85%; 最新日涨幅-0.06%; 状态bottom_area; 底部未确认
6,79.15984501093564,77.99906044532462,688021,奥福科技,bottom_area,2022-09-21,22.04,2022-09-21,21.35,3.231850117096008,3.7939110070257547,27.82285327924272,False,0.7313,0.4191,2,2,2,100.0,16.923003829588822,24.96392496392497,4.768149882903992,3.231850117096008,历史2/2次成功; 当前距低点3.23%; 最新日涨幅0.73%; 状态bottom_area; 底部未确认
7,79.07891081365564,77.46702253535544,688027,国盾量子,bottom_area,2022-09-21,90.66,2022-09-21,88.08,2.929155313351497,4.200726612170757,31.1875,False,-0.918,0.6256,3,3,3,100.0,16.15858413869275,26.382393397524062,5.0708446866485035,2.929155313351497,历史3/3次成功; 当前距低点2.93%; 最新日涨幅-0.92%; 状态bottom_area; 底部未确认
8,78.96270607013764,76.85543975881193,688010,福光股份,bottom_area,2022-09-21,20.57,2022-09-21,20.05,2.593516209476307,4.239401496259341,28.341672623302355,False,-0.3391,0.1327,1,1,1,100.0,42.08955223880597,42.08955223880597,5.406483790523693,2.593516209476307,历史1/1次成功; 当前距低点2.59%; 最新日涨幅-0.34%; 状态bottom_area; 底部未确认
9,78.83867301339318,78.12841469795721,688079,美迪凯,bottom_area,2022-09-21,9.68,2022-09-21,9.35,3.529411764705883,5.775401069518726,29.962546816479403,False,0.207,0.6815,2,2,2,100.0,21.265986674659317,29.007036747458958,4.470588235294117,3.529411764705883,历史2/2次成功; 当前距低点3.53%; 最新日涨幅0.21%; 状态bottom_area; 底部未确认
10,78.24092489665142,78.78813509538463,002316,亚联发展,bottom_area,2022-09-21,3.11,2022-09-21,2.98,4.362416107382547,7.718120805369128,28.70813397129186,False,0.6472,4.0444,3,3,3,100.0,18.35722483987543,24.890829694323134,3.6375838926174535,4.362416107382547,历史3/3次成功; 当前距低点4.36%; 最新日涨幅0.65%; 状态bottom_area; 底部未确认
11,77.93408961631461,75.2689939544902,688179,阿拉丁,bottom_area,2022-09-21,35.45,2022-09-21,34.69,2.1908330931104216,2.421447102911512,32.96618357487923,False,-0.3093,0.8122,2,2,2,100.0,11.957491434311619,12.021924482338617,5.809166906889579,2.1908330931104216,历史2/2次成功; 当前距低点2.19%; 最新日涨幅-0.31%; 状态bottom_area; 底部未确认
