rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,87.87249630741036,85.59009380591918,603038,华立股份,bottom_area,2025-12-24,15.99,2025-12-17,15.58,2.631578947368422,5.0064184852374805,29.661399548532724,False,0.6293,1.0997,4,4,4,100.0,17.04351508558693,28.753412192902637,5.368421052631578,2.631578947368422,历史4/4次成功; 当前距低点2.63%; 最新日涨幅0.63%; 状态bottom_area; 底部未确认
2,87.69544220803533,82.7597062009163,603322,超讯通信,bottom_area,2025-12-24,38.82,2025-12-23,38.44,0.9885535900104125,4.214360041623321,30.500813596094744,False,0.129,4.3556,7,7,7,100.0,21.524776269570104,39.45833333333333,7.0114464099895875,0.9885535900104125,历史7/7次成功; 当前距低点0.99%; 最新日涨幅0.13%; 状态bottom_area; 底部未确认
3,87.58429843374857,83.86116491396463,002728,特一药业,bottom_area,2025-12-24,11.1,2025-12-19,10.91,1.7415215398716728,4.12465627864344,27.508305647840537,False,-1.2456,6.6908,4,4,4,100.0,19.310935617591518,39.3073593073593,6.258478460128328,1.7415215398716728,历史4/4次成功; 当前距低点1.74%; 最新日涨幅-1.25%; 状态bottom_area; 底部未确认
4,87.45726435025112,85.68346627645779,300609,汇纳科技,bottom_area,2025-12-24,36.48,2025-12-17,35.44,2.934537246049659,6.997742663656896,28.20097244732577,False,2.0134,2.5998,5,5,5,100.0,21.25919998629576,49.87035436473638,5.0654627539503405,2.934537246049659,历史5/5次成功; 当前距低点2.93%; 最新日涨幅2.01%; 状态bottom_area; 底部未确认
5,85.97836722178155,81.3617999166091,600048,保利发展,bottom_area,2025-12-24,6.26,2025-12-17,6.19,1.1308562197091987,2.9079159935379595,27.60233918128655,False,-0.1595,0.8842,2,2,2,100.0,31.721247836269217,31.987577639751546,6.869143780290801,1.1308562197091987,历史2/2次成功; 当前距低点1.13%; 最新日涨幅-0.16%; 状态bottom_area; 底部未确认
6,83.23866012090046,82.02683510059894,603030,全筑股份,confirmed_rebound,2025-12-24,2.87,2025-12-17,2.78,3.237410071942457,10.071942446043176,30.845771144278604,True,-0.3472,1.5468,7,7,7,100.0,28.80715088509532,51.87969924812029,4.762589928057543,3.237410071942457,历史7/7次成功; 当前距低点3.24%; 最新日涨幅-0.35%; 状态confirmed_rebound; 底部已确认
7,83.05622988293412,82.86178090374665,300768,迪普科技,bottom_area,2025-12-24,18.75,2025-12-17,18.05,3.8781163434903,4.653739612188365,29.43706020328381,False,0.9693,1.1864,3,3,3,100.0,34.32196863927173,47.28781110402041,4.1218836565096995,3.8781163434903,历史3/3次成功; 当前距低点3.88%; 最新日涨幅0.97%; 状态bottom_area; 底部未确认
8,82.77544800575654,83.35350326056667,300598,诚迈科技,bottom_area,2025-12-24,45.22,2025-12-17,43.33,4.361873990306949,4.661897069005316,32.296875,False,1.3674,1.9864,5,5,5,100.0,26.22890300250812,45.24950099800398,3.638126009693052,4.361873990306949,历史5/5次成功; 当前距低点4.36%; 最新日涨幅1.37%; 状态bottom_area; 底部未确认
9,82.62593800448533,78.47338789503948,605368,蓝天燃气,bottom_area,2025-12-24,7.68,2025-12-18,7.58,1.319261213720312,2.6385224274406354,31.65013525698828,False,0.6553,0.8313,1,1,1,100.0,12.695179904955879,12.695179904955879,6.680738786279688,1.319261213720312,历史1/1次成功; 当前距低点1.32%; 最新日涨幅0.66%; 状态bottom_area; 底部未确认
10,81.94632954306846,80.70061534644546,600250,南京商旅,bottom_area,2025-12-24,11.92,2025-12-24,11.55,3.2034632034631962,3.7229437229437203,28.171641791044767,False,-0.6667,12.8111,7,7,7,100.0,20.239308872803957,53.93258426966293,4.796536796536803,3.2034632034631962,历史7/7次成功; 当前距低点3.20%; 最新日涨幅-0.67%; 状态bottom_area; 底部未确认
11,80.63857078206163,81.36058749939397,300681,英搏尔,bottom_area,2025-12-24,24.34,2025-12-17,23.3,4.463519313304717,5.36480686695279,28.593319031566043,False,1.2479,2.8242,6,6,6,100.0,16.760277063057536,27.487589035182385,3.536480686695283,4.463519313304717,历史6/6次成功; 当前距低点4.46%; 最新日涨幅1.25%; 状态bottom_area; 底部未确认
