rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,96.56448595963997,82.13239230138359,300358,楚天科技,bottom_area,2025-12-15,9.06,2025-12-05,8.96,1.1160714285714244,4.575892857142839,27.74193548387096,False,0.0,2.2482,3,4,3,75.0,34.04319977702382,38.205499276411004,18.883928571428577,1.1160714285714244,历史3/4次成功; 当前距低点1.12%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
2,96.11512734727029,81.72846815834768,301001,凯淳股份,bottom_area,2025-12-15,29.37,2025-12-15,29.05,1.1015490533562833,2.340791738382099,29.898648648648646,False,-0.4407,4.2274,1,1,1,100.0,58.89483065953654,58.89483065953654,18.89845094664372,1.1015490533562833,历史1/1次成功; 当前距低点1.10%; 最新日涨幅-0.44%; 状态bottom_area; 底部未确认
3,94.24538609236399,81.38902979373567,600708,光明地产,bottom_area,2025-12-15,3.14,2025-12-15,3.08,1.9480519480519498,2.5974025974025996,27.186761229314428,False,0.3195,0.6298,1,1,1,100.0,36.07843137254903,36.07843137254903,18.051948051948052,1.9480519480519498,历史1/1次成功; 当前距低点1.95%; 最新日涨幅0.32%; 状态bottom_area; 底部未确认
4,92.96398620589034,78.98678128581302,688365,光云科技,bottom_area,2025-12-15,16.23,2025-12-15,16.06,1.0585305105853158,2.677459526774594,30.14354066985646,False,-2.2289,2.5771,1,1,1,100.0,34.732423924449115,34.732423924449115,18.941469489414686,1.0585305105853158,历史1/1次成功; 当前距低点1.06%; 最新日涨幅-2.23%; 状态bottom_area; 底部未确认
5,91.33940894078884,77.63323177968545,300035,中科电气,bottom_area,2025-12-15,20.64,2025-12-05,20.42,1.0773751224289856,5.729676787463261,29.097222222222218,False,-1.6206,2.5744,1,1,1,100.0,27.686274509803933,27.686274509803933,18.922624877571014,1.0773751224289856,历史1/1次成功; 当前距低点1.08%; 最新日涨幅-1.62%; 状态bottom_area; 底部未确认
6,90.95457240192052,78.75203816123734,603030,全筑股份,bottom_area,2025-12-15,2.93,2025-12-15,2.87,2.0905923344947754,6.6202090592334475,28.606965174129346,False,0.6873,2.4649,5,7,5,71.42857142857143,35.553088162210365,51.87969924812029,17.909407665505224,2.0905923344947754,历史5/7次成功; 当前距低点2.09%; 最新日涨幅0.69%; 状态bottom_area; 底部未确认
7,89.43547965118856,75.25283521598685,003038,鑫铂股份,bottom_area,2025-12-15,15.26,2025-12-12,15.18,0.527009222661397,2.108036890645588,29.68967114404817,False,0.3287,1.3297,1,1,1,100.0,25.507614213197975,25.507614213197975,19.4729907773386,0.527009222661397,历史1/1次成功; 当前距低点0.53%; 最新日涨幅0.33%; 状态bottom_area; 底部未确认
8,84.71473976308776,76.39305609284337,002418,康盛股份,bottom_area,2025-12-15,4.59,2025-12-05,4.4,4.318181818181807,7.954545454545446,27.031509121061358,True,2.2272,4.998,1,1,1,100.0,29.078014184397176,29.078014184397176,15.681818181818194,4.318181818181807,历史1/1次成功; 当前距低点4.32%; 最新日涨幅2.23%; 状态bottom_area; 底部已确认
9,84.1694166440107,74.79180129557243,603178,圣龙股份,bottom_area,2025-12-15,18.28,2025-12-05,17.66,3.510758776896948,5.039637599094001,28.182187881252542,False,1.5556,1.3193,5,7,5,71.42857142857143,31.669983984855786,47.51869476546566,16.48924122310305,3.510758776896948,历史5/7次成功; 当前距低点3.51%; 最新日涨幅1.56%; 状态bottom_area; 底部未确认
10,83.58126813148698,72.08419867432934,300768,迪普科技,bottom_area,2025-12-15,19.01,2025-12-05,18.66,1.875669882100758,6.216505894962488,27.05238467552775,False,-1.4004,1.2178,2,3,2,66.66666666666666,46.52720074651822,47.28781110402041,18.12433011789924,1.875669882100758,历史2/3次成功; 当前距低点1.88%; 最新日涨幅-1.40%; 状态bottom_area; 底部未确认
11,80.729908870813,70.28140644586158,605299,舒华体育,bottom_area,2025-12-15,12.0,2025-12-15,11.72,2.3890784982935096,4.522184300341292,32.05797101449275,False,-2.5183,9.2192,2,3,2,66.66666666666666,43.12816535109732,56.12903225806454,17.610921501706493,2.3890784982935096,历史2/3次成功; 当前距低点2.39%; 最新日涨幅-2.52%; 状态bottom_area; 底部未确认
12,73.07672864235535,61.036193406695595,603038,华立股份,bottom_area,2025-12-15,16.11,2025-12-15,16.09,0.12430080795524906,2.9832193909260436,27.3589164785553,False,-2.8347,2.1514,2,4,2,50.0,24.944081982976137,28.753412192902637,19.875699192044753,0.12430080795524906,历史2/4次成功; 当前距低点0.12%; 最新日涨幅-2.83%; 状态bottom_area; 底部未确认
13,72.31238124962127,60.48463699559411,300598,诚迈科技,bottom_area,2025-12-15,44.49,2025-12-15,44.4,0.2027027027027104,2.3648648648648747,30.625000000000004,False,-2.3271,2.2058,2,5,2,40.0,44.60644708471124,45.24950099800398,19.79729729729729,0.2027027027027104,历史2/5次成功; 当前距低点0.20%; 最新日涨幅-2.33%; 状态bottom_area; 底部未确认
14,71.77585553187906,65.04360732760442,688337,普源精电,bottom_area,2025-12-15,37.39,2025-12-04,35.75,4.587412587412589,6.545454545454556,28.499999999999996,False,1.6309,1.5946,3,6,3,50.0,38.886602295188766,54.46153846153845,15.412587412587412,4.587412587412589,历史3/6次成功; 当前距低点4.59%; 最新日涨幅1.63%; 状态bottom_area; 底部未确认
15,70.53541854406453,60.33056727153835,002017,东信和平,bottom_area,2025-12-15,20.68,2025-12-04,20.39,1.422265816576749,5.394801373222157,29.373051610668515,False,-1.1,1.7723,1,3,1,33.33333333333333,50.390015600624025,50.390015600624025,18.577734183423253,1.422265816576749,历史1/3次成功; 当前距低点1.42%; 最新日涨幅-1.10%; 状态bottom_area; 底部未确认
16,68.47775052489652,57.66418357043983,605228,神通科技,bottom_area,2025-12-15,14.11,2025-12-12,14.03,0.5702066999287247,1.7818959372772631,27.680412371134018,False,-0.2827,0.5394,2,5,2,40.0,33.94760670041569,47.56554307116105,19.429793300071278,0.5702066999287247,历史2/5次成功; 当前距低点0.57%; 最新日涨幅-0.28%; 状态bottom_area; 底部未确认
17,68.19221682619803,57.6632071637104,002184,海得控制,bottom_area,2025-12-15,12.64,2025-12-15,12.54,0.7974481658692298,2.5518341307815016,27.388535031847137,False,-1.8634,3.5524,2,5,2,40.0,36.72789775210886,50.27203482045704,19.20255183413077,0.7974481658692298,历史2/5次成功; 当前距低点0.80%; 最新日涨幅-1.86%; 状态bottom_area; 底部未确认
18,67.81583890086243,58.05116343319744,603197,保隆科技,bottom_area,2025-12-15,34.6,2025-11-21,34.1,1.4662756598240467,5.014662756598243,27.431368376250266,False,-0.6889,0.7372,2,6,2,33.33333333333333,21.617949485284576,23.07435811937312,18.533724340175954,1.4662756598240467,历史2/6次成功; 当前距低点1.47%; 最新日涨幅-0.69%; 状态bottom_area; 底部未确认
19,66.96357785254354,56.58209842118818,002176,江特电机,bottom_area,2025-12-15,9.32,2025-12-15,9.25,0.7567567567567599,2.1621621621621547,28.12742812742812,False,-0.6397,2.3202,2,5,2,40.0,30.416687239750484,39.01808785529715,19.243243243243242,0.7567567567567599,历史2/5次成功; 当前距低点0.76%; 最新日涨幅-0.64%; 状态bottom_area; 底部未确认
20,66.95386640799806,58.129783471074404,002291,遥望科技,bottom_area,2025-12-15,6.39,2025-12-15,6.25,2.239999999999995,4.799999999999997,32.650862068965516,False,0.1567,5.0731,1,4,1,25.0,27.107438016528935,27.107438016528935,17.760000000000005,2.239999999999995,历史1/4次成功; 当前距低点2.24%; 最新日涨幅0.16%; 状态bottom_area; 底部未确认
21,66.84772715732954,56.44974626983601,603032,德新科技,bottom_area,2025-12-15,18.1,2025-12-15,17.97,0.7234279354479831,2.114635503617154,27.947072975140347,False,-0.2755,1.9136,2,5,2,40.0,29.296569691706477,33.061224489795926,19.276572064552017,0.7234279354479831,历史2/5次成功; 当前距低点0.72%; 最新日涨幅-0.28%; 状态bottom_area; 底部未确认
