rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,93.58510651667505,82.34604741643732,603368,柳药集团,bottom_area,2024-06-28,17.5,2024-06-28,17.39,0.632547441058076,1.7826336975273072,27.842323651452283,False,0.1144,1.5938,3,3,3,100.0,31.603524634675978,42.85714285714285,14.367452558941924,0.632547441058076,历史3/3次成功; 当前距低点0.63%; 最新日涨幅0.11%; 状态bottom_area; 底部未确认
2,91.68529005207961,81.75068673081797,002838,道恩股份,bottom_area,2024-06-28,9.06,2024-06-26,8.94,1.342281879194642,5.369127516778528,28.934817170111295,False,0.0,0.6812,4,5,4,80.0,23.930588254740684,38.59649122807017,13.657718120805356,1.342281879194642,历史4/5次成功; 当前距低点1.34%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
3,91.60690224940868,82.54422236612696,002779,中坚科技,bottom_area,2024-06-28,28.34,2024-06-28,27.81,1.9057892844300655,3.1283710895361416,27.653485952133195,False,0.675,0.5894,2,2,2,100.0,25.1044190033737,29.818594104308378,13.094210715569934,1.9057892844300655,历史2/2次成功; 当前距低点1.91%; 最新日涨幅0.68%; 状态bottom_area; 底部未确认
4,91.04628513356559,82.85902439024389,002687,乔治白,bottom_area,2024-06-28,4.2,2024-06-24,4.1,2.4390243902439157,4.146341463414633,29.914529914529915,False,0.2387,0.9426,1,1,1,100.0,64.00000000000001,64.00000000000001,12.560975609756083,2.4390243902439157,历史1/1次成功; 当前距低点2.44%; 最新日涨幅0.24%; 状态bottom_area; 底部未确认
5,90.46924588831517,80.45967871485944,000718,苏宁环球,bottom_area,2024-06-28,1.68,2024-06-24,1.66,1.204819277108435,5.421686746987957,32.24489795918368,False,-1.1765,0.7952,2,2,2,100.0,27.77777777777778,36.111111111111114,13.795180722891565,1.204819277108435,历史2/2次成功; 当前距低点1.20%; 最新日涨幅-1.18%; 状态bottom_area; 底部未确认
6,88.90221773775797,79.66092115336554,601908,京运通,bottom_area,2024-06-28,2.53,2024-06-24,2.49,1.6064257028112285,6.827309236947787,28.857142857142854,False,-1.1719,0.7221,2,2,2,100.0,28.406299762231964,40.33898305084744,13.39357429718877,1.6064257028112285,历史2/2次成功; 当前距低点1.61%; 最新日涨幅-1.17%; 状态bottom_area; 底部未确认
7,88.8099623716903,81.63604139715397,002015,协鑫能科,bottom_area,2024-06-28,7.96,2024-06-25,7.73,2.9754204398447546,4.786545924967648,27.349624060150372,False,1.2723,0.5254,1,1,1,100.0,65.95380667236954,65.95380667236954,12.024579560155244,2.9754204398447546,历史1/1次成功; 当前距低点2.98%; 最新日涨幅1.27%; 状态bottom_area; 底部未确认
8,88.4023486625003,78.39568920043443,300393,中来股份,bottom_area,2024-06-28,5.77,2024-06-26,5.71,1.0507880910682945,5.078809106830123,29.766297662976637,False,-0.3454,1.0857,4,5,4,80.0,24.792935742312604,36.516853932584276,13.949211908931705,1.0507880910682945,历史4/5次成功; 当前距低点1.05%; 最新日涨幅-0.35%; 状态bottom_area; 底部未确认
9,88.39306632372511,78.46978834505325,002163,海南发展,bottom_area,2024-06-28,5.48,2024-06-26,5.42,1.1070110701107103,6.0885608856088576,28.306878306878303,False,-2.1429,0.7972,1,1,1,100.0,32.54716981132074,32.54716981132074,13.892988929889288,1.1070110701107103,历史1/1次成功; 当前距低点1.11%; 最新日涨幅-2.14%; 状态bottom_area; 底部未确认
10,88.29974088598583,77.91153607586986,002481,双塔食品,bottom_area,2024-06-28,3.87,2024-06-28,3.84,0.7812500000000066,3.1250000000000027,27.819548872180455,False,-0.2577,1.2276,3,3,3,100.0,32.057989655214385,54.6583850931677,14.218749999999995,0.7812500000000066,历史3/3次成功; 当前距低点0.78%; 最新日涨幅-0.26%; 状态bottom_area; 底部未确认
11,87.79201367790984,78.8677179701033,600295,鄂尔多斯,bottom_area,2024-06-28,9.92,2024-06-27,9.75,1.7435897435897427,3.1794871794871846,27.61692650334076,False,1.2245,0.391,1,1,1,100.0,20.016680567139286,20.016680567139286,13.256410256410255,1.7435897435897427,历史1/1次成功; 当前距低点1.74%; 最新日涨幅1.22%; 状态bottom_area; 底部未确认
12,87.3810111704652,79.14517752618097,000516,国际医学,bottom_area,2024-06-28,4.68,2024-06-25,4.58,2.18340611353711,4.5851528384279465,28.100470957613815,False,0.6452,0.635,1,1,1,100.0,26.89969604863221,26.89969604863221,12.81659388646289,2.18340611353711,历史1/1次成功; 当前距低点2.18%; 最新日涨幅0.65%; 状态bottom_area; 底部未确认
13,87.17273047246421,78.48233493718257,601388,怡球资源,bottom_area,2024-06-28,2.19,2024-06-26,2.15,1.8604651162790715,4.1860465116279215,27.609427609427616,False,0.4587,0.6538,3,4,3,75.0,23.544061302681985,35.632183908045974,13.139534883720927,1.8604651162790715,历史3/4次成功; 当前距低点1.86%; 最新日涨幅0.46%; 状态bottom_area; 底部未确认
14,87.15140070377268,80.298831268457,600162,香江控股,bottom_area,2024-06-28,1.33,2024-06-24,1.29,3.1007751937984525,4.651162790697678,32.81249999999999,False,0.7576,0.3166,2,2,2,100.0,27.68063822751323,28.90624999999999,11.899224806201547,3.1007751937984525,历史2/2次成功; 当前距低点3.10%; 最新日涨幅0.76%; 状态bottom_area; 底部未确认
15,86.91323678802337,79.30676986683336,000862,银星能源,bottom_area,2024-06-28,4.77,2024-06-26,4.65,2.5806451612903056,4.731182795698919,27.34375,False,0.6329,1.0003,1,1,1,100.0,32.63785394932937,32.63785394932937,12.419354838709694,2.5806451612903056,历史1/1次成功; 当前距低点2.58%; 最新日涨幅0.63%; 状态bottom_area; 底部未确认
16,86.32266620717131,75.90286466707572,000717,中南股份,bottom_area,2024-06-28,1.69,2024-06-24,1.68,0.5952380952380958,5.357142857142862,29.411764705882355,False,-1.1696,0.5295,2,2,2,100.0,35.64520174311065,56.020942408376975,14.404761904761903,0.5952380952380958,历史2/2次成功; 当前距低点0.60%; 最新日涨幅-1.17%; 状态bottom_area; 底部未确认
17,86.0487336593301,74.82498579072183,002219,新里程,bottom_area,2024-06-28,1.86,2024-06-24,1.86,0.0,6.451612903225799,28.735632183908038,False,-1.0638,0.5723,2,2,2,100.0,34.81175156302061,45.685279187817265,15.0,0.0,历史2/2次成功; 当前距低点0.00%; 最新日涨幅-1.06%; 状态bottom_area; 底部未确认
18,85.77519131278987,76.30406414614163,603180,金牌家居,bottom_area,2024-06-28,19.11,2024-06-24,18.88,1.2182203389830533,4.661016949152557,28.403488813045136,False,-0.6757,0.4397,3,4,3,75.0,26.433368381844026,31.366822429906527,13.781779661016946,1.2182203389830533,历史3/4次成功; 当前距低点1.22%; 最新日涨幅-0.68%; 状态bottom_area; 底部未确认
19,84.51258701066628,76.68484804544295,688017,绿的谐波,bottom_area,2024-06-28,82.1,2024-06-26,80.27,2.2798056559112974,5.506415846518005,28.85757334042365,False,0.0487,1.4067,3,4,3,75.0,19.02045667161674,22.08643815201191,12.720194344088704,2.2798056559112974,历史3/4次成功; 当前距低点2.28%; 最新日涨幅0.05%; 状态bottom_area; 底部未确认
20,84.0502707348168,78.37257796257795,001218,丽臣实业,bottom_area,2024-06-28,14.97,2024-06-24,14.43,3.7422037422037486,5.959805959805956,27.121212121212125,False,0.2008,1.0024,2,2,2,100.0,25.18711018711019,29.999999999999993,11.257796257796251,3.7422037422037486,历史2/2次成功; 当前距低点3.74%; 最新日涨幅0.20%; 状态bottom_area; 底部未确认
21,83.9172932575758,74.0680817130418,301332,德尔玛,bottom_area,2024-06-28,8.84,2024-06-24,8.77,0.7981755986317023,4.332953249714946,30.507131537242472,False,-0.4505,0.9384,1,1,1,100.0,44.935064935064936,44.935064935064936,14.201824401368295,0.7981755986317023,历史1/1次成功; 当前距低点0.80%; 最新日涨幅-0.45%; 状态bottom_area; 底部未确认
22,83.82116487140874,79.3861090422531,600268,国电南自,bottom_area,2024-06-28,5.71,2024-06-28,5.46,4.5787545787545785,6.043956043956046,30.08962868117797,False,3.6298,2.7885,3,3,3,100.0,24.22402947211577,34.43298969072165,10.42124542124542,4.5787545787545785,历史3/3次成功; 当前距低点4.58%; 最新日涨幅3.63%; 状态bottom_area; 底部未确认
23,83.05913527060638,74.82179392126938,002208,合肥城建,bottom_area,2024-06-28,4.31,2024-06-25,4.23,1.8912529550827228,5.67375886524821,28.42639593908629,False,-0.4619,0.709,1,1,1,100.0,22.54758418740848,22.54758418740848,13.108747044917276,1.8912529550827228,历史1/1次成功; 当前距低点1.89%; 最新日涨幅-0.46%; 状态bottom_area; 底部未确认
24,82.84141023479252,72.22486077048733,603233,大参林,bottom_area,2024-06-28,14.3,2024-06-28,14.28,0.14005602240897305,3.7815126050420234,29.82800982800984,False,-2.8533,1.109,4,5,4,80.0,20.29133602999884,27.64192139737992,14.859943977591024,0.14005602240897305,历史4/5次成功; 当前距低点0.14%; 最新日涨幅-2.85%; 状态bottom_area; 底部未确认
25,82.01087081339712,74.40502392344497,601588,北辰实业,bottom_area,2024-06-28,1.35,2024-06-24,1.32,2.2727272727272747,10.606060606060598,32.6530612244898,True,-1.4599,0.6455,1,1,1,100.0,15.789473684210531,15.789473684210531,12.727272727272727,2.2727272727272747,历史1/1次成功; 当前距低点2.27%; 最新日涨幅-1.46%; 状态bottom_area; 底部已确认
26,81.60181347846833,71.81142157515995,002345,潮宏基,bottom_area,2024-06-28,4.72,2024-06-28,4.69,0.6396588486140588,2.5586353944562727,28.61491628614916,False,-0.8403,1.126,1,1,1,100.0,30.859375,30.859375,14.360341151385942,0.6396588486140588,历史1/1次成功; 当前距低点0.64%; 最新日涨幅-0.84%; 状态bottom_area; 底部未确认
27,81.07492666024717,74.84236425743013,001212,中旗新材,bottom_area,2024-06-28,20.3,2024-06-25,19.67,3.2028469750889625,6.659888154550068,31.103327495621713,False,-0.6363,1.3451,3,4,3,75.0,42.90244817544601,82.06521739130437,11.797153024911037,3.2028469750889625,历史3/4次成功; 当前距低点3.20%; 最新日涨幅-0.64%; 状态bottom_area; 底部未确认
28,80.78412657964805,70.50501909854852,002572,索菲亚,bottom_area,2024-06-28,15.33,2024-06-28,15.3,0.1960784313725448,2.614379084967311,28.96935933147632,False,-1.3514,1.4478,1,1,1,100.0,18.398268398268392,18.398268398268392,14.803921568627453,0.1960784313725448,历史1/1次成功; 当前距低点0.20%; 最新日涨幅-1.35%; 状态bottom_area; 底部未确认
29,80.7632351992639,70.90823619384548,300755,华致酒行,bottom_area,2024-06-28,13.66,2024-06-28,13.59,0.5150846210448881,2.354672553348052,28.057173107464266,False,-0.7988,0.5145,1,1,1,100.0,24.47650069799908,24.47650069799908,14.484915378955113,0.5150846210448881,历史1/1次成功; 当前距低点0.52%; 最新日涨幅-0.80%; 状态bottom_area; 底部未确认
30,80.41429543712968,70.29885010274346,603305,旭升集团,bottom_area,2024-06-28,10.56,2024-06-28,10.53,0.28490028490029573,3.133903133903135,28.122866894197955,False,-0.9381,0.9709,3,4,3,75.0,22.545283614602845,32.41061130334487,14.715099715099702,0.28490028490029573,历史3/4次成功; 当前距低点0.28%; 最新日涨幅-0.94%; 状态bottom_area; 底部未确认
