rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,91.1462795946467,81.09157789945249,002321,华英农业,bottom_area,2024-12-26,2.48,2024-12-25,2.45,1.2244897959183594,7.346938775510193,30.790960451977394,False,0.813,2.0638,1,1,1,100.0,25.609756097560986,25.609756097560986,13.77551020408164,1.2244897959183594,历史1/1次成功; 当前距低点1.22%; 最新日涨幅0.81%; 状态bottom_area; 底部未确认
2,91.0238004439064,80.85928571428572,300720,海川智能,bottom_area,2024-12-26,17.7,2024-12-26,17.5,1.1428571428571388,4.857142857142866,27.476170741815164,False,-0.4499,1.8663,3,4,3,75.0,57.75229601757511,75.69193742478939,13.85714285714286,1.1428571428571388,历史3/4次成功; 当前距低点1.14%; 最新日涨幅-0.45%; 状态bottom_area; 底部未确认
3,88.82270428347164,80.05668571428572,002016,世荣兆业,bottom_area,2024-12-26,6.37,2024-12-25,6.25,1.9200000000000015,3.840000000000003,28.160919540229877,False,0.1572,0.5272,1,1,1,100.0,28.571428571428566,28.571428571428566,13.079999999999997,1.9200000000000015,历史1/1次成功; 当前距低点1.92%; 最新日涨幅0.16%; 状态bottom_area; 底部未确认
4,87.7877755258106,79.49316969210714,002453,华软科技,bottom_area,2024-12-26,5.18,2024-12-25,5.07,2.169625246548312,6.903353057199204,28.89200561009817,False,0.1934,2.0666,1,1,1,100.0,28.60169491525425,28.60169491525425,12.830374753451688,2.169625246548312,历史1/1次成功; 当前距低点2.17%; 最新日涨幅0.19%; 状态bottom_area; 底部未确认
5,86.21381595417364,78.50815243905423,002178,延华智能,bottom_area,2024-12-26,6.22,2024-12-25,6.07,2.471169686985164,8.237232289950576,29.663962920046355,False,0.3226,3.346,4,5,4,80.0,20.335587770862393,29.076086956521735,12.528830313014835,2.471169686985164,历史4/5次成功; 当前距低点2.47%; 最新日涨幅0.32%; 状态bottom_area; 底部未确认
6,84.66036751933507,75.27583257464613,000668,荣丰控股,bottom_area,2024-12-26,6.79,2024-12-25,6.71,1.1922503725782425,7.153502235469455,32.085020242914986,False,-1.0204,3.893,1,1,1,100.0,16.420233463035032,16.420233463035032,13.807749627421757,1.1922503725782425,历史1/1次成功; 当前距低点1.19%; 最新日涨幅-1.02%; 状态bottom_area; 底部未确认
7,84.56724477845704,74.95882361490447,600416,湘电股份,bottom_area,2024-12-26,10.84,2024-12-25,10.73,1.025163094128606,3.168685927306616,27.500000000000004,False,0.1848,0.739,2,3,2,66.66666666666666,29.083488187371074,34.41084462982274,13.974836905871394,1.025163094128606,历史2/3次成功; 当前距低点1.03%; 最新日涨幅0.18%; 状态bottom_area; 底部未确认
8,84.42905551460441,77.67823799162981,002741,光华科技,bottom_area,2024-12-26,17.72,2024-12-25,17.2,3.0232558139534857,6.279069767441871,31.746031746031743,False,0.283,8.4592,3,4,3,75.0,33.47452283571915,40.99999999999999,11.976744186046513,3.0232558139534857,历史3/4次成功; 当前距低点3.02%; 最新日涨幅0.28%; 状态bottom_area; 底部未确认
9,84.39580968807113,77.12597263760098,300355,蒙草生态,bottom_area,2024-12-26,5.4,2024-12-25,5.26,2.6615969581749157,7.604562737642592,29.58500669344043,False,-1.2797,4.4116,2,2,2,100.0,27.711901624945106,33.201581027668,12.338403041825083,2.6615969581749157,历史2/2次成功; 当前距低点2.66%; 最新日涨幅-1.28%; 状态bottom_area; 底部未确认
10,82.50488699761378,74.03108139941614,601011,宝泰隆,bottom_area,2024-12-26,2.42,2024-12-25,2.38,1.6806722689075646,7.14285714285714,27.439024390243897,False,0.0,2.7382,2,3,2,66.66666666666666,32.130900569132905,34.951456310679596,13.319327731092434,1.6806722689075646,历史2/3次成功; 当前距低点1.68%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
11,82.25563862277447,78.43013846057325,600327,大东方,bottom_area,2024-12-26,5.31,2024-12-25,5.06,4.940711462450594,6.719367588932822,30.494505494505503,False,1.3359,4.88,3,3,3,100.0,23.521293521293522,33.030303030303024,10.059288537549406,4.940711462450594,历史3/3次成功; 当前距低点4.94%; 最新日涨幅1.34%; 状态bottom_area; 底部未确认
12,81.37200873504102,75.0937359014963,603216,梦天家居,bottom_area,2024-12-26,11.01,2024-12-25,10.67,3.1865042174320513,4.404873477038432,28.244788164088767,False,1.2879,5.1118,1,1,1,100.0,17.41379310344827,17.41379310344827,11.813495782567948,3.1865042174320513,历史1/1次成功; 当前距低点3.19%; 最新日涨幅1.29%; 状态bottom_area; 底部未确认
13,80.61484138582394,75.67967391767154,000691,亚太实业,bottom_area,2024-12-26,3.55,2024-12-26,3.41,4.1055718475073215,8.504398826979473,30.691056910569102,False,0.2825,6.0608,3,4,3,75.0,35.99665446230238,76.05633802816902,10.894428152492678,4.1055718475073215,历史3/4次成功; 当前距低点4.11%; 最新日涨幅0.28%; 状态bottom_area; 底部未确认
14,80.21454539803659,74.50403058332633,002383,合众思壮,bottom_area,2024-12-26,8.5,2024-12-25,8.21,3.5322777101096117,6.577344701583423,31.06633081444164,False,1.5532,3.3354,1,1,1,100.0,18.48184818481848,18.48184818481848,11.467722289890387,3.5322777101096117,历史1/1次成功; 当前距低点3.53%; 最新日涨幅1.55%; 状态bottom_area; 底部未确认
15,79.08699665707702,73.73555215187191,000510,新金路,bottom_area,2024-12-26,3.61,2024-12-25,3.48,3.735632183908043,8.045977011494248,29.6969696969697,False,0.838,2.323,3,4,3,75.0,21.0096426407648,23.043478260869577,11.264367816091957,3.735632183908043,历史3/4次成功; 当前距低点3.74%; 最新日涨幅0.84%; 状态bottom_area; 底部未确认
