rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,90.3885656494398,85.48260731649322,300536,农尚环境,bottom_area,2024-09-13,4.6,2024-09-13,4.55,1.098901098901095,7.91208791208792,30.428134556574925,False,-3.3613,4.1161,6,6,6,100.0,30.366138827890936,60.27027027027027,6.901098901098905,1.098901098901095,历史6/6次成功; 当前距低点1.10%; 最新日涨幅-3.36%; 状态bottom_area; 底部未确认
2,87.36395759362013,83.2210408851488,000597,东北制药,bottom_area,2024-09-13,4.13,2024-08-26,4.07,1.4742014742014646,5.65110565110564,32.053422370617696,False,-0.4819,1.0287,3,3,3,100.0,29.259248636172746,61.02150537634409,6.525798525798536,1.4742014742014646,历史3/3次成功; 当前距低点1.47%; 最新日涨幅-0.48%; 状态bottom_area; 底部未确认
3,86.6710405219707,82.72572782484987,300653,正海生物,bottom_area,2024-09-13,18.67,2024-08-28,18.38,1.5778019586507221,7.83460282916214,27.466456195737965,True,-1.4256,0.4915,3,3,3,100.0,18.672668228889858,29.647513278609367,6.422198041349278,1.5778019586507221,历史3/3次成功; 当前距低点1.58%; 最新日涨幅-1.43%; 状态bottom_area; 底部已确认
4,86.21799848545743,79.98460575098687,300521,爱司凯,bottom_area,2024-09-13,10.06,2024-09-13,10.05,0.09950248756218692,5.07462686567164,27.697841726618698,False,-5.0047,2.474,6,6,6,100.0,28.395007648541178,73.27586206896554,7.900497512437814,0.09950248756218692,历史6/6次成功; 当前距低点0.10%; 最新日涨幅-5.00%; 状态bottom_area; 底部未确认
5,85.20865145434489,80.82828014335043,000591,太阳能,bottom_area,2024-09-13,4.03,2024-08-23,3.98,1.2562814070351824,7.035175879396981,28.158844765342963,True,-0.9828,0.316,2,2,2,100.0,21.19678360962714,32.84132841328414,6.743718592964817,1.2562814070351824,历史2/2次成功; 当前距低点1.26%; 最新日涨幅-0.98%; 状态bottom_area; 底部已确认
6,84.71931517548738,80.12106287155467,000898,鞍钢股份,bottom_area,2024-09-13,1.84,2024-09-12,1.82,1.0989010989010999,2.7472527472527495,30.0,False,0.5464,0.6228,1,1,1,100.0,18.852459016393443,18.852459016393443,6.9010989010989015,1.0989010989010999,历史1/1次成功; 当前距低点1.10%; 最新日涨幅0.55%; 状态bottom_area; 底部未确认
7,84.30743481753164,78.23908992923373,002806,华锋股份,bottom_area,2024-09-13,8.53,2024-09-13,8.52,0.11737089201877685,7.511737089201885,30.335241210139007,False,-5.9537,8.7271,4,4,4,100.0,19.229546037830822,34.66407010710809,7.882629107981224,0.11737089201877685,历史4/4次成功; 当前距低点0.12%; 最新日涨幅-5.95%; 状态bottom_area; 底部未确认
8,84.12530009801617,78.69286472639443,603060,国检集团,bottom_area,2024-09-13,5.69,2024-09-13,5.66,0.5300353356890503,2.826855123674914,27.806122448979586,False,-0.5245,1.0349,4,4,4,100.0,16.51260909551329,36.2098138747885,7.46996466431095,0.5300353356890503,历史4/4次成功; 当前距低点0.53%; 最新日涨幅-0.52%; 状态bottom_area; 底部未确认
9,82.92660538497876,76.78389387498032,300455,航天智装,bottom_area,2024-09-13,9.93,2024-09-10,9.93,0.0,3.625377643504526,27.939042089985485,False,-1.4881,0.8706,3,3,3,100.0,28.676848790216763,53.103448275862064,8.0,0.0,历史3/3次成功; 当前距低点0.00%; 最新日涨幅-1.49%; 状态bottom_area; 底部未确认
10,82.82973564364401,79.05471957702039,000690,宝新能源,bottom_area,2024-09-13,3.87,2024-09-11,3.81,1.5748031496063006,2.624671916010501,27.15105162523901,False,0.2591,0.6927,1,1,1,100.0,18.953068592057758,18.953068592057758,6.4251968503937,1.5748031496063006,历史1/1次成功; 当前距低点1.57%; 最新日涨幅0.26%; 状态bottom_area; 底部未确认
11,81.67165320819865,79.76358317920588,300401,花园生物,bottom_area,2024-09-13,12.24,2024-09-10,11.91,2.7707808564231744,6.045340050377839,30.023501762632193,False,0.6579,4.2121,2,2,2,100.0,20.757868450810403,29.551451187335093,5.229219143576826,2.7707808564231744,历史2/2次成功; 当前距低点2.77%; 最新日涨幅0.66%; 状态bottom_area; 底部未确认
