rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,93.00016075288308,86.46501432159938,600343,航天动力,bottom_area,2024-08-21,7.74,2024-08-19,7.65,1.1764705882352922,2.875816993464049,31.696428571428566,False,-1.1494,1.2095,4,4,4,100.0,26.383694961160476,55.72413793103447,8.823529411764708,1.1764705882352922,历史4/4次成功; 当前距低点1.18%; 最新日涨幅-1.15%; 状态bottom_area; 底部未确认
2,91.37383430372516,85.2423658807256,300424,航新科技,bottom_area,2024-08-21,11.97,2024-08-21,11.81,1.354784081287046,2.6248941574936384,32.28211009174312,False,0.0,2.8955,2,2,2,100.0,32.85630960247343,52.29885057471265,8.645215918712955,1.354784081287046,历史2/2次成功; 当前距低点1.35%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
3,89.69489469821352,86.58374979048756,002685,华东重机,bottom_area,2024-08-21,2.95,2024-08-19,2.86,3.1468531468531578,3.4965034965034993,27.41116751269036,False,1.3746,4.5852,3,3,3,100.0,45.36868260920823,109.52380952380952,6.853146853146844,3.1468531468531578,历史3/3次成功; 当前距低点3.15%; 最新日涨幅1.37%; 状态bottom_area; 底部未确认
4,89.57449392712554,83.1763157894737,002110,三钢闽光,bottom_area,2024-08-21,2.73,2024-08-21,2.7,1.1111111111111038,1.1111111111111038,28.19148936170212,False,0.3676,0.2389,2,2,2,100.0,18.761554423693642,22.90322580645161,8.888888888888896,1.1111111111111038,历史2/2次成功; 当前距低点1.11%; 最新日涨幅0.37%; 状态bottom_area; 底部未确认
5,85.38815492404068,79.26392453433103,002715,登云股份,bottom_area,2024-08-21,10.16,2024-08-20,10.05,1.0945273631840737,4.4776119402985,28.162973552537522,False,-0.6843,1.4539,1,1,1,100.0,36.66369313113291,36.66369313113291,8.905472636815928,1.0945273631840737,历史1/1次成功; 当前距低点1.09%; 最新日涨幅-0.68%; 状态bottom_area; 底部未确认
6,84.94458905353996,79.43702871755902,601163,三角轮胎,bottom_area,2024-08-21,14.38,2024-07-25,14.17,1.4820042342978184,7.480592801693723,27.18396711202467,True,-1.776,0.4909,2,2,2,100.0,16.48386221375298,20.655412115193645,8.517995765702183,1.4820042342978184,历史2/2次成功; 当前距低点1.48%; 最新日涨幅-1.78%; 状态bottom_area; 底部已确认
7,84.65061264101213,78.95323778741859,002768,国恩股份,bottom_area,2024-08-21,17.35,2024-07-25,17.12,1.343457943925236,7.827102803738316,27.549724925941593,True,-0.6869,0.3616,2,2,2,100.0,12.184526341764123,13.681691264459511,8.656542056074764,1.343457943925236,历史2/2次成功; 当前距低点1.34%; 最新日涨幅-0.69%; 状态bottom_area; 底部已确认
8,84.32708814949707,79.8248557982465,301510,固高科技,bottom_area,2024-08-21,20.23,2024-08-21,19.81,2.1201413427561926,3.63452801615347,28.91998564764981,False,0.9985,1.5022,2,2,2,100.0,13.11170999855176,16.010654039656714,7.879858657243807,2.1201413427561926,历史2/2次成功; 当前距低点2.12%; 最新日涨幅1.00%; 状态bottom_area; 底部未确认
9,84.18415535687372,77.56658644351123,000597,东北制药,bottom_area,2024-08-21,4.29,2024-08-21,4.26,0.704225352112682,2.8169014084507067,28.881469115191994,False,-1.3793,2.8121,3,3,3,100.0,29.259248636172746,61.02150537634409,9.295774647887319,0.704225352112682,历史3/3次成功; 当前距低点0.70%; 最新日涨幅-1.38%; 状态bottom_area; 底部未确认
10,83.70240132016983,77.38046768571591,000155,川能动力,bottom_area,2024-08-21,9.18,2024-08-21,9.1,0.87912087912088,1.9780219780219748,27.490039840637458,False,0.1091,0.4941,2,2,2,100.0,24.596039194147934,37.70685579196216,9.12087912087912,0.87912087912088,历史2/2次成功; 当前距低点0.88%; 最新日涨幅0.11%; 状态bottom_area; 底部未确认
11,83.61603230313948,81.6714734123688,000789,万年青,bottom_area,2024-08-21,4.41,2024-07-09,4.25,3.7647058823529442,9.88235294117647,29.752066115702476,True,0.0,0.3988,2,2,2,100.0,34.00539152759949,47.599999999999994,6.235294117647056,3.7647058823529442,历史2/2次成功; 当前距低点3.76%; 最新日涨幅0.00%; 状态bottom_area; 底部已确认
