rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,90.93733176818856,82.01522790215536,000811,冰轮环境,bottom_area,2025-06-09,9.39,2025-06-03,9.21,1.9543973941368045,6.297502714440806,28.54926299456943,False,0.0,2.2528,4,5,4,80.0,32.856204090254195,47.451868629671566,13.045602605863193,1.9543973941368045,历史4/5次成功; 当前距低点1.95%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
2,90.87511994326933,81.63469703606516,002041,登海种业,bottom_area,2025-06-09,9.93,2025-06-03,9.76,1.7418032786885238,2.151639344262304,28.023598820059004,False,0.4044,0.5576,2,2,2,100.0,18.2043468358871,21.395106715252467,13.258196721311478,1.7418032786885238,历史2/2次成功; 当前距低点1.74%; 最新日涨幅0.40%; 状态bottom_area; 底部未确认
3,89.63923713167623,84.39865735969745,002779,中坚科技,bottom_area,2025-06-09,98.32,2025-06-06,94.3,4.262990455991512,6.023329798515384,30.809303690659622,False,2.727,5.4562,4,4,4,100.0,30.635890319129533,38.253119429590015,10.737009544008487,4.262990455991512,历史4/4次成功; 当前距低点4.26%; 最新日涨幅2.73%; 状态bottom_area; 底部未确认
4,89.08536355565715,80.43417274939173,002889,东方嘉盛,bottom_area,2025-06-09,14.69,2025-06-05,14.4,2.0138888888888826,3.611111111111108,32.92966930600838,False,0.273,1.4768,1,1,1,100.0,31.751824817518237,31.751824817518237,12.986111111111118,2.0138888888888826,历史1/1次成功; 当前距低点2.01%; 最新日涨幅0.27%; 状态bottom_area; 底部未确认
5,89.03723172711528,80.96445958700727,605378,野马电池,bottom_area,2025-06-09,17.1,2025-06-06,16.7,2.3952095808383365,4.4311377245509105,32.850824286288706,False,1.5439,1.8728,2,2,2,100.0,22.61041629741227,29.89631336405531,12.604790419161663,2.3952095808383365,历史2/2次成功; 当前距低点2.40%; 最新日涨幅1.54%; 状态bottom_area; 底部未确认
6,86.62915736900781,78.42472463768117,688305,科德数控,bottom_area,2025-06-09,55.9,2025-06-05,54.72,2.1564327485380113,2.649853801169596,32.26046051002724,False,0.939,0.7642,1,1,1,100.0,22.69565217391304,22.69565217391304,12.843567251461987,2.1564327485380113,历史1/1次成功; 当前距低点2.16%; 最新日涨幅0.94%; 状态bottom_area; 底部未确认
7,86.47047034764825,76.96822085889569,688682,霍莱沃,bottom_area,2025-06-09,28.35,2025-06-05,28.0,1.250000000000005,4.607142857142854,31.37254901960784,False,-1.0471,1.6519,1,1,1,100.0,26.22699386503069,26.22699386503069,13.749999999999996,1.250000000000005,历史1/1次成功; 当前距低点1.25%; 最新日涨幅-1.05%; 状态bottom_area; 底部未确认
8,83.58192953403544,77.08642750422776,600770,综艺股份,bottom_area,2025-06-09,5.56,2025-06-05,5.39,3.153988868274581,4.267161410018561,28.60927152317881,False,2.2059,4.1642,1,1,1,100.0,27.72861356932153,27.72861356932153,11.846011131725417,3.153988868274581,历史1/1次成功; 当前距低点3.15%; 最新日涨幅2.21%; 状态bottom_area; 底部未确认
9,83.00866769161522,73.47548918535583,000096,广聚能源,bottom_area,2025-06-09,13.8,2025-06-06,13.67,0.9509875640087841,1.3167520117044602,28.802083333333332,False,0.2179,2.0074,1,1,1,100.0,21.149144254278735,21.149144254278735,14.049012435991216,0.9509875640087841,历史1/1次成功; 当前距低点0.95%; 最新日涨幅0.22%; 状态bottom_area; 底部未确认
10,82.39841998204989,74.63640224823818,605377,华旺科技,bottom_area,2025-06-09,8.88,2025-06-05,8.69,2.1864211737629606,5.178365937859621,28.062913907284777,False,-0.3367,0.656,1,1,1,100.0,25.16904583020285,25.16904583020285,12.813578826237038,2.1864211737629606,历史1/1次成功; 当前距低点2.19%; 最新日涨幅-0.34%; 状态bottom_area; 底部未确认
11,81.716574718332,75.10698085550621,002304,洋河股份,bottom_area,2025-06-09,66.93,2025-05-29,65.0,2.9692307692307796,3.538461538461534,31.57894736842105,False,-0.2831,0.2611,2,2,2,100.0,20.62810220081931,20.781426953567394,12.03076923076922,2.9692307692307796,历史2/2次成功; 当前距低点2.97%; 最新日涨幅-0.28%; 状态bottom_area; 底部未确认
12,81.28593419644572,76.23306382215505,002819,东方中科,bottom_area,2025-06-09,29.02,2025-05-30,27.89,4.051631409107203,4.266762280387228,31.575073601570164,False,1.2561,3.555,4,5,4,80.0,27.47733029526597,51.677148846960186,10.948368590892796,4.051631409107203,历史4/5次成功; 当前距低点4.05%; 最新日涨幅1.26%; 状态bottom_area; 底部未确认
13,78.66800367911785,74.68854801569648,688543,国科军工,bottom_area,2025-06-09,45.57,2025-06-04,43.52,4.710477941176464,6.755514705882347,31.604589030331603,False,2.1062,4.4613,1,1,1,100.0,33.916331836445266,33.916331836445266,10.289522058823536,4.710477941176464,历史1/1次成功; 当前距低点4.71%; 最新日涨幅2.11%; 状态bottom_area; 底部未确认
14,78.57658697105374,74.01201811817437,688448,磁谷科技,bottom_area,2025-06-09,29.94,2025-06-03,28.71,4.284221525600837,4.771856495994418,27.113480578827115,False,2.4991,3.9503,1,1,1,100.0,25.053995680345576,25.053995680345576,10.715778474399162,4.284221525600837,历史1/1次成功; 当前距低点4.28%; 最新日涨幅2.50%; 状态bottom_area; 底部未确认
15,78.34419305902779,70.10789719404818,688188,柏楚电子,bottom_area,2025-06-09,139.5,2025-06-09,137.39,1.5357740738045083,2.8531916442244825,31.50363944560775,False,-1.2809,0.394,2,3,2,66.66666666666666,31.735459223955836,34.07281509974057,13.46422592619549,1.5357740738045083,历史2/3次成功; 当前距低点1.54%; 最新日涨幅-1.28%; 状态bottom_area; 底部未确认
16,75.91025615663794,71.78573722532161,688318,财富趋势,bottom_area,2025-06-09,101.06,2025-06-06,96.71,4.497983662496131,6.503980974046124,30.906622847753095,False,3.9819,2.011,5,7,5,71.42857142857143,27.609815538164007,36.949152542372886,10.502016337503868,4.497983662496131,历史5/7次成功; 当前距低点4.50%; 最新日涨幅3.98%; 状态bottom_area; 底部未确认
17,69.56548342198013,64.81148584195111,000715,中兴商业,bottom_area,2025-06-09,5.61,2025-06-03,5.41,3.6968576709796706,6.099815157116452,28.815789473684205,False,0.0,1.9836,2,4,2,50.0,26.722157697767457,29.105691056910565,11.30314232902033,3.6968576709796706,历史2/4次成功; 当前距低点3.70%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
18,69.34959829544017,64.32795558014732,603192,汇得科技,bottom_area,2025-06-09,21.22,2025-06-05,20.51,3.4617259873232435,4.485616772306183,31.610536845615194,False,0.2362,4.4201,2,4,2,50.0,21.240273286259704,25.562817719680464,11.538274012676755,3.4617259873232435,历史2/4次成功; 当前距低点3.46%; 最新日涨幅0.24%; 状态bottom_area; 底部未确认
19,68.2071863048421,61.63197968133023,002136,安纳达,bottom_area,2025-06-09,10.92,2025-06-06,10.7,2.0560747663551466,2.7102803738317847,28.428093645484953,False,1.3928,6.0735,1,3,1,33.33333333333333,42.29299363057326,42.29299363057326,12.943925233644855,2.0560747663551466,历史1/3次成功; 当前距低点2.06%; 最新日涨幅1.39%; 状态bottom_area; 底部未确认
20,66.96961422628189,60.03013107411428,301607,富特科技,bottom_area,2025-06-09,33.75,2025-06-06,33.21,1.626016260162599,3.7037037037036944,32.88197251414712,False,-1.258,8.2,1,2,1,50.0,31.437893264973205,31.437893264973205,13.3739837398374,1.626016260162599,历史1/2次成功; 当前距低点1.63%; 最新日涨幅-1.26%; 状态bottom_area; 底部未确认
21,66.01693520855731,60.53166748833028,300819,聚杰微纤,bottom_area,2025-06-09,22.81,2025-06-06,22.18,2.840396753832277,4.643823264201989,28.451612903225808,False,1.1082,2.3462,1,2,1,50.0,26.54716175842936,26.54716175842936,12.159603246167721,2.840396753832277,历史1/2次成功; 当前距低点2.84%; 最新日涨幅1.11%; 状态bottom_area; 底部未确认
22,65.11317764699383,61.42128205128207,301518,长华化学,bottom_area,2025-06-09,23.2,2025-06-06,22.23,4.363472784525411,5.398110661268553,27.495107632093934,False,1.799,13.3859,1,2,1,50.0,55.817490494296564,55.817490494296564,10.63652721547459,4.363472784525411,历史1/2次成功; 当前距低点4.36%; 最新日涨幅1.80%; 状态bottom_area; 底部未确认
