rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
17,72.32695157420515,61.735311693435705,688355,明志科技,bottom_area,2023-08-25,20.89,2023-08-25,20.62,1.3094083414160989,3.831231813773032,32.28243021346469,False,0.1918,3.1737,1,4,1,25.0,35.08474576271185,35.08474576271185,18.6905916585839,1.3094083414160989,历史1/4次成功; 当前距低点1.31%; 最新日涨幅0.19%; 状态bottom_area; 底部未确认
18,70.38849655698029,59.6121650900203,601127,赛力斯,bottom_area,2023-08-25,32.04,2023-08-25,31.76,0.8816120906800932,3.022670025188908,31.270287816489933,False,-2.5844,1.8225,4,8,4,50.0,26.57118632672534,30.591200733272228,19.11838790931991,0.8816120906800932,历史4/8次成功; 当前距低点0.88%; 最新日涨幅-2.58%; 状态bottom_area; 底部未确认
19,70.12138361272459,59.856564551422345,688148,芳源股份,bottom_area,2023-08-25,9.26,2023-08-23,9.14,1.3129102844638865,3.5010940919037226,27.3449920508744,False,-0.7503,0.9887,1,2,1,50.0,26.66666666666668,26.66666666666668,18.687089715536114,1.3129102844638865,历史1/2次成功; 当前距低点1.31%; 最新日涨幅-0.75%; 状态bottom_area; 底部未确认
20,69.32786346645679,58.0453846153846,002084,海鸥住工,bottom_area,2023-08-25,3.91,2023-08-25,3.9,0.2564102564102623,2.8205128205128176,27.102803738317753,False,-1.0127,1.6386,1,2,1,50.0,43.81720430107525,43.81720430107525,19.74358974358974,0.2564102564102623,历史1/2次成功; 当前距低点0.26%; 最新日涨幅-1.01%; 状态bottom_area; 底部未确认
21,68.61655916530529,57.37014785458652,300539,横河精密,bottom_area,2023-08-25,11.09,2023-08-25,11.07,0.18066847335139632,3.703703703703705,28.810289389067528,False,-2.9746,1.1807,1,2,1,50.0,39.25845147219192,39.25845147219192,19.819331526648604,0.18066847335139632,历史1/2次成功; 当前距低点0.18%; 最新日涨幅-2.97%; 状态bottom_area; 底部未确认
22,68.59616866043487,57.8929381675944,002272,川润股份,bottom_area,2023-08-25,5.82,2023-08-25,5.78,0.6920415224913501,3.633217993079584,29.42612942612942,False,-2.0202,1.9382,1,2,1,50.0,48.337595907928375,48.337595907928375,19.307958477508652,0.6920415224913501,历史1/2次成功; 当前距低点0.69%; 最新日涨幅-2.02%; 状态bottom_area; 底部未确认
23,68.22910065689547,57.779107541276254,300474,景嘉微,bottom_area,2023-08-25,67.82,2023-08-25,67.23,0.8775844117209417,5.845604640785353,29.350567465321557,False,-2.767,2.5368,1,2,1,50.0,59.857142857142854,59.857142857142854,19.12241558827906,0.8775844117209417,历史1/2次成功; 当前距低点0.88%; 最新日涨幅-2.77%; 状态bottom_area; 底部未确认
24,67.61191497457239,56.59226846003447,300648,星云股份,bottom_area,2023-08-25,25.0,2023-08-25,24.94,0.24057738572573667,2.4859663191659878,27.28862973760932,False,-1.9992,1.2057,2,5,2,40.0,24.14400483596314,26.78362573099414,19.759422614274264,0.24057738572573667,历史2/5次成功; 当前距低点0.24%; 最新日涨幅-2.00%; 状态bottom_area; 底部未确认
25,66.45992328607254,56.48176369059228,688286,敏芯股份,bottom_area,2023-08-25,46.19,2023-08-25,45.7,1.072210065645503,3.960612691466072,30.335365853658523,False,-2.7784,0.8517,1,3,1,33.33333333333333,25.016501650165008,25.016501650165008,18.927789934354497,1.072210065645503,历史1/3次成功; 当前距低点1.07%; 最新日涨幅-2.78%; 状态bottom_area; 底部未确认
26,65.79686140542928,55.15861709642926,300505,川金诺,bottom_area,2023-08-25,15.42,2023-08-25,15.37,0.3253090435914165,4.749512036434628,28.378378378378383,False,-4.2831,2.2425,1,2,1,50.0,39.35656836461126,39.35656836461126,19.674690956408586,0.3253090435914165,历史1/2次成功; 当前距低点0.33%; 最新日涨幅-4.28%; 状态bottom_area; 底部未确认
