rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,87.5277615855688,84.52639649091802,688280,精进电动,bottom_area,2025-05-22,7.48,2025-05-21,7.32,2.1857923497267775,7.923497267759563,27.236580516898606,False,2.0464,5.6519,3,3,3,100.0,22.526898109113223,32.37518910741301,5.814207650273223,2.1857923497267775,历史3/3次成功; 当前距低点2.19%; 最新日涨幅2.05%; 状态bottom_area; 底部未确认
2,87.3399722780238,81.20616661334009,688010,福光股份,bottom_area,2025-05-22,32.6,2025-05-22,32.53,0.21518598217030518,3.56593913310789,27.16077026421853,False,-1.1522,1.7636,4,4,4,100.0,26.1655411434859,42.08955223880597,7.784814017829694,0.21518598217030518,历史4/4次成功; 当前距低点0.22%; 最新日涨幅-1.15%; 状态bottom_area; 底部未确认
3,83.96551096269435,79.39338922958514,002304,洋河股份,bottom_area,2025-05-22,67.75,2025-04-29,67.02,1.0892270963891437,5.147717099373326,29.452631578947376,False,-0.5578,0.2411,2,2,2,100.0,20.62810220081931,20.781426953567394,6.910772903610857,1.0892270963891437,历史2/2次成功; 当前距低点1.09%; 最新日涨幅-0.56%; 状态bottom_area; 底部未确认
4,82.15756646518975,77.72714018529668,688050,爱博医疗,bottom_area,2025-05-22,75.06,2025-05-19,74.23,1.1181463020342155,4.108850868920917,31.547399483585387,False,-0.7405,0.9773,2,2,2,100.0,12.024267494272554,12.90770757525636,6.881853697965784,1.1181463020342155,历史2/2次成功; 当前距低点1.12%; 最新日涨幅-0.74%; 状态bottom_area; 底部未确认
5,80.7623569644573,77.7405763688761,000565,渝三峡A,bottom_area,2025-05-22,10.62,2025-05-22,10.41,2.0172910662824117,6.532180595581169,29.37584803256445,False,-4.3243,18.0607,1,1,1,100.0,57.568807339449535,57.568807339449535,5.982708933717588,2.0172910662824117,历史1/1次成功; 当前距低点2.02%; 最新日涨幅-4.32%; 状态bottom_area; 底部未确认
6,80.09880435802864,77.19648169846407,600371,万向德农,confirmed_rebound,2025-05-22,9.32,2025-04-29,9.13,2.0810514786418346,8.214676889375685,28.671874999999996,True,-2.714,4.4667,1,1,1,100.0,38.66279069767441,38.66279069767441,5.918948521358165,2.0810514786418346,历史1/1次成功; 当前距低点2.08%; 最新日涨幅-2.71%; 状态confirmed_rebound; 底部已确认
7,77.02816539266718,71.6156277964823,300727,润禾材料,bottom_area,2025-05-22,28.22,2025-05-22,28.16,0.2130681818181773,4.190340909090908,29.95024875621891,False,-3.3231,1.4996,6,7,6,85.71428571428571,15.744979076186002,26.812499999999993,7.786931818181824,0.2130681818181773,历史6/7次成功; 当前距低点0.21%; 最新日涨幅-3.32%; 状态bottom_area; 底部未确认
8,76.36088713934276,75.12549018955892,001299,美能能源,bottom_area,2025-05-22,10.8,2025-04-29,10.47,3.151862464183382,7.163323782234957,31.11842105263157,True,-1.6393,4.9246,2,2,2,100.0,13.772777461812025,15.247322794492616,4.848137535816618,3.151862464183382,历史2/2次成功; 当前距低点3.15%; 最新日涨幅-1.64%; 状态bottom_area; 底部已确认
9,75.9311573297551,75.54090909090908,301058,中粮科工,confirmed_rebound,2025-05-22,10.84,2025-04-30,10.45,3.7320574162679483,8.038277511961722,29.77150537634409,True,-2.6056,1.8635,1,1,1,100.0,57.794273594909875,57.794273594909875,4.267942583732052,3.7320574162679483,历史1/1次成功; 当前距低点3.73%; 最新日涨幅-2.61%; 状态confirmed_rebound; 底部已确认
10,74.95420989762277,73.44949352105412,301038,深水规院,bottom_area,2025-05-22,13.98,2025-05-19,13.58,2.9455081001472783,7.731958762886604,27.379679144385022,True,-2.984,2.0633,1,1,1,100.0,18.89920424403183,18.89920424403183,5.054491899852722,2.9455081001472783,历史1/1次成功; 当前距低点2.95%; 最新日涨幅-2.98%; 状态bottom_area; 底部已确认
11,60.33169482885571,59.44393475382383,601022,宁波远洋,confirmed_rebound,2025-05-22,9.91,2025-05-22,9.6,3.229166666666672,8.958333333333346,28.41163310961969,False,-5.7088,35.8966,2,3,2,66.66666666666666,15.590151006221337,17.53424657534247,4.770833333333329,3.229166666666672,历史2/3次成功; 当前距低点3.23%; 最新日涨幅-5.71%; 状态confirmed_rebound; 底部未确认
