rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,91.33668007840843,80.04249496244735,000567,海德股份,bottom_area,2025-01-07,6.35,2025-01-06,6.18,2.750809061488672,2.912621359223311,31.333333333333336,False,0.4747,0.5286,1,1,1,100.0,38.67924528301886,38.67924528301886,17.249190938511326,2.750809061488672,历史1/1次成功; 当前距低点2.75%; 最新日涨幅0.47%; 状态bottom_area; 底部未确认
2,89.73163190823774,79.00535714285715,600429,三元股份,bottom_area,2025-01-07,4.11,2025-01-06,3.99,3.0075187969924837,6.265664160401002,31.79487179487179,False,0.2439,0.5932,1,1,1,100.0,36.25000000000001,36.25000000000001,16.992481203007518,3.0075187969924837,历史1/1次成功; 当前距低点3.01%; 最新日涨幅0.24%; 状态bottom_area; 底部未确认
3,89.0821632801161,77.80101596516691,000402,金融街,bottom_area,2025-01-07,3.2,2025-01-06,3.12,2.5641025641025665,2.5641025641025665,29.411764705882348,False,0.9464,0.7464,1,1,1,100.0,24.339622641509433,24.339622641509433,17.435897435897434,2.5641025641025665,历史1/1次成功; 当前距低点2.56%; 最新日涨幅0.95%; 状态bottom_area; 底部未确认
4,86.86946056836399,77.19490347490348,000949,新乡化纤,bottom_area,2025-01-07,3.83,2025-01-06,3.7,3.51351351351351,3.783783783783775,27.16535433070866,False,1.5915,2.381,1,1,1,100.0,32.718894009216584,32.718894009216584,16.48648648648649,3.51351351351351,历史1/1次成功; 当前距低点3.51%; 最新日涨幅1.59%; 状态bottom_area; 底部未确认
5,86.45298473203405,77.70787797519277,000917,电广传媒,bottom_area,2025-01-07,6.54,2025-01-06,6.28,4.140127388535028,4.299363057324833,30.299667036625966,False,1.8692,1.9437,1,1,1,100.0,43.157894736842124,43.157894736842124,15.859872611464972,4.140127388535028,历史1/1次成功; 当前距低点4.14%; 最新日涨幅1.87%; 状态bottom_area; 底部未确认
6,85.72451046698045,76.57749835817127,300456,赛微电子,bottom_area,2025-01-07,16.66,2025-01-06,16.05,3.800623052959498,3.800623052959498,28.02690582959641,False,2.0208,2.0516,1,1,1,100.0,32.91891891891892,32.91891891891892,16.199376947040502,3.800623052959498,历史1/1次成功; 当前距低点3.80%; 最新日涨幅2.02%; 状态bottom_area; 底部未确认
7,85.70997592922932,74.86743768674958,603185,弘元绿能,bottom_area,2025-01-07,15.55,2025-01-06,15.16,2.572559366754621,3.9577836411609475,29.651972157772622,False,0.0644,0.8847,4,6,4,66.66666666666666,30.893582668190593,43.51028702057404,17.427440633245382,2.572559366754621,历史4/6次成功; 当前距低点2.57%; 最新日涨幅0.06%; 状态bottom_area; 底部未确认
8,85.56843203158347,75.70540404040406,000839,国安股份,bottom_area,2025-01-07,2.84,2025-01-06,2.75,3.2727272727272676,4.363636363636368,27.631578947368418,False,2.5271,0.9472,1,1,1,100.0,21.75925925925925,21.75925925925925,16.727272727272734,3.2727272727272676,历史1/1次成功; 当前距低点3.27%; 最新日涨幅2.53%; 状态bottom_area; 底部未确认
9,83.39606770865751,75.97523117526003,600231,凌钢股份,bottom_area,2025-01-07,1.72,2025-01-06,1.64,4.878048780487809,4.878048780487809,27.753303964757713,False,0.5848,0.2622,2,2,2,100.0,26.221410724581972,29.302325581395344,15.121951219512193,4.878048780487809,历史2/2次成功; 当前距低点4.88%; 最新日涨幅0.58%; 状态bottom_area; 底部未确认
10,83.33386318373151,74.59473146408928,002246,北化股份,bottom_area,2025-01-07,9.56,2025-01-06,9.2,3.913043478260883,3.913043478260883,27.38752959747435,False,2.3555,1.2626,3,4,3,75.0,27.803605346903716,31.992687385740403,16.08695652173912,3.913043478260883,历史3/4次成功; 当前距低点3.91%; 最新日涨幅2.36%; 状态bottom_area; 底部未确认
11,79.93296131019166,70.613903559256,603178,圣龙股份,bottom_area,2025-01-07,17.14,2025-01-06,16.61,3.1908488862131317,3.973509933774835,29.319148936170215,False,1.8419,1.3415,3,5,3,60.0,30.048596880763135,44.66270354096666,16.809151113786868,3.1908488862131317,历史3/5次成功; 当前距低点3.19%; 最新日涨幅1.84%; 状态bottom_area; 底部未确认
