rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,90.69821256154226,78.86801092308023,300545,联得装备,bottom_area,2025-04-07,25.85,2025-04-07,25.85,0.0,14.429400386847183,29.080932784636488,False,-19.9938,8.5503,4,4,4,100.0,33.43016625311952,49.416135881104026,15.0,0.0,历史4/4次成功; 当前距低点0.00%; 最新日涨幅-19.99%; 状态bottom_area; 底部未确认
2,87.50395239055104,76.09039338308786,002703,浙江世宝,bottom_area,2025-04-07,10.59,2025-04-07,10.59,0.0,3.8715769593956577,27.465753424657535,False,-10.0255,2.1691,4,4,4,100.0,18.49673861875195,23.257467994310083,15.0,0.0,历史4/4次成功; 当前距低点0.00%; 最新日涨幅-10.03%; 状态bottom_area; 底部未确认
3,87.1125,75.75,000737,北方铜业,bottom_area,2025-04-07,9.01,2025-04-07,9.01,0.0,0.0,30.692307692307697,False,-9.99,1.0459,2,2,2,100.0,51.86062890208619,88.19095477386935,15.0,0.0,历史2/2次成功; 当前距低点0.00%; 最新日涨幅-9.99%; 状态bottom_area; 底部未确认
4,86.45838337194391,76.88016852287636,300345,华民股份,confirmed_rebound,2025-04-07,4.23,2025-04-07,4.18,1.1961722488038447,19.37799043062202,29.272419627749585,False,-18.4971,3.0111,2,2,2,100.0,28.857211022307048,29.397590361445776,13.803827751196154,1.1961722488038447,历史2/2次成功; 当前距低点1.20%; 最新日涨幅-18.50%; 状态confirmed_rebound; 底部未确认
5,86.19965319211619,77.50099586283528,300417,南华仪器,confirmed_rebound,2025-04-07,9.11,2025-04-07,8.95,1.7877094972067056,18.21229050279331,30.834621329211746,False,-18.5152,5.5067,3,3,3,100.0,22.779427507884694,25.514403292181065,13.212290502793294,1.7877094972067056,历史3/3次成功; 当前距低点1.79%; 最新日涨幅-18.52%; 状态confirmed_rebound; 底部未确认
6,86.02092432905111,76.55820487274704,601921,浙版传媒,bottom_area,2025-04-07,7.33,2025-04-07,7.24,1.2430939226519317,6.0773480662983355,29.57198443579766,False,-7.5662,1.6482,1,1,1,100.0,34.15300546448087,34.15300546448087,13.756906077348068,1.2430939226519317,历史1/1次成功; 当前距低点1.24%; 最新日涨幅-7.57%; 状态bottom_area; 底部未确认
7,84.86049709821427,73.79173660714285,301381,赛维时代,confirmed_rebound,2025-04-07,17.76,2025-04-07,17.76,0.0,17.511261261261257,27.716727716727714,False,-20.0,3.358,2,2,2,100.0,49.686755952380956,66.46875000000001,15.0,0.0,历史2/2次成功; 当前距低点0.00%; 最新日涨幅-20.00%; 状态confirmed_rebound; 底部未确认
8,84.847818779686,76.11102139076638,301468,博盈特焊,bottom_area,2025-04-07,19.54,2025-04-07,19.22,1.6649323621227903,12.33090530697191,27.471698113207548,False,-14.7469,3.667,1,1,1,100.0,36.91971600218461,36.91971600218461,13.33506763787721,1.6649323621227903,历史1/1次成功; 当前距低点1.66%; 最新日涨幅-14.75%; 状态bottom_area; 底部未确认
9,84.69765295871105,73.65013300757482,002358,森源电气,bottom_area,2025-04-07,5.0,2025-04-07,5.0,0.0,4.0000000000000036,31.318681318681318,False,-10.0719,2.6394,2,2,2,100.0,38.710392513843175,42.73127753303966,15.0,0.0,历史2/2次成功; 当前距低点0.00%; 最新日涨幅-10.07%; 状态bottom_area; 底部未确认
10,84.65673169856873,76.46217940388897,300532,今天国际,confirmed_rebound,2025-04-07,10.04,2025-04-07,9.84,2.0325203252032447,18.191056910569113,32.74094326725906,False,-18.241,4.8949,2,2,2,100.0,36.86196637286212,57.57884028484233,12.967479674796756,2.0325203252032447,历史2/2次成功; 当前距低点2.03%; 最新日涨幅-18.24%; 状态confirmed_rebound; 底部未确认
11,84.4183255197875,75.67702239789196,300355,蒙草生态,confirmed_rebound,2025-04-07,3.74,2025-04-07,3.68,1.630434782608697,18.206521739130423,32.723948811700176,False,-18.3406,6.9839,2,2,2,100.0,27.711901624945106,33.201581027668,13.369565217391303,1.630434782608697,历史2/2次成功; 当前距低点1.63%; 最新日涨幅-18.34%; 状态confirmed_rebound; 底部未确认
