rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,84.61112205324963,80.42745190909918,688318,财富趋势,bottom_area,2023-07-21,89.2,2023-07-19,88.0,1.3636363636363669,5.113636363636364,28.837134077308747,False,-0.4575,0.565,3,3,3,100.0,12.884638807473594,22.012826837691176,6.636363636363633,1.3636363636363669,历史3/3次成功; 当前距低点1.36%; 最新日涨幅-0.46%; 状态bottom_area; 底部未确认
2,83.95555350321676,80.27098375699407,603033,三维股份,bottom_area,2023-07-21,15.86,2023-07-17,15.6,1.6666666666666652,5.25641025641027,27.677329624478446,False,-0.2516,0.1237,3,3,3,100.0,15.757977188140112,24.922480620155024,6.333333333333336,1.6666666666666652,历史3/3次成功; 当前距低点1.67%; 最新日涨幅-0.25%; 状态bottom_area; 底部未确认
3,83.38333486631485,80.26012601211501,002755,奥赛康,bottom_area,2023-07-21,8.1,2023-07-17,7.94,2.0151133501259353,3.022670025188908,28.853046594982075,False,1.1236,0.4212,1,1,1,100.0,30.831099195710454,30.831099195710454,5.984886649874064,2.0151133501259353,历史1/1次成功; 当前距低点2.02%; 最新日涨幅1.12%; 状态bottom_area; 底部未确认
4,81.40261170786522,76.1117275751815,688169,石头科技,bottom_area,2023-07-21,249.95,2023-07-21,248.69,0.5066548715267968,4.14572359162009,32.512890094979646,False,-0.5886,0.9856,3,3,3,100.0,19.015595065928025,29.71190476190475,7.493345128473202,0.5066548715267968,历史3/3次成功; 当前距低点0.51%; 最新日涨幅-0.59%; 状态bottom_area; 底部未确认
5,79.94445854780786,75.56262585284898,601669,中国电建,bottom_area,2023-07-21,5.67,2023-06-07,5.61,1.069518716577533,5.882352941176471,29.78723404255319,False,-0.1761,0.3892,1,1,1,100.0,16.457680250783696,16.457680250783696,6.930481283422467,1.069518716577533,历史1/1次成功; 当前距低点1.07%; 最新日涨幅-0.18%; 状态bottom_area; 底部未确认
6,79.94381199556886,75.02036493029426,002829,星网宇达,bottom_area,2023-07-21,31.84,2023-07-21,31.62,0.6957621758380735,2.688172043010746,29.37234755416574,False,-1.789,2.36,3,3,3,100.0,15.4661435011025,21.628131021194598,7.304237824161927,0.6957621758380735,历史3/3次成功; 当前距低点0.70%; 最新日涨幅-1.79%; 状态bottom_area; 底部未确认
7,78.70542803089877,73.32741377846793,605178,时空科技,bottom_area,2023-07-21,21.87,2023-06-26,21.8,0.32110091743119396,7.4311926605504635,29.4041450777202,True,-1.0407,1.7657,2,2,2,100.0,9.244751990382023,9.557235421166304,7.678899082568806,0.32110091743119396,历史2/2次成功; 当前距低点0.32%; 最新日涨幅-1.04%; 状态bottom_area; 底部已确认
8,77.88567918388136,72.11636961470496,002403,爱仕达,bottom_area,2023-07-21,8.6,2023-07-21,8.6,0.0,4.1860465116279215,31.089743589743595,False,-4.3382,3.9342,3,3,3,100.0,13.797686100564366,21.63892445582587,8.0,0.0,历史3/3次成功; 当前距低点0.00%; 最新日涨幅-4.34%; 状态bottom_area; 底部未确认
9,76.20927176799054,70.95314152777142,300722,新余国科,bottom_area,2023-07-21,24.59,2023-07-21,24.52,0.28548123980424256,4.2414355628058695,27.88235294117647,False,-2.1488,0.9086,3,4,3,75.0,26.070100830780092,45.90377113133938,7.714518760195757,0.28548123980424256,历史3/4次成功; 当前距低点0.29%; 最新日涨幅-2.15%; 状态bottom_area; 底部未确认
10,76.20635266468554,71.03647581379286,002825,纳尔股份,bottom_area,2023-07-21,8.64,2023-07-17,8.61,0.34843205574914216,3.019744483159115,32.94392523364487,False,-0.6897,0.8347,1,1,1,100.0,23.123123123123136,23.123123123123136,7.651567944250857,0.34843205574914216,历史1/1次成功; 当前距低点0.35%; 最新日涨幅-0.69%; 状态bottom_area; 底部未确认
11,76.19764905688905,70.55337875637875,600081,东风科技,bottom_area,2023-07-21,12.01,2023-07-21,12.01,0.0,2.248126561198997,27.344222625529348,False,-1.9592,2.5206,2,2,2,100.0,11.84612234612234,13.923013923013915,8.0,0.0,历史2/2次成功; 当前距低点0.00%; 最新日涨幅-1.96%; 状态bottom_area; 底部未确认
