rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,102.8948550919672,87.58344615787098,688228,开普云,bottom_area,2026-06-05,86.5,2026-06-05,85.51,1.157759326394568,3.84750321599812,29.62139917695473,False,-1.0976,2.1716,3,3,3,100.0,44.77924687096383,77.58669034489205,18.84224067360543,1.157759326394568,历史3/3次成功; 当前距低点1.16%; 最新日涨幅-1.10%; 状态bottom_area; 底部未确认
2,99.52044940008209,84.87636282949931,001206,依依股份,bottom_area,2026-06-05,16.02,2026-06-05,15.82,1.264222503160552,2.781289506953232,27.89425706472197,False,0.5019,2.2941,1,1,1,100.0,42.01741654571844,42.01741654571844,18.73577749683945,1.264222503160552,历史1/1次成功; 当前距低点1.26%; 最新日涨幅0.50%; 状态bottom_area; 底部未确认
3,96.95203768536705,84.46489795918369,600192,长城电工,bottom_area,2026-06-05,7.17,2026-06-05,7.0,2.428571428571427,4.000000000000004,29.1497975708502,False,0.4202,1.2252,1,1,1,100.0,60.87570621468927,60.87570621468927,17.57142857142857,2.428571428571427,历史1/1次成功; 当前距低点2.43%; 最新日涨幅0.42%; 状态bottom_area; 底部未确认
4,95.1319290196172,83.64486772486774,605158,华达新材,bottom_area,2026-06-05,6.67,2026-06-05,6.48,2.932098765432091,4.629629629629626,28.31858407079645,False,1.3678,0.9016,1,1,1,100.0,50.9433962264151,50.9433962264151,17.06790123456791,2.932098765432091,历史1/1次成功; 当前距低点2.93%; 最新日涨幅1.37%; 状态bottom_area; 底部未确认
5,94.56409811482975,81.27867941908553,600067,冠城新材,bottom_area,2026-06-05,3.01,2026-06-05,2.96,1.689189189189183,3.378378378378381,29.52380952380953,False,0.6689,1.6854,1,1,1,100.0,26.39593908629443,26.39593908629443,18.31081081081082,1.689189189189183,历史1/1次成功; 当前距低点1.69%; 最新日涨幅0.67%; 状态bottom_area; 底部未确认
6,94.4553757287729,80.71800288077166,000912,泸天化,bottom_area,2026-06-05,3.69,2026-06-04,3.64,1.373626373626369,4.120879120879118,32.96500920810313,False,0.545,1.2862,1,1,1,100.0,20.61855670103093,20.61855670103093,18.62637362637363,1.373626373626369,历史1/1次成功; 当前距低点1.37%; 最新日涨幅0.55%; 状态bottom_area; 底部未确认
7,94.1762196846955,84.52511768634903,300986,志特新材,bottom_area,2026-06-05,18.97,2026-06-05,18.23,4.059243006034001,6.527701590784428,28.22834645669291,False,0.5299,3.6431,2,2,2,100.0,47.93486487959358,54.76987447698747,15.940756993966,4.059243006034001,历史2/2次成功; 当前距低点4.06%; 最新日涨幅0.53%; 状态bottom_area; 底部未确认
8,94.0845745864048,83.01272028470919,688670,金迪克,bottom_area,2026-06-05,15.85,2026-06-04,15.37,3.122966818477556,6.636304489264811,27.5,False,2.3902,1.3039,1,1,1,100.0,48.2725527831094,48.2725527831094,16.87703318152244,3.122966818477556,历史1/1次成功; 当前距低点3.12%; 最新日涨幅2.39%; 状态bottom_area; 底部未确认
9,93.50296894426056,80.89989319975426,301397,溯联股份,bottom_area,2026-06-05,30.85,2026-06-05,30.23,2.050942772080718,4.267284154813097,28.87058823529411,False,-1.0584,3.5424,1,1,1,100.0,65.27621195039458,65.27621195039458,17.94905722791928,2.050942772080718,历史1/1次成功; 当前距低点2.05%; 最新日涨幅-1.06%; 状态bottom_area; 底部未确认
10,92.52237268837303,79.91965747168433,300355,蒙草生态,bottom_area,2026-06-05,3.12,2026-06-04,3.06,1.960784313725492,5.228758169934645,30.13698630136986,False,0.9709,1.4701,1,1,1,100.0,21.46739130434781,21.46739130434781,18.03921568627451,1.960784313725492,历史1/1次成功; 当前距低点1.96%; 最新日涨幅0.97%; 状态bottom_area; 底部未确认
11,91.97186978537634,78.97002005490762,002131,利欧股份,bottom_area,2026-06-05,5.6,2026-06-05,5.51,1.633393829401086,5.626134301270427,27.40447957839262,False,-1.9264,4.4479,1,1,1,100.0,35.96837944664033,35.96837944664033,18.36660617059891,1.633393829401086,历史1/1次成功; 当前距低点1.63%; 最新日涨幅-1.93%; 状态bottom_area; 底部未确认
