rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,95.01942265471583,90.15892306212403,002862,实丰文化,bottom_area,2024-12-20,32.35,2024-12-19,31.64,2.24399494310999,9.608091024020226,28.09090909090909,True,2.244,16.4803,5,5,5,100.0,27.66253512050972,45.40647719762062,7.756005056890011,2.24399494310999,历史5/5次成功; 当前距低点2.24%; 最新日涨幅2.24%; 状态bottom_area; 底部已确认
2,92.16367067028948,87.83383379316179,603088,宁波精达,bottom_area,2024-12-20,9.94,2024-12-19,9.7,2.4742268041237137,3.7113402061855796,28.307464892830748,False,1.8443,5.0837,4,4,4,100.0,27.17780057292387,46.15384615384614,7.525773195876287,2.4742268041237137,历史4/4次成功; 当前距低点2.47%; 最新日涨幅1.84%; 状态bottom_area; 底部未确认
3,87.61873559330978,82.42203817191347,000816,智慧农业,bottom_area,2024-12-20,3.41,2024-12-20,3.35,1.7910447761194044,3.2835820895522354,30.208333333333332,False,-1.4451,10.5437,3,3,3,100.0,28.847420760568387,48.23943661971832,8.208955223880595,1.7910447761194044,历史3/3次成功; 当前距低点1.79%; 最新日涨幅-1.45%; 状态bottom_area; 底部未确认
4,87.48252070345409,84.18819984014408,002681,奋达科技,bottom_area,2024-12-20,7.59,2024-12-19,7.37,2.9850746268656683,8.276797829036639,29.74261201143947,False,1.3351,13.2426,3,3,3,100.0,30.506290265579576,46.084337349397586,7.014925373134333,2.9850746268656683,历史3/3次成功; 当前距低点2.99%; 最新日涨幅1.34%; 状态bottom_area; 底部未确认
5,83.66387731269914,79.83520952822435,603356,华菱精工,bottom_area,2024-12-20,14.93,2024-12-20,14.56,2.5412087912087857,5.013736263736254,29.86512524084779,False,0.5387,8.8768,3,4,3,75.0,39.16218049559353,53.658536585365866,7.458791208791215,2.5412087912087857,历史3/4次成功; 当前距低点2.54%; 最新日涨幅0.54%; 状态bottom_area; 底部未确认
6,82.13021181116419,77.37579546341236,002403,爱仕达,bottom_area,2024-12-20,17.43,2024-12-20,17.11,1.8702513150204574,7.539450613676207,30.020449897750513,False,-1.9685,16.765,5,6,5,83.33333333333334,22.132446926482093,52.542372881355924,8.129748684979543,1.8702513150204574,历史5/6次成功; 当前距低点1.87%; 最新日涨幅-1.97%; 状态bottom_area; 底部未确认
7,81.47149284002421,77.55884175088283,605337,李子园,bottom_area,2024-12-20,12.29,2024-12-19,12.0,2.41666666666666,6.916666666666667,28.01439712057589,False,0.7377,5.2398,3,4,3,75.0,25.39699866066034,37.98882681564246,7.58333333333334,2.41666666666666,历史3/4次成功; 当前距低点2.42%; 最新日涨幅0.74%; 状态bottom_area; 底部未确认
8,81.35313357849962,73.95739416227238,000525,红太阳,bottom_area,2024-12-20,7.02,2024-12-20,7.02,0.0,0.0,32.95128939828081,False,-5.0068,0.1222,3,3,3,100.0,23.695667539098807,34.22131147540984,10.0,0.0,历史3/3次成功; 当前距低点0.00%; 最新日涨幅-5.01%; 状态bottom_area; 底部未确认
9,80.64343156515466,77.61608229713369,002148,北纬科技,bottom_area,2024-12-20,7.23,2024-12-19,7.02,2.991452991453004,7.407407407407414,27.47933884297521,False,-1.4986,20.501,3,3,3,100.0,17.72362966476626,19.756097560975626,7.008547008546996,2.991452991453004,历史3/3次成功; 当前距低点2.99%; 最新日涨幅-1.50%; 状态bottom_area; 底部未确认
10,79.48001964551126,72.59175127623365,600280,中央商场,bottom_area,2024-12-20,4.11,2024-12-20,4.1,0.24390243902440673,4.390243902439039,27.43362831858408,False,-1.9093,7.0625,2,2,2,100.0,13.536821705426364,15.406976744186055,9.756097560975594,0.24390243902440673,历史2/2次成功; 当前距低点0.24%; 最新日涨幅-1.91%; 状态bottom_area; 底部未确认
11,78.96240100794424,74.04576238554412,000558,天府文旅,bottom_area,2024-12-20,3.75,2024-12-20,3.69,1.6260162601626031,7.859078590785909,29.580152671755727,False,-6.9479,19.0071,4,5,4,80.0,18.672470208144375,30.23255813953488,8.373983739837398,1.6260162601626031,历史4/5次成功; 当前距低点1.63%; 最新日涨幅-6.95%; 状态bottom_area; 底部未确认
