rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_top_price,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,close_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,94.6338959000766,81.4542810070333,300461,田中精机,bottom_area,2026-03-19,44.35,60.65,2026-03-19,43.58,1.7668655346489288,14.479118861863247,28.14509480626546,26.8755152514427,False,-12.6969,10.6403,3,3,3,100.0,33.563088312004616,39.80283425754775,18.23313446535107,1.7668655346489288,历史3/3次成功; 当前距低点1.77%; 最新日涨幅-12.70%; 状态bottom_area; 底部未确认
2,88.35226412107274,73.69628062879298,688317,之江生物,bottom_area,2026-03-19,19.47,28.58,2026-03-19,19.46,0.051387461459393685,2.929085303186024,31.910426871938412,31.87543736878936,False,-2.0624,0.9955,3,4,3,75.0,37.948623875916084,40.461049284578706,19.94861253854061,0.051387461459393685,历史3/4次成功; 当前距低点0.05%; 最新日涨幅-2.06%; 状态bottom_area; 底部未确认
3,87.98272232928015,74.07268133796873,001206,依依股份,bottom_area,2026-03-19,21.62,31.9,2026-03-19,21.5,0.5581395348837256,3.069767441860466,32.60188087774294,32.2257053291536,False,-2.2604,2.7577,1,1,1,100.0,42.01741654571844,42.01741654571844,19.441860465116275,0.5581395348837256,历史1/1次成功; 当前距低点0.56%; 最新日涨幅-2.26%; 状态bottom_area; 底部未确认
4,87.70637302897747,74.28764704511667,688608,恒玄科技,bottom_area,2026-03-19,171.52,246.36,2026-03-19,170.01,0.8881830480560081,2.941003470384095,30.991232342912816,30.378308166910212,False,-2.2678,1.3152,2,2,2,100.0,30.55217416496976,36.80636853195971,19.111816951943993,0.8881830480560081,历史2/2次成功; 当前距低点0.89%; 最新日涨幅-2.27%; 状态bottom_area; 底部未确认
5,87.03956996208012,72.77293368258128,001391,国货航,bottom_area,2026-03-19,5.56,7.73,2026-03-19,5.55,0.18018018018017634,1.9819819819819877,28.201811125485126,28.072445019404924,False,-2.1127,1.7038,1,1,1,100.0,30.39647577092513,30.39647577092513,19.819819819819827,0.18018018018017634,历史1/1次成功; 当前距低点0.18%; 最新日涨幅-2.11%; 状态bottom_area; 底部未确认
6,86.86293244360918,74.6409134003371,300663,科蓝软件,bottom_area,2026-03-19,15.17,20.71,2026-03-04,14.92,1.675603217158177,7.908847184986604,27.95750845002415,26.75036214389184,True,-1.9392,1.3115,2,3,2,66.66666666666666,48.62700036984445,76.77304964539006,18.324396782841823,1.675603217158177,历史2/3次成功; 当前距低点1.68%; 最新日涨幅-1.94%; 状态bottom_area; 底部已确认
7,86.77616343534936,73.59386898993915,600172,黄河旋风,bottom_area,2026-03-19,8.43,11.59,2026-03-19,8.35,0.9580838323353302,5.508982035928154,27.95513373597929,27.2648835202761,False,-7.1586,11.6899,2,2,2,100.0,37.89408670786942,51.074589127686465,19.04191616766467,0.9580838323353302,历史2/2次成功; 当前距低点0.96%; 最新日涨幅-7.16%; 状态bottom_area; 底部未确认
8,84.32450713573955,70.87762972132077,002264,新华都,bottom_area,2026-03-19,8.56,12.29,2026-03-19,8.52,0.4694835680751282,2.6995305164319303,30.6753458096013,30.34987794955247,False,-2.7273,2.3798,1,1,1,100.0,23.752969121140143,23.752969121140143,19.530516431924873,0.4694835680751282,历史1/1次成功; 当前距低点0.47%; 最新日涨幅-2.73%; 状态bottom_area; 底部未确认
9,84.27486891335954,70.89284814072776,002739,儒意电影,bottom_area,2026-03-19,9.79,13.87,2026-03-19,9.74,0.5133470225872581,2.15605749486652,29.776496034607057,29.416005767844272,False,-2.1978,1.6943,1,1,1,100.0,24.37246963562753,24.37246963562753,19.486652977412746,0.5133470225872581,历史1/1次成功; 当前距低点0.51%; 最新日涨幅-2.20%; 状态bottom_area; 底部未确认
10,83.6915161025134,71.0168793231225,002345,潮宏基,bottom_area,2026-03-19,10.22,14.25,2026-03-19,10.12,0.9881422924901326,3.7549407114624587,28.98245614035088,28.280701754385962,False,-2.6667,2.5805,1,1,1,100.0,30.859375,30.859375,19.01185770750987,0.9881422924901326,历史1/1次成功; 当前距低点0.99%; 最新日涨幅-2.67%; 状态bottom_area; 底部未确认
11,83.06663946019465,69.8850165723173,688236,春立医疗,bottom_area,2026-03-19,19.33,27.56,2026-03-19,19.23,0.5200208008320222,4.108164326573059,30.22496371552975,29.86211901306241,False,-3.6391,0.5446,3,4,3,75.0,33.4175483774963,48.33672776646301,19.47997919916798,0.5200208008320222,历史3/4次成功; 当前距低点0.52%; 最新日涨幅-3.64%; 状态bottom_area; 底部未确认
12,82.98222636499447,71.99219005196736,300725,药石科技,bottom_area,2026-03-19,36.71,51.15,2026-03-04,35.92,2.199331848552336,6.319599109131392,29.775171065493637,28.23069403714565,False,-2.367,2.3924,2,3,2,66.66666666666666,51.70433867208061,60.139860139860126,17.800668151447667,2.199331848552336,历史2/3次成功; 当前距低点2.20%; 最新日涨幅-2.37%; 状态bottom_area; 底部未确认
13,82.06419642921657,69.39719472808532,603861,白云电器,bottom_area,2026-03-19,16.37,22.63,2026-03-19,16.24,0.8004926108374543,3.8793103448276023,28.236853733981444,27.66239505081749,False,-3.4788,3.4776,1,1,1,100.0,30.06622516556292,30.06622516556292,19.199507389162545,0.8004926108374543,历史1/1次成功; 当前距低点0.80%; 最新日涨幅-3.48%; 状态bottom_area; 底部未确认
14,81.15214344767354,68.00149028194275,301367,瑞迈特,bottom_area,2026-03-19,69.87,97.33,2026-03-19,69.66,0.3014642549526385,2.1533161068044793,28.429055789581838,28.21329497585533,False,-2.7557,1.3153,4,6,4,66.66666666666666,28.452484497677933,32.411969715178486,19.698535745047362,0.3014642549526385,历史4/6次成功; 当前距低点0.30%; 最新日涨幅-2.76%; 状态bottom_area; 底部未确认
15,80.3146391055089,67.35764724049669,000759,中百集团,bottom_area,2026-03-19,5.76,8.42,2026-03-19,5.74,0.34843205574912145,4.355400696864111,31.828978622327785,31.59144893111639,False,-2.5381,3.3312,2,3,2,66.66666666666666,42.233363768483954,49.78038067349927,19.651567944250882,0.34843205574912145,历史2/3次成功; 当前距低点0.35%; 最新日涨幅-2.54%; 状态bottom_area; 底部未确认
16,80.07582084798267,70.33087604151034,601519,大智慧,bottom_area,2026-03-19,11.1,15.88,2026-03-16,10.79,2.873030583873962,7.32159406858203,32.05289672544082,30.100755667506302,True,-1.5957,1.1436,2,3,2,66.66666666666666,40.13289841976505,40.138408304498256,17.12696941612604,2.873030583873962,历史2/3次成功; 当前距低点2.87%; 最新日涨幅-1.60%; 状态bottom_area; 底部已确认
17,78.02847452352461,67.07949847408321,300437,清水源,bottom_area,2026-03-19,16.75,23.0,2026-03-19,16.47,1.7000607164541663,11.961141469338205,28.39130434782609,27.173913043478258,False,-8.0681,17.1313,6,10,6,60.0,25.46041348171349,30.330330330330323,18.299939283545836,1.7000607164541663,历史6/10次成功; 当前距低点1.70%; 最新日涨幅-8.07%; 状态bottom_area; 底部未确认
18,75.43157067260351,63.27393585479024,603809,豪能股份,bottom_area,2026-03-19,11.2,15.52,2026-03-19,11.16,0.35842293906809275,3.8530465949820765,28.092783505154635,27.835051546391753,False,-3.9451,1.925,2,3,2,66.66666666666666,30.615448866660387,31.661442006269603,19.64157706093191,0.35842293906809275,历史2/3次成功; 当前距低点0.36%; 最新日涨幅-3.95%; 状态bottom_area; 底部未确认
19,71.7212350237702,63.60992451757694,688318,财富趋势,bottom_area,2026-03-19,115.64,163.63,2026-03-09,111.83,3.4069569882857933,9.362425109541267,31.656786652814272,29.328362769663265,True,-1.4908,0.8665,4,8,4,50.0,29.988099198218027,36.949152542372886,16.593043011714208,3.4069569882857933,历史4/8次成功; 当前距低点3.41%; 最新日涨幅-1.49%; 状态bottom_area; 底部已确认
20,71.2740433948694,59.70861002580795,603236,移远通信,bottom_area,2026-03-19,76.8,107.04,2026-03-19,76.58,0.28728127448419805,1.69757116740663,28.45665171898356,28.251121076233193,False,-2.3149,1.6036,2,5,2,40.0,41.47102866468776,43.55271994627266,19.712718725515803,0.28728127448419805,历史2/5次成功; 当前距低点0.29%; 最新日涨幅-2.31%; 状态bottom_area; 底部未确认
