rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,89.40904809235911,80.54035924127683,300342,天银机电,bottom_area,2023-08-08,11.32,2023-07-28,11.11,1.890189018901898,5.220522052205221,28.368794326241137,False,-2.2453,3.8109,3,3,3,100.0,19.9461838944793,26.68539325842696,13.109810981098102,1.890189018901898,历史3/3次成功; 当前距低点1.89%; 最新日涨幅-2.25%; 状态bottom_area; 底部未确认
2,89.15286614115065,79.39525590867676,300633,开立医疗,bottom_area,2023-08-08,42.84,2023-08-08,42.3,1.276595744680866,2.553191489361715,32.44969658256148,False,0.1168,0.958,1,1,1,100.0,17.12846347607052,17.12846347607052,13.723404255319133,1.276595744680866,历史1/1次成功; 当前距低点1.28%; 最新日涨幅0.12%; 状态bottom_area; 底部未确认
3,87.34160584075917,77.9057124586416,300515,三德科技,bottom_area,2023-08-08,13.4,2023-07-28,13.22,1.3615733736762459,7.3373676248108834,27.162534435261698,True,-1.1799,1.4079,1,1,1,100.0,23.441396508728182,23.441396508728182,13.638426626323755,1.3615733736762459,历史1/1次成功; 当前距低点1.36%; 最新日涨幅-1.18%; 状态bottom_area; 底部已确认
4,85.92282765313024,77.35953703606656,600995,南网储能,bottom_area,2023-08-08,10.94,2023-06-07,10.74,1.862197392923643,8.379888268156428,32.7909887359199,True,-1.1743,1.024,1,1,1,100.0,26.64165103189493,26.64165103189493,13.137802607076358,1.862197392923643,历史1/1次成功; 当前距低点1.86%; 最新日涨幅-1.17%; 状态bottom_area; 底部已确认
5,84.35765786924091,77.74809094390864,002755,奥赛康,bottom_area,2023-08-08,7.94,2023-08-08,7.7,3.1168831168831197,3.766233766233767,31.00358422939068,False,1.0178,0.516,1,1,1,100.0,30.831099195710454,30.831099195710454,11.88311688311688,3.1168831168831197,历史1/1次成功; 当前距低点3.12%; 最新日涨幅1.02%; 状态bottom_area; 底部未确认
6,82.35347776642425,76.11746878057504,002219,新里程,bottom_area,2023-08-08,3.79,2023-08-07,3.67,3.2697547683923736,4.632152588555857,29.42307692307693,False,0.7979,0.6311,1,1,1,100.0,23.938223938223942,23.938223938223942,11.730245231607626,3.2697547683923736,历史1/1次成功; 当前距低点3.27%; 最新日涨幅0.80%; 状态bottom_area; 底部未确认
7,81.76244888627483,76.76276856524875,600935,华塑股份,bottom_area,2023-08-08,3.8,2023-06-27,3.65,4.109589041095888,7.671232876712336,28.571428571428577,True,0.0,0.3339,1,1,1,100.0,28.50877192982458,28.50877192982458,10.890410958904113,4.109589041095888,历史1/1次成功; 当前距低点4.11%; 最新日涨幅0.00%; 状态bottom_area; 底部已确认
8,79.35708784953175,71.3275633139915,002829,星网宇达,bottom_area,2023-08-08,31.02,2023-08-02,30.48,1.771653543307084,3.0511811023622037,31.918695555059195,False,0.4859,1.6359,2,3,2,66.66666666666666,18.711111430456917,21.628131021194598,13.228346456692917,1.771653543307084,历史2/3次成功; 当前距低点1.77%; 最新日涨幅0.49%; 状态bottom_area; 底部未确认
9,79.15145982001737,70.10760268664427,688143,长盈通,bottom_area,2023-08-08,29.69,2023-08-08,29.4,0.9863945578231386,2.687074829931982,29.64824120603015,False,-1.0333,1.1436,1,1,1,100.0,25.949367088607595,25.949367088607595,14.01360544217686,0.9863945578231386,历史1/1次成功; 当前距低点0.99%; 最新日涨幅-1.03%; 状态bottom_area; 底部未确认
10,78.66426540965033,72.57881123672492,688278,特宝生物,bottom_area,2023-08-08,33.8,2023-07-28,32.76,3.174603174603172,10.012210012210017,28.205128205128215,True,-0.8507,0.3771,1,1,1,100.0,17.0263788968825,17.0263788968825,11.825396825396828,3.174603174603172,历史1/1次成功; 当前距低点3.17%; 最新日涨幅-0.85%; 状态bottom_area; 底部已确认
11,78.545104171869,73.72839008013578,002864,盘龙药业,bottom_area,2023-08-08,35.55,2023-08-08,34.15,4.099560761346995,4.743777452415826,27.340425531914896,False,2.9241,8.4452,1,1,1,100.0,21.26553019358567,21.26553019358567,10.900439238653005,4.099560761346995,历史1/1次成功; 当前距低点4.10%; 最新日涨幅2.92%; 状态bottom_area; 底部未确认
