rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,87.89480669662242,83.1316184886439,688047,龙芯中科,bottom_area,2024-10-11,124.6,2024-10-11,123.24,1.1035378123985715,7.392080493346316,27.025106584557086,False,-4.9435,2.0842,4,4,4,100.0,17.78325108017539,33.20076594491089,6.896462187601429,1.1035378123985715,历史4/4次成功; 当前距低点1.10%; 最新日涨幅-4.94%; 状态bottom_area; 底部未确认
2,86.48587400952904,82.91661136680644,300763,锦浪科技,bottom_area,2024-10-11,72.61,2024-10-11,71.32,1.8087492989343892,7.922041503084698,27.068207383168026,False,-5.4926,4.3792,4,4,4,100.0,25.271826711703444,36.020348268440614,6.191250701065611,1.8087492989343892,历史4/4次成功; 当前距低点1.81%; 最新日涨幅-5.49%; 状态bottom_area; 底部未确认
3,86.39263389537074,82.43088832226238,300737,科顺股份,bottom_area,2024-10-11,5.21,2024-10-11,5.13,1.5594541910331399,6.627680311890835,28.451882845188287,False,-5.2727,3.109,3,3,3,100.0,36.27120364418244,80.4289544235925,6.440545808966861,1.5594541910331399,历史3/3次成功; 当前距低点1.56%; 最新日涨幅-5.27%; 状态bottom_area; 底部未确认
4,85.65533782038452,81.97075456112304,300399,天利科技,confirmed_rebound,2024-10-11,18.99,2024-10-11,18.67,1.71397964649168,9.801821103374388,31.611721611721606,False,-2.8645,11.6763,4,4,4,100.0,19.024882554430377,31.95098963242225,6.28602035350832,1.71397964649168,历史4/4次成功; 当前距低点1.71%; 最新日涨幅-2.86%; 状态confirmed_rebound; 底部未确认
5,84.6675555791418,81.09723697038282,688107,安路科技,confirmed_rebound,2024-10-11,25.44,2024-10-11,25.0,1.760000000000005,11.159999999999997,28.57142857142857,False,-7.9928,3.361,5,5,5,100.0,25.10772564721952,67.95615731785945,6.239999999999996,1.760000000000005,历史5/5次成功; 当前距低点1.76%; 最新日涨幅-7.99%; 状态confirmed_rebound; 底部未确认
6,84.6018660969045,80.88705327961831,300560,中富通,confirmed_rebound,2024-10-11,14.04,2024-10-11,13.81,1.6654598117306203,8.110065170166541,27.277514481305943,False,-6.5868,7.4498,4,4,4,100.0,22.81882607722647,41.47727272727274,6.33454018826938,1.6654598117306203,历史4/4次成功; 当前距低点1.67%; 最新日涨幅-6.59%; 状态confirmed_rebound; 底部未确认
7,84.43919402863757,81.24059827871352,300474,景嘉微,confirmed_rebound,2024-10-11,78.33,2024-10-11,76.8,1.9921875000000016,10.677083333333337,27.189988623435728,False,-6.5943,7.4783,5,5,5,100.0,28.72465472426617,59.857142857142854,6.007812499999998,1.9921875000000016,历史5/5次成功; 当前距低点1.99%; 最新日涨幅-6.59%; 状态confirmed_rebound; 底部未确认
8,83.86816375118403,79.82090651922339,300510,金冠股份,confirmed_rebound,2024-10-11,4.26,2024-10-11,4.2,1.428571428571419,8.571428571428557,27.835051546391753,False,-5.7522,4.2665,3,3,3,100.0,30.849727829925854,40.000000000000014,6.571428571428581,1.428571428571419,历史3/3次成功; 当前距低点1.43%; 最新日涨幅-5.75%; 状态confirmed_rebound; 底部未确认
9,83.78247228882961,79.89973004623282,688083,中望软件,confirmed_rebound,2024-10-11,91.4,2024-10-11,90.02,1.532992668295945,14.063541435236626,29.10694597574422,False,-10.1985,2.9581,6,6,6,100.0,15.886845859933127,27.053669222343906,6.467007331704055,1.532992668295945,历史6/6次成功; 当前距低点1.53%; 最新日涨幅-10.20%; 状态confirmed_rebound; 底部未确认
10,83.46572797675076,79.86097967885337,300454,深信服,confirmed_rebound,2024-10-11,62.05,2024-10-11,61.01,1.7046385838387135,8.17898705130307,27.62752075919336,False,-5.2382,3.2314,4,4,4,100.0,17.782557258094812,29.49391262831224,6.2953614161612865,1.7046385838387135,历史4/4次成功; 当前距低点1.70%; 最新日涨幅-5.24%; 状态confirmed_rebound; 底部未确认
11,83.42343445147442,79.67477569784892,300713,英可瑞,confirmed_rebound,2024-10-11,15.15,2024-10-11,14.91,1.6096579476861181,9.993293091884631,27.23279648609077,False,-7.8467,9.3875,4,4,4,100.0,15.617181820286302,23.73271889400922,6.3903420523138825,1.6096579476861181,历史4/4次成功; 当前距低点1.61%; 最新日涨幅-7.85%; 状态confirmed_rebound; 底部未确认
12,82.62326571414765,79.88868954393944,688037,芯源微,confirmed_rebound,2024-10-11,81.8,2024-10-11,80.0,2.2499999999999964,10.250000000000004,30.434782608695656,False,-7.7374,5.1544,5,5,5,100.0,24.616610451287148,34.08866995073892,5.7500000000000036,2.2499999999999964,历史5/5次成功; 当前距低点2.25%; 最新日涨幅-7.74%; 状态confirmed_rebound; 底部未确认
13,82.54540482057843,79.15312791014368,000995,皇台酒业,confirmed_rebound,2024-10-11,11.2,2024-10-11,11.0,1.818181818181812,9.090909090909092,31.207004377736087,False,-8.347,9.5101,7,7,7,100.0,15.368722879560218,24.697644812221508,6.181818181818189,1.818181818181812,历史7/7次成功; 当前距低点1.82%; 最新日涨幅-8.35%; 状态confirmed_rebound; 底部未确认
14,81.47721999199055,78.26456230343027,301499,维科精密,confirmed_rebound,2024-10-11,26.7,2024-10-11,26.2,1.9083969465648856,13.740458015267182,27.222222222222225,False,-2.9091,17.5265,3,3,3,100.0,18.148964202140924,21.950454687989964,6.091603053435114,1.9083969465648856,历史3/3次成功; 当前距低点1.91%; 最新日涨幅-2.91%; 状态confirmed_rebound; 底部未确认
15,81.27840958589039,78.4245288285207,688173,希荻微,confirmed_rebound,2024-10-11,10.97,2024-10-11,10.74,2.1415270018622015,11.638733705772813,28.160535117056853,False,-10.3025,4.5654,6,6,6,100.0,15.4151096385296,23.120837297811605,5.858472998137799,2.1415270018622015,历史6/6次成功; 当前距低点2.14%; 最新日涨幅-10.30%; 状态confirmed_rebound; 底部未确认
16,81.0866782298763,78.64897187642887,688320,禾川科技,confirmed_rebound,2024-10-11,26.74,2024-10-11,26.11,2.412868632707771,11.29835312140942,28.971708378672467,False,-9.202,5.2817,5,5,5,100.0,19.94791590861607,38.29133374308544,5.587131367292229,2.412868632707771,历史5/5次成功; 当前距低点2.41%; 最新日涨幅-9.20%; 状态confirmed_rebound; 底部未确认
17,80.49916569715462,78.07790771502053,300637,扬帆新材,confirmed_rebound,2024-10-11,10.19,2024-10-11,9.95,2.41206030150754,10.85427135678392,27.37226277372263,False,-6.9406,8.9247,5,5,5,100.0,16.867769905686643,31.810193321616865,5.58793969849246,2.41206030150754,历史5/5次成功; 当前距低点2.41%; 最新日涨幅-6.94%; 状态confirmed_rebound; 底部未确认
18,79.51337402404485,75.9779973647825,300755,华致酒行,bottom_area,2024-10-11,16.78,2024-10-11,16.51,1.635372501514231,7.813446396123555,32.858885725904834,False,-7.344,2.6103,2,2,2,100.0,19.175519721693263,24.47650069799908,6.36462749848577,1.635372501514231,历史2/2次成功; 当前距低点1.64%; 最新日涨幅-7.34%; 状态bottom_area; 底部未确认
19,78.72316406711909,75.98697369125188,300624,万兴科技,confirmed_rebound,2024-10-11,55.32,2024-10-11,54.15,2.1606648199446012,9.732225300092342,29.271159874608156,False,-9.2669,10.0295,2,2,2,100.0,35.87790043400834,51.195680123425035,5.839335180055399,2.1606648199446012,历史2/2次成功; 当前距低点2.16%; 最新日涨幅-9.27%; 状态confirmed_rebound; 底部未确认
20,78.42889222630572,74.25053511705688,600376,首开股份,bottom_area,2024-10-11,2.63,2024-10-10,2.6,1.1538461538461462,7.307692307692306,27.97783933518005,False,-3.663,1.8454,1,1,1,100.0,20.652173913043484,20.652173913043484,6.846153846153855,1.1538461538461462,历史1/1次成功; 当前距低点1.15%; 最新日涨幅-3.66%; 状态bottom_area; 底部未确认
21,77.67099348385146,74.00808658513137,300659,中孚信息,confirmed_rebound,2024-10-11,15.0,2024-10-11,14.78,1.488497970230045,8.795669824086596,28.25242718446603,False,-6.015,6.4694,2,2,2,100.0,16.99925783470891,24.84984984984984,6.5115020297699555,1.488497970230045,历史2/2次成功; 当前距低点1.49%; 最新日涨幅-6.01%; 状态confirmed_rebound; 底部未确认
22,77.60954995407208,74.00687683549054,300615,欣天科技,confirmed_rebound,2024-10-11,11.29,2024-10-11,11.12,1.5287769784172658,11.960431654676261,28.165374677002593,False,-7.5348,6.9299,2,2,2,100.0,17.486496485386603,24.306326304106545,6.471223021582734,1.5287769784172658,历史2/2次成功; 当前距低点1.53%; 最新日涨幅-7.53%; 状态confirmed_rebound; 底部未确认
23,77.23497286597241,75.29174468821017,688308,欧科亿,confirmed_rebound,2024-10-11,18.04,2024-10-11,17.57,2.675014228799083,12.407512805919179,29.210314262691377,False,-7.5346,2.6049,3,3,3,100.0,21.77837166597888,40.26548672566372,5.324985771200917,2.675014228799083,历史3/3次成功; 当前距低点2.68%; 最新日涨幅-7.53%; 状态confirmed_rebound; 底部未确认
24,77.18174754496796,76.0184174857766,300769,德方纳米,confirmed_rebound,2024-10-11,38.58,2024-10-11,37.38,3.21027287319421,11.235955056179762,29.471698113207545,False,-8.3828,9.9993,7,7,7,100.0,15.57978299279243,41.300000000000004,4.78972712680579,3.21027287319421,历史7/7次成功; 当前距低点3.21%; 最新日涨幅-8.38%; 状态confirmed_rebound; 底部未确认
25,77.08013905609924,75.46825827282657,688023,安恒信息,confirmed_rebound,2024-10-11,46.82,2024-10-11,45.5,2.9010989010989015,15.472527472527469,28.43661528782636,False,-10.5635,9.1934,3,3,3,100.0,25.498729931892754,39.261744966442954,5.0989010989010985,2.9010989010989015,历史3/3次成功; 当前距低点2.90%; 最新日涨幅-10.56%; 状态confirmed_rebound; 底部未确认
26,76.92797659963632,72.864595522325,688059,华锐精密,confirmed_rebound,2024-10-11,50.64,2024-10-11,50.05,1.1788211788211858,10.889110889110896,29.50704225352113,False,-7.1167,2.0146,4,5,4,80.0,17.05541833353391,38.29213483146067,6.821178821178814,1.1788211788211858,历史4/5次成功; 当前距低点1.18%; 最新日涨幅-7.12%; 状态confirmed_rebound; 底部未确认
27,76.51058353709833,74.34988484288867,300662,科锐国际,bottom_area,2024-10-11,19.6,2024-10-11,19.12,2.510460251046027,5.543933054393299,27.739984882842023,False,-0.6085,5.8311,1,1,1,100.0,27.600721587492483,27.600721587492483,5.489539748953972,2.510460251046027,历史1/1次成功; 当前距低点2.51%; 最新日涨幅-0.61%; 状态bottom_area; 底部未确认
28,76.17448902037751,73.3905941241621,300426,华智数媒,confirmed_rebound,2024-10-11,8.9,2024-10-11,8.72,2.0642201834862353,9.403669724770625,29.677419354838708,False,-7.4844,2.8864,2,2,2,100.0,20.736645927476964,25.936811168258643,5.935779816513765,2.0642201834862353,历史2/2次成功; 当前距低点2.06%; 最新日涨幅-7.48%; 状态confirmed_rebound; 底部未确认
29,75.89654959158646,72.44146666903917,301538,骏鼎达,confirmed_rebound,2024-10-11,73.4,2024-10-11,72.26,1.5776363133130369,9.825629670633813,27.010101010101007,False,-7.7078,12.5072,2,2,2,100.0,9.669233674155395,10.10519247985676,6.422363686686963,1.5776363133130369,历史2/2次成功; 当前距低点1.58%; 最新日涨幅-7.71%; 状态confirmed_rebound; 底部未确认
30,75.42747967240956,72.95232836224302,688331,荣昌生物,confirmed_rebound,2024-10-11,30.7,2024-10-11,30.02,2.2651565622918044,11.99200532978014,28.506787330316747,False,-7.9736,2.7464,2,2,2,100.0,20.843469485313637,26.761565836298917,5.734843437708196,2.2651565622918044,历史2/2次成功; 当前距低点2.27%; 最新日涨幅-7.97%; 状态confirmed_rebound; 底部未确认
31,75.33522135338927,72.58347494290697,301369,联动科技,confirmed_rebound,2024-10-11,55.35,2024-10-11,54.23,2.0652775216669825,11.63562603724876,27.17872968980798,False,-7.0841,15.4729,1,1,1,100.0,33.07692307692307,33.07692307692307,5.9347224783330175,2.0652775216669825,历史1/1次成功; 当前距低点2.07%; 最新日涨幅-7.08%; 状态confirmed_rebound; 底部未确认
32,75.03335354304866,71.93365928381259,300573,兴齐眼药,confirmed_rebound,2024-10-11,87.35,2024-10-11,85.8,1.8065268065268032,9.615384615384617,32.80601456652831,False,-6.7073,9.6567,4,5,4,80.0,19.744840874697324,42.86062675283501,6.193473193473197,1.8065268065268032,历史4/5次成功; 当前距低点1.81%; 最新日涨幅-6.71%; 状态confirmed_rebound; 底部未确认
33,74.37637055266251,71.51221918750852,300622,博士眼镜,confirmed_rebound,2024-10-11,23.43,2024-10-11,22.98,1.9582245430809369,11.140121845082675,31.402985074626866,False,-7.6832,12.6895,2,2,2,100.0,9.338554546951876,9.674461256304461,6.041775456919063,1.9582245430809369,历史2/2次成功; 当前距低点1.96%; 最新日涨幅-7.68%; 状态confirmed_rebound; 底部未确认
34,74.32243194367376,68.81706661451274,601933,永辉超市,bottom_area,2024-10-11,2.91,2024-10-11,2.91,0.0,6.872852233676967,27.06766917293233,False,-9.9071,4.5679,2,2,2,100.0,12.726164594154522,13.74407582938389,8.0,0.0,历史2/2次成功; 当前距低点0.00%; 最新日涨幅-9.91%; 状态bottom_area; 底部未确认
35,73.81898296522904,74.13050973384549,688071,华依科技,confirmed_rebound,2024-10-11,20.75,2024-10-11,19.91,4.218985434455047,15.268709191361122,29.646643109540637,False,-9.7434,3.9072,5,5,5,100.0,17.794604969908505,29.494190020505805,3.781014565544953,4.218985434455047,历史5/5次成功; 当前距低点4.22%; 最新日涨幅-9.74%; 状态confirmed_rebound; 底部未确认
36,72.56527923446704,70.00247669773636,300528,幸福蓝海,confirmed_rebound,2024-10-11,7.67,2024-10-11,7.51,2.1304926764314267,9.054593874833552,27.857829010566764,False,-5.6581,2.7451,1,1,1,100.0,20.0,20.0,5.869507323568573,2.1304926764314267,历史1/1次成功; 当前距低点2.13%; 最新日涨幅-5.66%; 状态confirmed_rebound; 底部未确认
37,72.49466816021923,68.01580431166856,301607,富特科技,confirmed_rebound,2024-10-11,44.1,2024-10-11,43.8,0.6849315068493248,9.041095890410961,27.603305785123972,False,-7.6633,28.6493,1,1,1,100.0,31.437893264973205,31.437893264973205,7.315068493150675,0.6849315068493248,历史1/1次成功; 当前距低点0.68%; 最新日涨幅-7.66%; 状态confirmed_rebound; 底部未确认
38,70.96249679519417,67.64125309364535,688236,春立医疗,confirmed_rebound,2024-10-11,12.79,2024-10-11,12.6,1.507936507936504,9.285714285714286,27.33564013840831,False,-7.1169,5.0228,2,3,2,66.66666666666666,38.562804650935014,48.33672776646301,6.4920634920634965,1.507936507936504,历史2/3次成功; 当前距低点1.51%; 最新日涨幅-7.12%; 状态confirmed_rebound; 底部未确认
39,70.40254097939305,68.32823281378136,688017,绿的谐波,confirmed_rebound,2024-10-11,83.8,2024-10-11,81.8,2.444987775061125,16.13691931540343,28.22672633149074,False,-10.8511,4.3997,3,4,3,75.0,19.02045667161674,22.08643815201191,5.555012224938875,2.444987775061125,历史3/4次成功; 当前距低点2.44%; 最新日涨幅-10.85%; 状态confirmed_rebound; 底部未确认
40,69.71053705732781,65.42887169369259,688255,凯尔达,confirmed_rebound,2024-10-11,20.0,2024-10-11,19.86,0.7049345417925507,9.214501510574028,27.834302325581394,False,-6.8034,2.6426,1,1,1,100.0,17.774851876234372,17.774851876234372,7.295065458207449,0.7049345417925507,历史1/1次成功; 当前距低点0.70%; 最新日涨幅-6.80%; 状态confirmed_rebound; 底部未确认
41,69.2835758338569,66.77321029067582,300530,领湃科技,confirmed_rebound,2024-10-11,19.13,2024-10-11,18.74,2.081109925293493,8.0042689434365,30.541141586360276,False,-6.6829,2.8026,4,6,4,66.66666666666666,24.255237923001754,34.07510431154381,5.918890074706507,2.081109925293493,历史4/6次成功; 当前距低点2.08%; 最新日涨幅-6.68%; 状态confirmed_rebound; 底部未确认
42,67.26453778242974,68.09023251610317,688326,经纬恒润,confirmed_rebound,2024-10-11,82.86,2024-10-11,79.19,4.6344235383255485,21.530496274782166,31.067200557103064,False,-14.5773,5.8162,2,2,2,100.0,23.74579668540548,34.48938586529221,3.3655764616744515,4.6344235383255485,历史2/2次成功; 当前距低点4.63%; 最新日涨幅-14.58%; 状态confirmed_rebound; 底部未确认
43,63.69377036721073,60.10635571790186,688117,圣诺生物,bottom_area,2024-10-11,26.62,2024-10-11,26.36,0.9863429438543307,5.614567526555389,28.718226068144936,False,-4.5878,3.744,2,3,2,66.66666666666666,21.282532060339015,24.6076585059636,7.01365705614567,0.9863429438543307,历史2/3次成功; 当前距低点0.99%; 最新日涨幅-4.59%; 状态bottom_area; 底部未确认
44,59.43599723662478,56.17455473392915,688058,宝兰德,confirmed_rebound,2024-10-11,23.7,2024-10-11,23.45,1.0660980810234542,10.831556503198291,29.494888755261574,False,-8.8462,3.5685,1,2,1,50.0,24.27558257345491,24.27558257345491,6.933901918976545,1.0660980810234542,历史1/2次成功; 当前距低点1.07%; 最新日涨幅-8.85%; 状态confirmed_rebound; 底部未确认
45,55.400665515955595,52.847455339613106,688198,佰仁医疗,confirmed_rebound,2024-10-11,122.75,2024-10-11,120.88,1.546988749172737,14.154533421575128,27.180722891566266,False,-12.9433,0.7945,1,2,1,50.0,12.282740256596455,12.282740256596455,6.453011250827263,1.546988749172737,历史1/2次成功; 当前距低点1.55%; 最新日涨幅-12.94%; 状态confirmed_rebound; 底部未确认
46,54.85455784784164,53.647130370643566,300492,华图山鼎,bottom_area,2024-10-11,73.08,2024-10-11,71.06,2.8426681677455616,6.501547987616105,31.541425818882463,False,-2.6379,0.7417,1,2,1,50.0,12.034482758620696,12.034482758620696,5.157331832254439,2.8426681677455616,历史1/2次成功; 当前距低点2.84%; 最新日涨幅-2.64%; 状态bottom_area; 底部未确认
47,52.9749525101764,49.050881953867034,000062,深圳华强,bottom_area,2024-10-11,24.88,2024-10-11,24.88,0.0,6.350482315112547,28.009259259259267,False,-9.9855,6.5251,1,2,1,50.0,14.789687924016292,14.789687924016292,8.0,0.0,历史1/2次成功; 当前距低点0.00%; 最新日涨幅-9.99%; 状态bottom_area; 底部未确认
