rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,87.4494527360182,81.79157669663624,300473,德尔股份,bottom_area,2023-08-14,16.35,2023-08-14,16.11,1.4897579143389323,1.8001241464928561,28.24053452115813,False,0.0,1.3984,2,2,2,100.0,15.958197534026922,21.37137137137137,8.51024208566107,1.4897579143389323,历史2/2次成功; 当前距低点1.49%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
2,87.44708804364788,82.09935464991088,688262,国芯科技,bottom_area,2023-08-14,33.13,2023-08-14,32.58,1.6881522406384415,2.209944751381212,29.632829373650104,False,0.4244,1.0298,2,2,2,100.0,20.044848164336123,27.063197026022312,8.31184775936156,1.6881522406384415,历史2/2次成功; 当前距低点1.69%; 最新日涨幅0.42%; 状态bottom_area; 底部未确认
3,86.42765273311538,81.25993600025261,300455,航天智装,bottom_area,2023-08-14,10.96,2023-08-14,10.77,1.764159702878378,1.8570102135561846,30.961538461538463,False,0.2745,0.8001,2,2,2,100.0,16.463549047394118,18.904109589041095,8.235840297121623,1.764159702878378,历史2/2次成功; 当前距低点1.76%; 最新日涨幅0.27%; 状态bottom_area; 底部未确认
4,85.59455391020796,81.13537130497477,600935,华塑股份,bottom_area,2023-08-14,3.73,2023-06-27,3.65,2.1917808219178103,7.671232876712336,28.571428571428577,True,0.0,0.4132,1,1,1,100.0,28.50877192982458,28.50877192982458,7.80821917808219,2.1917808219178103,历史1/1次成功; 当前距低点2.19%; 最新日涨幅0.00%; 状态bottom_area; 底部已确认
5,85.5097258420749,80.01070810303472,603015,弘讯科技,bottom_area,2023-08-14,8.73,2023-08-14,8.6,1.5116279069767533,1.7441860465116321,28.213689482470787,False,0.4603,0.6467,1,1,1,100.0,23.318385650224208,23.318385650224208,8.488372093023248,1.5116279069767533,历史1/1次成功; 当前距低点1.51%; 最新日涨幅0.46%; 状态bottom_area; 底部未确认
6,85.00615631927229,83.75767006504657,002045,国光电器,bottom_area,2023-08-14,13.82,2023-08-14,13.26,4.223227752639521,4.600301659125184,28.20790471034109,False,0.7289,2.9803,4,4,4,100.0,26.70230828529398,33.77563329312426,5.77677224736048,4.223227752639521,历史4/4次成功; 当前距低点4.22%; 最新日涨幅0.73%; 状态bottom_area; 底部未确认
7,84.05349373356938,80.62557206053218,688328,深科达,bottom_area,2023-08-14,22.65,2023-08-14,22.03,2.8143440762596343,2.950522015433493,29.996822370511595,False,0.3545,4.0876,2,2,2,100.0,25.92621803443088,29.170984455958543,7.1856559237403665,2.8143440762596343,历史2/2次成功; 当前距低点2.81%; 最新日涨幅0.35%; 状态bottom_area; 底部未确认
8,83.5026977568885,78.0784791811743,600990,四创电子,bottom_area,2023-08-14,22.7,2023-08-14,22.37,1.4751899865891742,1.56459544032185,30.289809909629174,False,0.0882,0.45,1,1,1,100.0,12.483399734395755,12.483399734395755,8.524810013410827,1.4751899865891742,历史1/1次成功; 当前距低点1.48%; 最新日涨幅0.09%; 状态bottom_area; 底部未确认
9,83.4493429383986,81.07900057195087,300342,天银机电,bottom_area,2023-08-14,10.98,2023-08-14,10.61,3.487276154571169,4.052780395852967,31.592520954223087,False,2.4254,2.6824,3,3,3,100.0,19.9461838944793,26.68539325842696,6.512723845428832,3.487276154571169,历史3/3次成功; 当前距低点3.49%; 最新日涨幅2.43%; 状态bottom_area; 底部未确认
10,83.29716463550069,80.51760370579076,600072,中船科技,bottom_area,2023-08-14,22.45,2023-08-14,21.75,3.2183908045976977,3.4022988505747054,29.153094462540714,False,1.9528,2.8846,3,3,3,100.0,13.631907205771569,14.0952380952381,6.781609195402302,3.2183908045976977,历史3/3次成功; 当前距低点3.22%; 最新日涨幅1.95%; 状态bottom_area; 底部未确认
11,82.55547454698679,77.48691846835112,300375,鹏翎股份,bottom_area,2023-08-14,4.25,2023-08-14,4.18,1.6746411483253658,1.913875598086126,32.032520325203265,False,0.2358,4.5027,1,1,1,100.0,11.74785100286532,11.74785100286532,8.325358851674634,1.6746411483253658,历史1/1次成功; 当前距低点1.67%; 最新日涨幅0.24%; 状态bottom_area; 底部未确认
