rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,94.65321826948151,89.3594493886289,300644,南京聚隆,bottom_area,2024-06-03,22.67,2024-06-03,22.23,1.979307242465143,4.408457040035989,28.01165803108808,False,0.6214,16.0959,3,3,3,100.0,45.97994570671739,78.38246409674981,8.020692757534857,1.979307242465143,历史3/3次成功; 当前距低点1.98%; 最新日涨幅0.62%; 状态bottom_area; 底部未确认
2,86.13479410476653,82.10280326719712,300542,新晨科技,confirmed_rebound,2024-06-03,14.03,2024-05-30,13.69,2.483564645726807,11.029948867786704,27.489406779661014,True,-5.9651,13.6549,4,4,4,100.0,30.189949782012032,61.233480176211465,7.516435354273193,2.483564645726807,历史4/4次成功; 当前距低点2.48%; 最新日涨幅-5.97%; 状态confirmed_rebound; 底部已确认
3,84.2367976217797,81.43523558137102,002837,英维克,bottom_area,2024-06-03,24.01,2024-05-31,23.26,3.224419604471195,5.546001719690452,30.108173076923073,False,1.6081,1.5347,3,3,3,100.0,18.639313330996423,24.517374517374524,6.775580395528805,3.224419604471195,历史3/3次成功; 当前距低点3.22%; 最新日涨幅1.61%; 状态bottom_area; 底部未确认
4,81.1183594381045,76.16284702536366,688238,和元生物,bottom_area,2024-06-03,5.41,2024-05-27,5.32,1.6917293233082678,7.706766917293235,27.421555252387446,True,-4.2478,1.4376,2,2,2,100.0,11.666612271540478,11.958224543080954,8.308270676691732,1.6917293233082678,历史2/2次成功; 当前距低点1.69%; 最新日涨幅-4.25%; 状态bottom_area; 底部已确认
5,80.98649314367158,77.95591049868672,605108,同庆楼,bottom_area,2024-06-03,25.08,2024-05-31,24.35,2.997946611909638,3.039014373716626,29.725829725829715,False,2.1173,0.5495,2,2,2,100.0,13.82381061204675,17.52165223184544,7.002053388090363,2.997946611909638,历史2/2次成功; 当前距低点3.00%; 最新日涨幅2.12%; 状态bottom_area; 底部未确认
6,80.34198031975723,75.77448905038948,300621,维业股份,bottom_area,2024-06-03,7.93,2024-06-03,7.78,1.9280205655526923,4.370179948586104,27.15355805243445,False,-1.6129,2.3201,1,1,1,100.0,28.120300751879686,28.120300751879686,8.071979434447309,1.9280205655526923,历史1/1次成功; 当前距低点1.93%; 最新日涨幅-1.61%; 状态bottom_area; 底部未确认
7,78.93706630264663,76.00052144243685,688205,德科立,bottom_area,2024-06-03,32.17,2024-05-31,31.23,3.009926352865838,6.596221581812356,27.168843283582095,False,0.2493,2.1804,1,1,1,100.0,20.12448132780082,20.12448132780082,6.990073647134162,3.009926352865838,历史1/1次成功; 当前距低点3.01%; 最新日涨幅0.25%; 状态bottom_area; 底部未确认
8,77.93326487592626,71.59738655855294,600310,广西能源,bottom_area,2024-06-03,3.65,2024-06-03,3.63,0.5509641873278243,4.958677685950417,28.823529411764703,False,-6.1697,8.4828,2,2,2,100.0,22.169811320754725,34.33962264150944,9.449035812672177,0.5509641873278243,历史2/2次成功; 当前距低点0.55%; 最新日涨幅-6.17%; 状态bottom_area; 底部未确认
9,77.8901137233855,73.32475627656753,002670,国盛证券,bottom_area,2024-06-03,9.46,2024-06-03,9.29,1.8299246501614825,2.152852529601734,30.671641791044784,False,-1.1494,1.8886,1,1,1,100.0,13.747228381374727,13.747228381374727,8.170075349838518,1.8299246501614825,历史1/1次成功; 当前距低点1.83%; 最新日涨幅-1.15%; 状态bottom_area; 底部未确认
10,77.56858456665167,72.7823536984391,002285,世联行,bottom_area,2024-06-03,1.84,2024-06-03,1.81,1.657458563535913,6.0773480662983355,29.57198443579766,False,-3.1579,2.2528,1,1,1,100.0,18.932038834951463,18.932038834951463,8.342541436464087,1.657458563535913,历史1/1次成功; 当前距低点1.66%; 最新日涨幅-3.16%; 状态bottom_area; 底部未确认
11,75.68757602862257,68.80688729874778,600969,郴电国际,bottom_area,2024-06-03,5.99,2024-06-03,5.99,0.0,7.01168614357262,32.46899661781285,False,-9.9248,17.3858,1,1,1,100.0,29.338103756708417,29.338103756708417,10.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-9.92%; 状态bottom_area; 底部未确认
