rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,83.9035046335299,69.91958719460825,001212,中旗新材,bottom_area,2021-09-24,32.5,2021-09-24,32.5,0.0,2.0307692307692204,27.048260381593707,False,-2.0199,5.2025,1,1,1,100.0,25.105307497893843,25.105307497893843,20.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-2.02%; 状态bottom_area; 底部未确认
2,83.82496876682465,70.05497585779452,000532,华金资本,bottom_area,2021-09-24,12.79,2021-09-24,12.77,0.15661707126076407,3.4455755677368938,28.81828316610926,False,-3.1794,1.4811,1,1,1,100.0,25.710014947683103,25.710014947683103,19.843382928739235,0.15661707126076407,历史1/1次成功; 当前距低点0.16%; 最新日涨幅-3.18%; 状态bottom_area; 底部未确认
3,83.78177306468717,69.81814422057265,603005,晶方科技,bottom_area,2021-09-24,44.12,2021-09-24,44.12,0.0,2.9465095194923037,30.51968503937008,False,-2.4757,2.0863,1,1,1,100.0,24.55991516436903,24.55991516436903,20.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-2.48%; 状态bottom_area; 底部未确认
