rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,94.55651718865798,81.4396832493777,600973,宝胜股份,bottom_area,2024-07-12,3.39,2024-07-09,3.33,1.8018018018018036,4.504504504504501,28.077753779697623,False,-1.4535,0.7415,2,2,2,100.0,40.36446966390223,46.551724137931025,18.1981981981982,1.8018018018018036,历史2/2次成功; 当前距低点1.80%; 最新日涨幅-1.45%; 状态bottom_area; 底部未确认
2,94.33802833024731,80.50291489077865,601717,中创智领,bottom_area,2024-07-12,13.29,2024-07-12,13.12,1.2957317073170727,4.115853658536593,27.513812154696144,False,-2.3512,1.4737,2,2,2,100.0,29.124640771298786,35.43478260869567,18.70426829268293,1.2957317073170727,历史2/2次成功; 当前距低点1.30%; 最新日涨幅-2.35%; 状态bottom_area; 底部未确认
3,94.15433025044452,81.68755294018814,000065,北方国际,bottom_area,2024-07-12,9.75,2024-07-09,9.54,2.2012578616352294,4.088050314465415,28.000000000000007,False,-1.0152,0.7335,3,3,3,100.0,29.926993896325044,41.48061104582843,17.79874213836477,2.2012578616352294,历史3/3次成功; 当前距低点2.20%; 最新日涨幅-1.02%; 状态bottom_area; 底部未确认
4,88.7414888895726,76.90359380845857,600161,天坛生物,bottom_area,2024-07-12,23.4,2024-07-05,22.91,2.1388040157136556,5.543430816237449,29.42082563154652,False,-1.5566,0.3849,1,1,1,100.0,36.77455357142857,36.77455357142857,17.861195984286347,2.1388040157136556,历史1/1次成功; 当前距低点2.14%; 最新日涨幅-1.56%; 状态bottom_area; 底部未确认
5,86.53734927042855,78.8126642933336,605567,春雪食品,bottom_area,2024-07-12,7.55,2024-07-09,7.2,4.861111111111106,7.638888888888887,29.961089494163417,True,0.3989,2.2825,2,2,2,100.0,32.07525605734906,36.46616541353383,15.138888888888896,4.861111111111106,历史2/2次成功; 当前距低点4.86%; 最新日涨幅0.40%; 状态bottom_area; 底部已确认
6,85.24492054322877,73.99223938523639,600970,中材国际,bottom_area,2024-07-12,10.1,2024-07-12,9.88,2.2267206477732677,3.947368421052619,27.03101920236336,False,-1.8465,1.3501,1,1,1,100.0,22.19979818365287,22.19979818365287,17.773279352226734,2.2267206477732677,历史1/1次成功; 当前距低点2.23%; 最新日涨幅-1.85%; 状态bottom_area; 底部未确认
7,83.17033033551544,72.79714493349145,600389,江山股份,bottom_area,2024-07-12,13.39,2024-07-09,13.04,2.6840490797546126,5.061349693251535,28.74316939890711,False,-0.7413,0.8043,1,1,1,100.0,21.380520620064356,21.380520620064356,17.31595092024539,2.6840490797546126,历史1/1次成功; 当前距低点2.68%; 最新日涨幅-0.74%; 状态bottom_area; 底部未确认
8,82.76901285337952,69.79000098120981,600295,鄂尔多斯,bottom_area,2024-07-12,9.41,2024-07-12,9.35,0.6417112299465294,3.957219251336909,30.586488492947296,False,-2.8896,0.4948,1,1,1,100.0,20.016680567139286,20.016680567139286,19.358288770053473,0.6417112299465294,历史1/1次成功; 当前距低点0.64%; 最新日涨幅-2.89%; 状态bottom_area; 底部未确认
9,80.93355444137593,72.37969545996233,603325,博隆技术,bottom_area,2024-07-12,62.65,2024-07-09,60.32,3.8627320954907134,6.26657824933686,30.41070604522382,False,-1.4162,1.0382,1,1,1,100.0,33.584541062801925,33.584541062801925,16.13726790450929,3.8627320954907134,历史1/1次成功; 当前距低点3.86%; 最新日涨幅-1.42%; 状态bottom_area; 底部未确认
10,80.81567823298892,73.43700748129673,002687,乔治白,bottom_area,2024-07-12,4.2,2024-07-09,4.01,4.738154613466344,6.733167082294276,31.45299145299145,False,-0.9434,0.9991,1,1,1,100.0,64.00000000000001,64.00000000000001,15.261845386533658,4.738154613466344,历史1/1次成功; 当前距低点4.74%; 最新日涨幅-0.94%; 状态bottom_area; 底部未确认
11,80.25174446685376,71.49482765656927,603215,比依股份,bottom_area,2024-07-12,11.92,2024-07-09,11.5,3.652173913043478,6.956521739130441,32.70918665886483,False,-1.7312,1.3126,3,4,3,75.0,30.412818162948412,36.01562499999999,16.347826086956523,3.652173913043478,历史3/4次成功; 当前距低点3.65%; 最新日涨幅-1.73%; 状态bottom_area; 底部未确认
