rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,89.69417563759593,79.57213233341847,300355,蒙草生态,bottom_area,2024-12-27,5.44,2024-12-25,5.26,3.4220532319391754,7.604562737642592,29.58500669344043,False,0.7407,4.5256,2,2,2,100.0,27.711901624945106,33.201581027668,16.577946768060826,3.4220532319391754,历史2/2次成功; 当前距低点3.42%; 最新日涨幅0.74%; 状态bottom_area; 底部未确认
2,87.9732230700976,77.50308571428572,002016,世荣兆业,bottom_area,2024-12-27,6.44,2024-12-25,6.25,3.0400000000000063,3.840000000000003,28.160919540229877,False,1.0989,0.6343,1,1,1,100.0,28.571428571428566,28.571428571428566,16.959999999999994,3.0400000000000063,历史1/1次成功; 当前距低点3.04%; 最新日涨幅1.10%; 状态bottom_area; 底部未确认
3,79.78961513655481,72.71606769537087,002321,华英农业,bottom_area,2024-12-27,2.57,2024-12-25,2.45,4.897959183673455,7.346938775510193,30.790960451977394,False,3.629,2.9254,1,1,1,100.0,25.609756097560986,25.609756097560986,15.102040816326545,4.897959183673455,历史1/1次成功; 当前距低点4.90%; 最新日涨幅3.63%; 状态bottom_area; 底部未确认
4,78.4306013781453,66.704742957657,688165,埃夫特,bottom_area,2024-12-27,26.35,2024-12-27,26.06,1.1128165771297112,9.286262471220267,28.89495225102319,False,-5.4539,7.6584,2,4,2,50.0,37.91378899738032,53.84615384615383,18.88718342287029,1.1128165771297112,历史2/4次成功; 当前距低点1.11%; 最新日涨幅-5.45%; 状态bottom_area; 底部未确认
5,76.82431335088219,66.95253414911781,002693,双成药业,bottom_area,2024-12-27,18.0,2024-12-27,17.57,2.447353443369378,5.29311326124075,30.443388756927952,False,2.0987,4.9576,3,8,3,37.5,59.74209192291882,102.85714285714285,17.552646556630624,2.447353443369378,历史3/8次成功; 当前距低点2.45%; 最新日涨幅2.10%; 状态bottom_area; 底部未确认
6,74.24698657896391,67.32519904647494,601011,宝泰隆,bottom_area,2024-12-27,2.49,2024-12-25,2.38,4.621848739495812,7.14285714285714,27.439024390243897,False,2.8926,2.8028,2,3,2,66.66666666666666,32.130900569132905,34.951456310679596,15.378151260504188,4.621848739495812,历史2/3次成功; 当前距低点4.62%; 最新日涨幅2.89%; 状态bottom_area; 底部未确认
7,72.17556666435873,64.02671236354405,002162,悦心健康,bottom_area,2024-12-27,3.63,2024-12-24,3.51,3.4188034188034218,7.122507122507122,30.21868787276343,True,1.6807,2.8468,1,2,1,50.0,43.23432343234324,43.23432343234324,16.58119658119658,3.4188034188034218,历史1/2次成功; 当前距低点3.42%; 最新日涨幅1.68%; 状态bottom_area; 底部已确认
8,71.31684233209086,62.18309490316764,000688,国城矿业,bottom_area,2024-12-27,12.84,2024-12-27,12.53,2.474062250598567,5.187549880287314,27.320185614849184,False,1.0228,0.9944,1,2,1,50.0,30.935251798561143,30.935251798561143,17.525937749401432,2.474062250598567,历史1/2次成功; 当前距低点2.47%; 最新日涨幅1.02%; 状态bottom_area; 底部未确认
9,68.64599694209957,62.52537000491009,000620,盈新发展,bottom_area,2024-12-27,2.37,2024-12-24,2.26,4.867256637168156,8.407079646017717,27.795527156549525,True,0.4237,1.7863,3,7,3,42.857142857142854,35.0606804635748,58.4192439862543,15.132743362831846,4.867256637168156,历史3/7次成功; 当前距低点4.87%; 最新日涨幅0.42%; 状态bottom_area; 底部已确认
10,68.37391931892202,62.17960159362549,002021,中捷资源,bottom_area,2024-12-27,2.63,2024-12-25,2.51,4.780876494023909,8.764940239043833,29.691876750700285,True,1.938,3.5617,1,2,1,50.0,50.76923076923077,50.76923076923077,15.219123505976093,4.780876494023909,历史1/2次成功; 当前距低点4.78%; 最新日涨幅1.94%; 状态bottom_area; 底部已确认
11,66.1317434652051,58.679333795522105,300386,飞天诚信,bottom_area,2024-12-27,17.48,2024-12-27,16.9,3.4319526627219052,7.041420118343203,31.41233766233767,False,1.1574,15.472,3,9,3,33.33333333333333,26.61748673760595,31.195335276967924,16.568047337278095,3.4319526627219052,历史3/9次成功; 当前距低点3.43%; 最新日涨幅1.16%; 状态bottom_area; 底部未确认
12,65.78255303078186,56.98676910387881,300533,冰川网络,bottom_area,2024-12-27,20.24,2024-12-25,19.82,2.1190716448032196,5.852674066599396,29.264810849393285,False,-1.0269,2.8937,1,3,1,33.33333333333333,40.564081294068856,40.564081294068856,17.880928355196783,2.1190716448032196,历史1/3次成功; 当前距低点2.12%; 最新日涨幅-1.03%; 状态bottom_area; 底部未确认
13,65.6492716438752,59.18832396753875,300651,金陵体育,bottom_area,2024-12-27,13.32,2024-12-25,12.77,4.30696945967111,6.656225528582612,32.398094229751194,False,0.8327,5.9951,2,5,2,40.0,25.635560944026203,25.720461095100855,15.693030540328893,4.30696945967111,历史2/5次成功; 当前距低点4.31%; 最新日涨幅0.83%; 状态bottom_area; 底部未确认
14,64.43005162570262,55.5877251184834,000981,山子高科,bottom_area,2024-12-27,2.15,2024-12-25,2.11,1.8957345971564,9.478672985782,30.81967213114754,True,-0.9217,8.7984,1,4,1,25.0,22.499999999999993,22.499999999999993,18.104265402843602,1.8957345971564,历史1/4次成功; 当前距低点1.90%; 最新日涨幅-0.92%; 状态bottom_area; 底部已确认
15,62.67000390602285,53.31741033611208,000681,视觉中国,bottom_area,2024-12-27,22.37,2024-12-27,22.12,1.1301989150090417,5.922242314647372,30.48397234443746,False,-2.1435,18.4674,1,5,1,20.0,20.93690248565965,20.93690248565965,18.869801084990957,1.1301989150090417,历史1/5次成功; 当前距低点1.13%; 最新日涨幅-2.14%; 状态bottom_area; 底部未确认
16,61.35001724416312,54.47248554913294,002146,荣盛发展,bottom_area,2024-12-27,1.79,2024-12-25,1.73,3.4682080924855523,5.202312138728328,27.61506276150628,False,0.5618,3.9446,1,5,1,20.0,33.33333333333333,33.33333333333333,16.53179190751445,3.4682080924855523,历史1/5次成功; 当前距低点3.47%; 最新日涨幅0.56%; 状态bottom_area; 底部未确认
17,60.28107946380679,54.859963491936114,002167,东方锆业,bottom_area,2024-12-27,7.61,2024-12-25,7.26,4.820936639118465,6.198347107438019,30.259365994236315,False,1.4667,3.2073,1,4,1,25.0,41.1650485436893,41.1650485436893,15.179063360881537,4.820936639118465,历史1/4次成功; 当前距低点4.82%; 最新日涨幅1.47%; 状态bottom_area; 底部未确认
18,59.84806943693629,54.53841928564348,002343,慈文传媒,bottom_area,2024-12-27,6.43,2024-12-25,6.13,4.893964110929851,6.851549755301793,27.7122641509434,False,1.1006,3.2564,1,4,1,25.0,40.33149171270718,40.33149171270718,15.106035889070151,4.893964110929851,历史1/4次成功; 当前距低点4.89%; 最新日涨幅1.10%; 状态bottom_area; 底部未确认
