rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,89.70031895239504,83.78104679249392,600202,哈空调,bottom_area,2025-01-23,4.45,2025-01-22,4.43,0.45146726862303527,3.160270880361187,29.006410256410263,False,0.2252,5.533,5,5,5,100.0,20.432215940615322,41.50485436893204,7.548532731376965,0.45146726862303527,历史5/5次成功; 当前距低点0.45%; 最新日涨幅0.23%; 状态bottom_area; 底部未确认
2,85.87269518288521,80.34821266859076,002246,北化股份,bottom_area,2025-01-23,9.25,2025-01-06,9.2,0.543478260869573,6.521739130434799,27.38752959747435,False,-0.108,1.6341,4,4,4,100.0,25.577113458996685,31.992687385740403,7.456521739130427,0.543478260869573,历史4/4次成功; 当前距低点0.54%; 最新日涨幅-0.11%; 状态bottom_area; 底部未确认
3,84.17538062000042,78.46015501325383,300601,康泰生物,bottom_area,2025-01-23,14.53,2025-01-13,14.48,0.34530386740330754,6.21546961325967,28.775209050664035,False,-1.0892,1.5313,5,5,5,100.0,12.997031349104097,24.837758112094402,7.654696132596693,0.34530386740330754,历史5/5次成功; 当前距低点0.35%; 最新日涨幅-1.09%; 状态bottom_area; 底部未确认
4,83.9171601611186,79.93658150421925,300682,朗新科技,bottom_area,2025-01-23,10.33,2025-01-13,10.18,1.4734774066797678,7.26915520628684,29.256428075052128,True,-0.0967,1.2809,2,2,2,100.0,19.0651074809093,21.503593145384194,6.526522593320233,1.4734774066797678,历史2/2次成功; 当前距低点1.47%; 最新日涨幅-0.10%; 状态bottom_area; 底部已确认
5,83.7282387093126,77.52614695306723,300347,泰格医药,bottom_area,2025-01-23,48.41,2025-01-23,48.41,0.0,3.2637884734559086,29.942112879884224,False,-1.002,1.5472,4,4,4,100.0,16.000790070253917,23.423271500843175,8.0,0.0,历史4/4次成功; 当前距低点0.00%; 最新日涨幅-1.00%; 状态bottom_area; 底部未确认
6,82.46949812430005,81.6199227205177,600325,华发股份,bottom_area,2025-01-23,5.38,2025-01-13,5.2,3.4615384615384563,5.961538461538454,29.539295392953925,False,2.8681,2.5817,3,3,3,100.0,22.53887318723322,32.553606237816766,4.538461538461544,3.4615384615384563,历史3/3次成功; 当前距低点3.46%; 最新日涨幅2.87%; 状态bottom_area; 底部未确认
7,81.333924779114,77.19407155950442,000421,南京公用,bottom_area,2025-01-23,6.31,2025-01-22,6.23,1.2841091492776755,4.012841091492777,27.726218097447784,False,-0.6299,4.2477,5,6,5,83.33333333333334,13.970468207119307,30.864197530864196,6.715890850722325,1.2841091492776755,历史5/6次成功; 当前距低点1.28%; 最新日涨幅-0.63%; 状态bottom_area; 底部未确认
8,81.00618618034959,77.83408026755852,600117,西宁特钢,confirmed_rebound,2025-01-23,2.12,2025-01-13,2.08,1.9230769230769247,8.653846153846139,27.526132404181187,True,0.0,0.2886,1,1,1,100.0,17.681159420289838,17.681159420289838,6.076923076923076,1.9230769230769247,历史1/1次成功; 当前距低点1.92%; 最新日涨幅0.00%; 状态confirmed_rebound; 底部已确认
9,80.40109519278252,74.83711814787529,603177,德创环保,bottom_area,2025-01-23,7.36,2025-01-23,7.34,0.27247956403270385,5.177111716621252,32.28782287822878,False,-4.0417,8.8352,3,3,3,100.0,19.507373945536873,37.04615384615384,7.727520435967296,0.27247956403270385,历史3/3次成功; 当前距低点0.27%; 最新日涨幅-4.04%; 状态bottom_area; 底部未确认
10,79.45909350594029,73.82222972972974,603682,锦和商管,bottom_area,2025-01-23,5.71,2025-01-23,5.7,0.1754385964912243,5.438596491228063,27.016645326504474,False,-2.3932,5.9325,1,1,1,100.0,35.97972972972974,35.97972972972974,7.824561403508776,0.1754385964912243,历史1/1次成功; 当前距低点0.18%; 最新日涨幅-2.39%; 状态bottom_area; 底部未确认
11,79.21088477068724,80.38004912154607,002183,怡亚通,confirmed_rebound,2025-01-23,4.18,2025-01-13,3.99,4.761904761904749,10.526315789473681,28.62254025044722,True,0.2398,1.2887,4,4,4,100.0,16.167698810155322,31.948881789137378,3.238095238095251,4.761904761904749,历史4/4次成功; 当前距低点4.76%; 最新日涨幅0.24%; 状态confirmed_rebound; 底部已确认
12,78.46092376750255,78.85519976633421,002571,德力股份,bottom_area,2025-01-23,4.16,2025-01-22,3.99,4.2606516290726795,6.265664160401002,28.749999999999993,False,1.9608,7.1848,3,3,3,100.0,17.47035204634371,28.291814946619215,3.739348370927321,4.2606516290726795,历史3/3次成功; 当前距低点4.26%; 最新日涨幅1.96%; 状态bottom_area; 底部未确认
13,77.63560082120168,78.92173276251678,300358,楚天科技,confirmed_rebound,2025-01-23,6.48,2025-01-13,6.18,4.854368932038847,9.223300970873792,28.637413394919175,True,0.7776,1.5816,3,3,3,100.0,26.127386707340612,38.205499276411004,3.1456310679611534,4.854368932038847,历史3/3次成功; 当前距低点4.85%; 最新日涨幅0.78%; 状态confirmed_rebound; 底部已确认
14,76.12047712330214,77.48338636647321,000155,川能动力,bottom_area,2025-01-23,10.87,2025-01-13,10.36,4.922779922779921,7.046332046332051,28.05555555555556,True,-1.0018,1.1061,3,3,3,100.0,31.490992421566784,45.280898876404486,3.077220077220079,4.922779922779921,历史3/3次成功; 当前距低点4.92%; 最新日涨幅-1.00%; 状态bottom_area; 底部已确认
15,75.77491804693824,70.16196115457244,600358,国旅联合,confirmed_rebound,2025-01-23,3.57,2025-01-23,3.57,0.0,10.644257703081243,31.870229007633593,False,-6.2992,16.0691,3,3,3,100.0,13.50516749770124,18.181818181818198,8.0,0.0,历史3/3次成功; 当前距低点0.00%; 最新日涨幅-6.30%; 状态confirmed_rebound; 底部未确认
16,74.85556775671355,74.57148590564444,000629,钒钛股份,bottom_area,2025-01-23,2.73,2025-01-13,2.63,3.802281368821296,7.604562737642592,27.348066298342545,True,-0.365,0.6632,2,2,2,100.0,18.767136701919313,27.173913043478265,4.197718631178704,3.802281368821296,历史2/2次成功; 当前距低点3.80%; 最新日涨幅-0.36%; 状态bottom_area; 底部已确认
17,74.30698855400591,72.3829724641092,001258,立新能源,bottom_area,2025-01-23,6.23,2025-01-13,6.07,2.6359143327841865,7.413509060955508,29.98846597462514,True,-1.735,2.7751,1,1,1,100.0,9.370199692780343,9.370199692780343,5.3640856672158135,2.6359143327841865,历史1/1次成功; 当前距低点2.64%; 最新日涨幅-1.74%; 状态bottom_area; 底部已确认
18,70.70905164964762,69.82603641286289,688117,圣诺生物,confirmed_rebound,2025-01-23,23.47,2025-01-13,22.71,3.3465433729634433,8.322324966974904,27.629063097514333,True,-0.803,1.0675,3,4,3,75.0,18.715888726986787,24.6076585059636,4.653456627036557,3.3465433729634433,历史3/4次成功; 当前距低点3.35%; 最新日涨幅-0.80%; 状态confirmed_rebound; 底部已确认
19,70.48403562475113,66.45861693896894,600129,太极集团,bottom_area,2025-01-23,20.34,2025-01-22,20.15,0.9429280397022396,3.225806451612914,28.189593727726304,False,0.0,2.541,2,3,2,66.66666666666666,22.21411937001825,29.540598290598297,7.05707196029776,0.9429280397022396,历史2/3次成功; 当前距低点0.94%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
20,70.37389873231925,70.52119254066159,605338,巴比食品,confirmed_rebound,2025-01-23,16.47,2025-01-13,15.82,4.1087231352717986,10.619469026548671,30.553116769095702,True,-0.6634,0.7407,2,2,2,100.0,10.962802629469296,13.636363636363638,3.8912768647282014,4.1087231352717986,历史2/2次成功; 当前距低点4.11%; 最新日涨幅-0.66%; 状态confirmed_rebound; 底部已确认
21,66.54782340202391,67.53318067681049,000062,深圳华强,confirmed_rebound,2025-01-23,20.89,2025-01-13,19.94,4.764292878635904,10.180541624874612,28.324946081955428,True,-0.8543,1.2673,3,4,3,75.0,23.76757225860402,37.385512073272274,3.2357071213640967,4.764292878635904,历史3/4次成功; 当前距低点4.76%; 最新日涨幅-0.85%; 状态confirmed_rebound; 底部已确认
