rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,86.03250038686669,83.76296355140957,688071,华依科技,bottom_area,2023-10-26,38.31,2023-10-25,36.98,3.5965386695511232,4.948620876149286,27.617929144646713,False,0.4194,1.2928,4,4,4,100.0,19.048772677344818,29.494190020505805,6.403461330448877,3.5965386695511232,历史4/4次成功; 当前距低点3.60%; 最新日涨幅0.42%; 状态bottom_area; 底部未确认
2,84.98330318938449,80.0214470174164,000928,中钢国际,bottom_area,2023-10-26,6.08,2023-10-23,5.97,1.8425460636515967,5.192629815745402,31.06235565819862,False,-0.8157,1.9267,3,3,3,100.0,16.57232280936585,18.798449612403097,8.157453936348404,1.8425460636515967,历史3/3次成功; 当前距低点1.84%; 最新日涨幅-0.82%; 状态bottom_area; 底部未确认
3,84.09878562454743,78.24232423008033,603326,我乐家居,bottom_area,2023-10-26,10.02,2023-10-23,9.9,1.2121212121212042,3.8383838383838285,30.76923076923077,False,-0.4965,2.636,2,2,2,100.0,15.946024697401477,20.141843971631218,8.787878787878796,1.2121212121212042,历史2/2次成功; 当前距低点1.21%; 最新日涨幅-0.50%; 状态bottom_area; 底部未确认
4,81.84896197643819,79.80244722890966,300724,捷佳伟创,bottom_area,2023-10-26,68.63,2023-10-26,66.2,3.6706948640483272,5.589123867069491,27.4202390088806,False,-0.9954,2.9011,5,5,5,100.0,21.13780386526797,30.55368319691865,6.329305135951674,3.6706948640483272,历史5/5次成功; 当前距低点3.67%; 最新日涨幅-1.00%; 状态bottom_area; 底部未确认
5,81.24838264398176,78.14159550512669,000938,紫光股份,bottom_area,2023-10-26,19.87,2023-10-23,19.3,2.95336787564767,4.041450777202059,28.011935844834014,False,1.1711,0.9881,1,1,1,100.0,30.942334739803094,30.942334739803094,7.046632124352331,2.95336787564767,历史1/1次成功; 当前距低点2.95%; 最新日涨幅1.17%; 状态bottom_area; 底部未确认
6,79.88687908147408,75.56235161107972,688337,普源精电,bottom_area,2023-10-26,38.79,2023-10-26,38.0,2.0789473684210504,3.3947368421052606,27.61904761904762,False,-1.373,1.9823,1,1,1,100.0,28.829847371396255,28.829847371396255,7.9210526315789505,2.0789473684210504,历史1/1次成功; 当前距低点2.08%; 最新日涨幅-1.37%; 状态bottom_area; 底部未确认
7,79.58894891163715,75.83264805178887,301371,敷尔佳,bottom_area,2023-10-26,40.78,2023-10-23,39.8,2.462311557788955,4.773869346733683,27.252787424602452,False,0.4186,3.492,1,1,1,100.0,12.50923872875093,12.50923872875093,7.537688442211045,2.462311557788955,历史1/1次成功; 当前距低点2.46%; 最新日涨幅0.42%; 状态bottom_area; 底部未确认
8,79.50802681485955,77.72991656922943,688023,安恒信息,bottom_area,2023-10-26,121.44,2023-10-24,116.98,3.8126175414600736,4.804240041032647,29.021297251380375,False,1.04,0.7024,1,1,1,100.0,39.261744966442954,39.261744966442954,6.187382458539927,3.8126175414600736,历史1/1次成功; 当前距低点3.81%; 最新日涨幅1.04%; 状态bottom_area; 底部未确认
9,79.46927770569972,75.6977862323533,601156,东航物流,bottom_area,2023-10-26,11.3,2023-10-23,11.03,2.4478694469628413,3.082502266545783,32.33128834355829,False,0.0886,0.3625,1,1,1,100.0,11.607142857142852,11.607142857142852,7.552130553037159,2.4478694469628413,历史1/1次成功; 当前距低点2.45%; 最新日涨幅0.09%; 状态bottom_area; 底部未确认
10,79.46706875314348,76.33952252528348,603098,森特股份,bottom_area,2023-10-26,16.72,2023-10-23,16.25,2.892307692307685,7.5076923076923014,29.835924006908463,True,-2.6209,0.3002,1,1,1,100.0,33.78486055776891,33.78486055776891,7.107692307692314,2.892307692307685,历史1/1次成功; 当前距低点2.89%; 最新日涨幅-2.62%; 状态bottom_area; 底部已确认
11,79.30602962900099,73.89933692729178,600057,厦门象屿,bottom_area,2023-10-26,6.26,2023-10-26,6.18,1.294498381877024,2.10355987055016,27.12264150943397,False,-0.7924,0.5994,1,1,1,100.0,10.273081924577374,10.273081924577374,8.705501618122977,1.294498381877024,历史1/1次成功; 当前距低点1.29%; 最新日涨幅-0.79%; 状态bottom_area; 底部未确认
12,78.32475520014127,73.3292032300913,002828,贝肯能源,bottom_area,2023-10-26,11.2,2023-10-26,11.03,1.5412511332728915,5.077062556663649,27.33860342555995,False,-1.6681,13.8085,1,1,1,100.0,10.232558139534893,10.232558139534893,8.45874886672711,1.5412511332728915,历史1/1次成功; 当前距低点1.54%; 最新日涨幅-1.67%; 状态bottom_area; 底部未确认
13,77.93509918907655,74.69367553383466,000014,沙河股份,bottom_area,2023-10-26,11.13,2023-10-23,10.83,2.770083102493081,5.909510618651899,31.671924290220822,False,-1.0667,1.9737,2,2,2,100.0,15.964865631822029,20.605355064027936,7.229916897506919,2.770083102493081,历史2/2次成功; 当前距低点2.77%; 最新日涨幅-1.07%; 状态bottom_area; 底部未确认
14,76.69926253039323,74.55117774782869,601155,新城控股,bottom_area,2023-10-26,11.8,2023-10-20,11.4,3.5087719298245648,4.8245614035087625,27.06333973128599,False,-0.3378,0.6166,2,2,2,100.0,24.2536438055306,24.642857142857142,6.491228070175437,3.5087719298245648,历史2/2次成功; 当前距低点3.51%; 最新日涨幅-0.34%; 状态bottom_area; 底部未确认
15,76.62103024616793,75.45171331871639,300713,英可瑞,bottom_area,2023-10-26,18.39,2023-10-24,17.65,4.192634560906527,4.759206798866855,27.066115702479344,False,0.5467,6.4697,2,2,2,100.0,15.004946868727224,19.819819819819813,5.8073654390934735,4.192634560906527,历史2/2次成功; 当前距低点4.19%; 最新日涨幅0.55%; 状态bottom_area; 底部未确认
16,76.52735329324604,73.77457080068322,603305,旭升集团,bottom_area,2023-10-26,18.09,2023-10-26,17.55,3.0769230769230718,3.817663817663807,27.178423236514526,False,-0.8224,1.4604,2,2,2,100.0,14.784706537999003,15.339805825242717,6.923076923076929,3.0769230769230718,历史2/2次成功; 当前距低点3.08%; 最新日涨幅-0.82%; 状态bottom_area; 底部未确认
17,76.37069759476954,73.35869658040181,001322,箭牌家居,bottom_area,2023-10-26,12.47,2023-10-23,12.12,2.8877887788779,4.785478547854787,30.74285714285715,False,-0.24,1.4476,1,1,1,100.0,26.897069872276486,26.897069872276486,7.1122112211221005,2.8877887788779,历史1/1次成功; 当前距低点2.89%; 最新日涨幅-0.24%; 状态bottom_area; 底部未确认
18,76.23964319125109,72.85488372093025,600280,中央商场,bottom_area,2023-10-26,3.53,2023-10-23,3.44,2.6162790697674376,7.267441860465117,27.57894736842105,True,-2.4862,2.0245,1,1,1,100.0,11.666666666666671,11.666666666666671,7.383720930232562,2.6162790697674376,历史1/1次成功; 当前距低点2.62%; 最新日涨幅-2.49%; 状态bottom_area; 底部已确认
19,76.0291366259422,74.33016150580943,600408,安泰集团,bottom_area,2023-10-26,2.45,2023-10-23,2.36,3.8135593220339112,7.203389830508472,30.99415204678363,True,-2.3904,2.0262,2,2,2,100.0,17.60793957014374,21.457489878542503,6.18644067796609,3.8135593220339112,历史2/2次成功; 当前距低点3.81%; 最新日涨幅-2.39%; 状态bottom_area; 底部已确认
20,75.0507426819518,72.75206189882917,002314,南山控股,bottom_area,2023-10-26,3.07,2023-10-19,2.97,3.3670033670033552,4.713804713804703,28.087167070217912,False,-0.6472,1.1846,2,2,2,100.0,12.843169761273208,13.750000000000004,6.632996632996646,3.3670033670033552,历史2/2次成功; 当前距低点3.37%; 最新日涨幅-0.65%; 状态bottom_area; 底部未确认
21,73.4647654575738,71.85393418737817,603025,大豪科技,bottom_area,2023-10-26,11.91,2023-10-23,11.47,3.836094158674799,5.056669572798605,32.96317942723553,False,-0.3347,0.4056,2,2,2,100.0,13.76467133955222,13.87573964497043,6.163905841325201,3.836094158674799,历史2/2次成功; 当前距低点3.84%; 最新日涨幅-0.33%; 状态bottom_area; 底部未确认
22,73.12079937980006,68.66221405176347,603260,合盛硅业,bottom_area,2023-10-26,53.9,2023-10-26,53.0,1.698113207547167,1.8867924528301887,28.859060402684566,False,-0.7732,0.16,2,3,2,66.66666666666666,25.95293278658251,34.21399022188793,8.301886792452834,1.698113207547167,历史2/3次成功; 当前距低点1.70%; 最新日涨幅-0.77%; 状态bottom_area; 底部未确认
23,73.00243333209362,71.25310559006213,000965,天保基建,bottom_area,2023-10-26,3.34,2023-10-23,3.22,3.7267080745341503,8.385093167701864,29.8474945533769,True,-1.7647,1.7521,1,1,1,100.0,16.666666666666664,16.666666666666664,6.27329192546585,3.7267080745341503,历史1/1次成功; 当前距低点3.73%; 最新日涨幅-1.76%; 状态bottom_area; 底部已确认
24,72.90217814412883,72.18634695979216,600009,上海机场,bottom_area,2023-10-26,35.9,2023-10-23,34.36,4.481955762514549,5.791618160651927,29.777232781524628,False,0.6166,0.3293,3,4,3,75.0,21.829065044759854,27.704918032786885,5.5180442374854515,4.481955762514549,历史3/4次成功; 当前距低点4.48%; 最新日涨幅0.62%; 状态bottom_area; 底部未确认
25,72.48696103092229,69.84661735086242,000063,中兴通讯,bottom_area,2023-10-26,25.66,2023-10-26,24.9,3.052208835341372,3.3734939759036138,27.57417102966842,False,-0.9266,2.9378,1,1,1,100.0,10.030395136778129,10.030395136778129,6.947791164658629,3.052208835341372,历史1/1次成功; 当前距低点3.05%; 最新日涨幅-0.93%; 状态bottom_area; 底部未确认
