rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,83.36360087398116,77.3906683839368,300648,星云股份,bottom_area,2022-02-10,45.09,2022-02-10,44.6,1.0986547085201839,5.9417040358744355,29.183867894569698,False,-4.2065,2.2669,2,2,2,100.0,20.191403867542057,26.78362573099414,8.901345291479817,1.0986547085201839,历史2/2次成功; 当前距低点1.10%; 最新日涨幅-4.21%; 状态bottom_area; 底部未确认
2,80.40781476890493,74.56800522896276,688127,蓝特光学,bottom_area,2022-02-10,18.4,2022-02-09,18.21,1.0433827567270606,5.3816584294343786,29.39123691353237,False,-2.697,1.7523,1,1,1,100.0,10.789881259679916,10.789881259679916,8.956617243272941,1.0433827567270606,历史1/1次成功; 当前距低点1.04%; 最新日涨幅-2.70%; 状态bottom_area; 底部未确认
3,79.24784890249174,74.00717409999716,601966,玲珑轮胎,bottom_area,2022-02-10,28.78,2022-02-10,28.38,1.4094432699083936,4.474982381959125,31.614457831325304,False,-3.5199,1.3556,1,1,1,100.0,22.476907287033857,22.476907287033857,8.590556730091608,1.4094432699083936,历史1/1次成功; 当前距低点1.41%; 最新日涨幅-3.52%; 状态bottom_area; 底部未确认
4,79.1534334564166,76.84925548922341,300624,万兴科技,bottom_area,2022-02-10,41.39,2022-02-08,40.01,3.4491377155711134,5.223694076480888,27.557486873076225,False,-1.593,3.5681,2,2,2,100.0,35.87790043400834,51.195680123425035,6.550862284428888,3.4491377155711134,历史2/2次成功; 当前距低点3.45%; 最新日涨幅-1.59%; 状态bottom_area; 底部未确认
5,77.01923511313147,71.8520937997541,300507,苏奥传感,bottom_area,2022-02-10,9.72,2022-02-08,9.59,1.35557872784151,6.1522419186652755,30.60781476121563,False,-3.9526,4.1745,1,1,1,100.0,10.230179028132978,10.230179028132978,8.64442127215849,1.35557872784151,历史1/1次成功; 当前距低点1.36%; 最新日涨幅-3.95%; 状态bottom_area; 底部未确认
6,76.70810421263104,74.38361620618767,300658,延江股份,bottom_area,2022-02-10,10.08,2022-01-27,9.75,3.384615384615385,6.871794871794871,32.57261410788382,False,-2.8902,1.686,2,2,2,100.0,21.830856360810415,26.72018348623853,6.615384615384615,3.384615384615385,历史2/2次成功; 当前距低点3.38%; 最新日涨幅-2.89%; 状态bottom_area; 底部未确认
7,76.59143226250002,70.05933043896377,300562,乐心医疗,bottom_area,2022-02-10,12.42,2022-02-10,12.38,0.3231017770597669,4.200323101777056,27.004716981132077,False,-2.6646,4.2209,1,1,1,100.0,17.559153175591536,17.559153175591536,9.676898222940233,0.3231017770597669,历史1/1次成功; 当前距低点0.32%; 最新日涨幅-2.66%; 状态bottom_area; 底部未确认
8,76.09838202454601,70.60491458851929,300573,兴齐眼药,bottom_area,2022-02-10,99.35,2022-02-10,98.3,1.06815869786368,3.1434384537131264,28.50909090909091,False,-1.6531,1.4222,2,3,2,66.66666666666666,28.675536306353806,42.86062675283501,8.93184130213632,1.06815869786368,历史2/3次成功; 当前距低点1.07%; 最新日涨幅-1.65%; 状态bottom_area; 底部未确认
9,75.41087419447797,71.94842314739584,300677,英科医疗,bottom_area,2022-02-10,53.84,2022-02-07,52.51,2.532850885545621,4.646733955437069,29.516778523489933,False,-1.1747,2.0492,1,1,1,100.0,14.964103045375621,14.964103045375621,7.46714911445438,2.532850885545621,历史1/1次成功; 当前距低点2.53%; 最新日涨幅-1.17%; 状态bottom_area; 底部未确认
10,74.44213372230651,71.01192463629859,603319,美湖股份,bottom_area,2022-02-10,21.53,2022-02-10,21.0,2.523809523809529,6.476190476190473,27.108642832349876,False,-3.712,3.5395,1,1,1,100.0,20.033388981636072,20.033388981636072,7.476190476190471,2.523809523809529,历史1/1次成功; 当前距低点2.52%; 最新日涨幅-3.71%; 状态bottom_area; 底部未确认
11,74.08816146259709,68.47033163265307,688356,键凯科技,bottom_area,2022-02-10,197.69,2022-02-09,196.0,0.8622448979591826,6.377551020408164,32.151758515646634,False,-2.0561,1.8053,1,1,1,100.0,15.625,15.625,9.137755102040817,0.8622448979591826,历史1/1次成功; 当前距低点0.86%; 最新日涨幅-2.06%; 状态bottom_area; 底部未确认
