rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,97.80903248805221,84.2822095793513,688023,安恒信息,bottom_area,2024-06-07,42.88,2024-06-06,42.11,1.828544288767521,8.216575635241037,28.359986389928547,False,1.6355,2.3322,2,2,2,100.0,33.50156213839389,39.261744966442954,18.171455711232483,1.828544288767521,历史2/2次成功; 当前距低点1.83%; 最新日涨幅1.64%; 状态bottom_area; 底部未确认
2,94.9263095788164,82.77294117647058,000420,吉林化纤,bottom_area,2024-06-07,3.31,2024-06-06,3.23,2.4767801857585163,5.26315789473684,29.321663019693663,False,1.5337,1.5861,1,1,1,100.0,53.9249146757679,53.9249146757679,17.523219814241486,2.4767801857585163,历史1/1次成功; 当前距低点2.48%; 最新日涨幅1.53%; 状态bottom_area; 底部未确认
3,93.07011585994515,82.59519765739385,300720,海川智能,bottom_area,2024-06-07,14.13,2024-06-07,13.66,3.4407027818448075,6.002928257686679,29.768637532133674,False,-1.1888,2.7173,3,3,3,100.0,57.75229601757511,75.69193742478939,16.559297218155194,3.4407027818448075,历史3/3次成功; 当前距低点3.44%; 最新日涨幅-1.19%; 状态bottom_area; 底部未确认
4,91.74508404154867,81.08666666666669,002491,通鼎互联,bottom_area,2024-06-07,3.53,2024-06-06,3.42,3.2163742690058443,8.479532163742691,29.48453608247422,False,2.0231,0.792,1,1,1,100.0,52.39520958083833,52.39520958083833,16.783625730994157,3.2163742690058443,历史1/1次成功; 当前距低点3.22%; 最新日涨幅2.02%; 状态bottom_area; 底部未确认
5,91.40399232765157,77.53778500275945,605198,安德利,bottom_area,2024-06-07,29.1,2024-06-06,28.82,0.9715475364330366,5.621096460791121,28.62803368003963,False,0.2757,0.3903,1,1,1,100.0,43.241469816272954,43.241469816272954,19.028452463566964,0.9715475364330366,历史1/1次成功; 当前距低点0.97%; 最新日涨幅0.28%; 状态bottom_area; 底部未确认
6,89.9169036760633,78.57178358220331,002615,哈尔斯,bottom_area,2024-06-07,6.33,2024-06-06,6.17,2.5931928687196133,6.807131280388978,27.41176470588235,False,1.7685,3.5582,1,1,1,100.0,28.84012539184954,28.84012539184954,17.406807131280388,2.5931928687196133,历史1/1次成功; 当前距低点2.59%; 最新日涨幅1.77%; 状态bottom_area; 底部未确认
7,88.90249577245015,76.09928702944417,301517,陕西华达,bottom_area,2024-06-07,57.5,2024-06-07,56.67,1.4646197282512763,6.829010058231864,31.62403474903474,False,-3.9746,28.3565,1,1,1,100.0,34.40118284869394,34.40118284869394,18.535380271748725,1.4646197282512763,历史1/1次成功; 当前距低点1.46%; 最新日涨幅-3.97%; 状态bottom_area; 底部未确认
8,88.81754819519487,75.768156982396,688205,德科立,bottom_area,2024-06-07,29.31,2024-06-07,28.94,1.2785072563925275,3.9391845196959125,32.509328358208954,False,-0.0682,1.798,1,1,1,100.0,20.12448132780082,20.12448132780082,18.721492743607474,1.2785072563925275,历史1/1次成功; 当前距低点1.28%; 最新日涨幅-0.07%; 状态bottom_area; 底部未确认
9,87.96953728895281,78.18471267410189,688329,艾隆科技,bottom_area,2024-06-07,14.99,2024-06-06,14.48,3.5220994475138108,6.767955801104975,29.674599320058277,False,2.8826,1.5776,2,2,2,100.0,21.479029109856874,21.72890326374596,16.47790055248619,3.5220994475138108,历史2/2次成功; 当前距低点3.52%; 最新日涨幅2.88%; 状态bottom_area; 底部未确认
10,86.6933525858625,73.63725554520244,300363,博腾股份,bottom_area,2024-06-07,13.57,2024-06-06,13.43,1.0424422933730497,6.55249441548772,27.601078167115904,False,0.593,1.1024,2,4,2,50.0,41.63453749512357,46.29503738953092,18.95755770662695,1.0424422933730497,历史2/4次成功; 当前距低点1.04%; 最新日涨幅0.59%; 状态bottom_area; 底部未确认
11,86.08424983513508,74.396354575863,002805,丰元股份,bottom_area,2024-06-07,10.77,2024-06-07,10.56,1.9886363636363549,3.4090909090909034,31.025473546701498,False,0.4664,1.8639,3,5,3,60.0,35.647556370719805,50.09389671361502,18.011363636363647,1.9886363636363549,历史3/5次成功; 当前距低点1.99%; 最新日涨幅0.47%; 状态bottom_area; 底部未确认
12,85.23914417393408,76.587303710782,603017,中衡设计,bottom_area,2024-06-07,9.1,2024-06-06,8.74,4.1189931350114355,8.352402745995429,30.52464228934817,False,2.593,3.2971,1,1,1,100.0,36.87423687423689,36.87423687423689,15.881006864988567,4.1189931350114355,历史1/1次成功; 当前距低点4.12%; 最新日涨幅2.59%; 状态bottom_area; 底部未确认
13,84.25674333697245,76.54471901514572,002246,北化股份,bottom_area,2024-06-07,9.31,2024-06-06,8.89,4.724409448818897,7.424071991001126,28.190630048465266,False,1.86,6.1863,2,2,2,100.0,27.399852464800023,31.992687385740403,15.275590551181104,4.724409448818897,历史2/2次成功; 当前距低点4.72%; 最新日涨幅1.86%; 状态bottom_area; 底部未确认
14,82.95300837575455,72.12802780176794,605266,健之佳,bottom_area,2024-06-07,37.46,2024-06-06,36.61,2.3217700081944863,7.620868615132475,31.570093457943926,False,1.1612,0.4873,3,5,3,60.0,27.535824841136375,33.154615273148806,17.678229991805516,2.3217700081944863,历史3/5次成功; 当前距低点2.32%; 最新日涨幅1.16%; 状态bottom_area; 底部未确认
15,82.42710268671266,72.24001203888403,688228,开普云,bottom_area,2024-06-07,39.91,2024-06-06,38.84,2.7548918640576545,11.714727085478879,28.339483394833948,False,1.3974,2.0155,2,3,2,66.66666666666666,35.6693485068216,41.53424657534245,17.245108135942345,2.7548918640576545,历史2/3次成功; 当前距低点2.75%; 最新日涨幅1.40%; 状态bottom_area; 底部未确认
