rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
65,71.61084177608011,69.60046964490263,002320,海峡股份,bottom_area,2024-07-15,5.02,2024-07-09,4.85,3.5051546391752564,4.536082474226818,27.28635682158921,False,-0.1988,0.4008,1,1,1,100.0,14.259259259259249,14.259259259259249,6.494845360824744,3.5051546391752564,历史1/1次成功; 当前距低点3.51%; 最新日涨幅-0.20%; 状态bottom_area; 底部未确认
66,71.24170864499571,71.06941914404045,688061,灿瑞科技,bottom_area,2024-07-15,24.75,2024-07-08,23.6,4.872881355932197,8.728813559322028,29.845422116527942,True,-0.8811,2.5286,2,2,2,100.0,13.062304492289648,15.713159968479115,5.127118644067803,4.872881355932197,历史2/2次成功; 当前距低点4.87%; 最新日涨幅-0.88%; 状态bottom_area; 底部已确认
67,71.11691249756551,69.28021537727714,600230,沧州大化,bottom_area,2024-07-15,9.43,2024-07-10,9.1,3.6263736263736273,6.1538461538461595,28.62745098039216,False,-0.8412,0.3716,1,1,1,100.0,14.02337228714524,14.02337228714524,6.373626373626373,3.6263736263736273,历史1/1次成功; 当前距低点3.63%; 最新日涨幅-0.84%; 状态bottom_area; 底部未确认
68,70.59787218073465,66.70854713990619,000697,炼石航空,bottom_area,2024-07-15,5.54,2024-07-10,5.43,2.02578268876612,5.893186003683247,28.83355176933159,False,-1.9469,0.7152,2,3,2,66.66666666666666,19.465940879711173,27.861771058315338,7.974217311233881,2.02578268876612,历史2/3次成功; 当前距低点2.03%; 最新日涨幅-1.95%; 状态bottom_area; 底部未确认
69,70.14194291717992,68.62298471615932,603010,万盛股份,bottom_area,2024-07-15,8.9,2024-07-09,8.57,3.850641773628939,5.834305717619603,27.18776550552251,False,-1.766,0.2357,1,1,1,100.0,13.238967527060783,13.238967527060783,6.149358226371062,3.850641773628939,历史1/1次成功; 当前距低点3.85%; 最新日涨幅-1.77%; 状态bottom_area; 底部未确认
70,69.52328252712232,68.22756613756614,002060,广东建工,bottom_area,2024-07-15,3.37,2024-07-09,3.24,4.012345679012342,6.48148148148148,27.67857142857143,False,-1.173,0.5758,1,1,1,100.0,13.095238095238093,13.095238095238093,5.987654320987659,4.012345679012342,历史1/1次成功; 当前距低点4.01%; 最新日涨幅-1.17%; 状态bottom_area; 底部未确认
71,69.04817086164292,68.63155757286195,002035,华帝股份,bottom_area,2024-07-15,6.26,2024-07-09,5.98,4.682274247491628,9.36454849498327,32.19954648526077,True,-2.6439,1.7904,1,1,1,100.0,14.285714285714274,14.285714285714274,5.317725752508373,4.682274247491628,历史1/1次成功; 当前距低点4.68%; 最新日涨幅-2.64%; 状态bottom_area; 底部已确认
72,68.92198912679021,68.41313112667443,002573,清新环境,bottom_area,2024-07-15,3.63,2024-07-10,3.47,4.610951008645524,8.64553314121037,28.453608247422675,True,-1.626,0.3927,1,1,1,100.0,12.237093690248559,12.237093690248559,5.389048991354476,4.610951008645524,历史1/1次成功; 当前距低点4.61%; 最新日涨幅-1.63%; 状态bottom_area; 底部已确认
73,68.6549583498984,68.36709688931182,603357,设计总院,bottom_area,2024-07-15,8.55,2024-07-09,8.16,4.779411764705889,8.578431372549012,27.978817299205648,True,-1.837,1.1679,1,1,1,100.0,14.054600606673395,14.054600606673395,5.220588235294111,4.779411764705889,历史1/1次成功; 当前距低点4.78%; 最新日涨幅-1.84%; 状态bottom_area; 底部已确认
74,67.56608860732412,64.47894611135989,002555,三七互娱,bottom_area,2024-07-15,12.49,2024-07-09,12.18,2.5451559934318597,6.403940886699516,30.28048082427017,False,-1.7309,1.353,2,3,2,66.66666666666666,13.845350052246609,16.78160919540231,7.454844006568141,2.5451559934318597,历史2/3次成功; 当前距低点2.55%; 最新日涨幅-1.73%; 状态bottom_area; 底部未确认
