rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,92.49818021573836,84.4560296241403,601886,江河集团,bottom_area,2024-07-09,4.71,2024-07-09,4.59,2.614379084967323,3.2679738562091583,27.488151658767773,False,1.073,0.8737,3,3,3,100.0,27.40222547239673,33.5540838852097,12.385620915032677,2.614379084967323,历史3/3次成功; 当前距低点2.61%; 最新日涨幅1.07%; 状态bottom_area; 底部未确认
2,92.10232964569559,84.43359067603718,000065,北方国际,bottom_area,2024-07-09,9.81,2024-07-09,9.54,2.8301886792452975,3.4591194968553474,28.000000000000007,False,1.343,0.6684,3,3,3,100.0,29.926993896325044,41.48061104582843,12.169811320754702,2.8301886792452975,历史3/3次成功; 当前距低点2.83%; 最新日涨幅1.34%; 状态bottom_area; 底部未确认
3,91.66996215637982,84.32591515651784,603368,柳药集团,bottom_area,2024-07-09,17.43,2024-07-09,16.92,3.014184397163109,3.42789598108746,29.79253112033195,False,1.4552,1.2981,3,3,3,100.0,31.603524634675978,42.85714285714285,11.98581560283689,3.014184397163109,历史3/3次成功; 当前距低点3.01%; 最新日涨幅1.46%; 状态bottom_area; 底部未确认
4,91.42409609987205,82.69344517349668,601908,京运通,bottom_area,2024-07-09,2.42,2024-07-09,2.37,2.1097046413502034,3.3755274261603407,32.285714285714285,False,0.0,0.7132,2,2,2,100.0,28.406299762231964,40.33898305084744,12.890295358649794,2.1097046413502034,历史2/2次成功; 当前距低点2.11%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
5,89.95262347312615,82.16933096000028,605567,春雪食品,bottom_area,2024-07-09,7.39,2024-07-09,7.2,2.6388888888888817,3.333333333333336,29.961089494163417,False,0.0,1.2063,2,2,2,100.0,32.07525605734906,36.46616541353383,12.361111111111118,2.6388888888888817,历史2/2次成功; 当前距低点2.64%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
6,89.23441370085455,82.33986032753839,600155,华创云信,bottom_area,2024-07-09,5.84,2024-07-08,5.66,3.1802120141342707,4.41696113074205,27.806122448979586,False,2.4561,0.9782,2,2,2,100.0,39.627654407336166,46.19883040935671,11.819787985865728,3.1802120141342707,历史2/2次成功; 当前距低点3.18%; 最新日涨幅2.46%; 状态bottom_area; 底部未确认
7,87.94978713673787,78.28155667713705,600188,兖矿能源,bottom_area,2024-07-09,16.23,2024-07-09,16.03,1.2476606363069198,2.308172177167794,32.47683235046334,False,-0.7946,0.4343,2,2,2,100.0,16.592596386649618,17.201774993474277,13.75233936369308,1.2476606363069198,历史2/2次成功; 当前距低点1.25%; 最新日涨幅-0.79%; 状态bottom_area; 底部未确认
8,87.47553853691527,80.47644690090799,605099,共创草坪,bottom_area,2024-07-09,18.42,2024-07-09,17.88,3.020134228187935,3.9709172259507883,28.96305125148988,False,0.3268,0.2403,1,1,1,100.0,44.31372549019606,44.31372549019606,11.979865771812065,3.020134228187935,历史1/1次成功; 当前距低点3.02%; 最新日涨幅0.33%; 状态bottom_area; 底部未确认
9,86.82759436759723,79.24597047215629,688303,大全能源,bottom_area,2024-07-09,18.6,2024-07-09,18.13,2.5923883066740343,4.136789851075565,30.74866310160428,False,0.3236,0.8767,1,1,1,100.0,32.45492371705965,32.45492371705965,12.407611693325965,2.5923883066740343,历史1/1次成功; 当前距低点2.59%; 最新日涨幅0.32%; 状态bottom_area; 底部未确认
10,86.69311902773183,80.45990024937653,002687,乔治白,bottom_area,2024-07-09,4.15,2024-07-09,4.01,3.491271820448892,3.9900249376558645,31.45299145299145,False,1.467,1.2797,1,1,1,100.0,64.00000000000001,64.00000000000001,11.508728179551108,3.491271820448892,历史1/1次成功; 当前距低点3.49%; 最新日涨幅1.47%; 状态bottom_area; 底部未确认
11,86.3746351643391,78.60746862193373,300390,天华新能,bottom_area,2024-07-09,16.38,2024-07-09,15.99,2.439024390243895,3.12695434646653,27.972972972972972,False,0.8,1.0876,1,1,1,100.0,27.142173288654863,27.142173288654863,12.560975609756103,2.439024390243895,历史1/1次成功; 当前距低点2.44%; 最新日涨幅0.80%; 状态bottom_area; 底部未确认
