rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,91.44973240848616,78.99312433955616,002385,大北农,bottom_area,2023-04-19,7.28,2023-04-19,7.14,1.960784313725498,2.2408963585434196,27.80586450960567,False,0.5525,1.3089,1,1,1,100.0,23.353293413173663,23.353293413173663,18.039215686274503,1.960784313725498,历史1/1次成功; 当前距低点1.96%; 最新日涨幅0.55%; 状态bottom_area; 底部未确认
2,89.614597070703,74.6788308922525,605399,晨光新材,bottom_area,2023-04-19,28.61,2023-04-19,28.61,0.0,2.6564138413142313,29.323122529644262,False,-10.0031,10.1515,2,2,2,100.0,44.24102630243285,52.857533497402244,20.0,0.0,历史2/2次成功; 当前距低点0.00%; 最新日涨幅-10.00%; 状态bottom_area; 底部未确认
3,89.1452210539361,76.18935077689831,300530,领湃科技,bottom_area,2023-04-19,22.77,2023-04-19,22.46,1.380231522707029,3.1166518254674944,29.921996879875184,False,-1.3859,0.3099,3,4,3,75.0,27.802573379948058,34.07510431154381,18.619768477292972,1.380231522707029,历史3/4次成功; 当前距低点1.38%; 最新日涨幅-1.39%; 状态bottom_area; 底部未确认
4,88.64850622599694,74.9801014198783,600172,黄河旋风,bottom_area,2023-04-19,4.97,2023-04-19,4.93,0.811359026369169,2.839756592292101,28.134110787172016,False,-1.7787,2.5546,1,1,1,100.0,51.074589127686465,51.074589127686465,19.188640973630832,0.811359026369169,历史1/1次成功; 当前距低点0.81%; 最新日涨幅-1.78%; 状态bottom_area; 底部未确认
5,88.25008551109916,74.23791616789968,002397,梦洁股份,bottom_area,2023-04-19,3.91,2023-04-19,3.89,0.5141388174807203,2.5706940874036013,27.82931354359925,False,-2.005,1.3567,1,1,1,100.0,42.36641221374045,42.36641221374045,19.485861182519283,0.5141388174807203,历史1/1次成功; 当前距低点0.51%; 最新日涨幅-2.00%; 状态bottom_area; 底部未确认
6,84.3642970086401,71.16189314824248,002329,皇氏集团,bottom_area,2023-04-19,6.08,2023-04-19,6.04,0.6622516556291397,1.8211920529801375,31.90529875986471,False,-0.9772,2.3521,1,1,1,100.0,27.644230769230756,27.644230769230756,19.337748344370862,0.6622516556291397,历史1/1次成功; 当前距低点0.66%; 最新日涨幅-0.98%; 状态bottom_area; 底部未确认
7,80.72901095165433,67.85006367921143,002006,精工科技,bottom_area,2023-04-19,21.6,2023-04-19,21.5,0.46511627906977404,3.0232558139534818,30.262731106065516,False,-2.0408,1.0178,2,3,2,66.66666666666666,46.311086714106686,61.48648648648647,19.534883720930228,0.46511627906977404,历史2/3次成功; 当前距低点0.47%; 最新日涨幅-2.04%; 状态bottom_area; 底部未确认
8,78.89818618568368,67.70979933110368,300586,美联新材,bottom_area,2023-04-19,15.19,2023-04-19,14.95,1.6053511705685635,2.2073578595317733,27.427184466019426,False,0.3966,1.4161,1,2,1,50.0,124.33414043583537,124.33414043583537,18.394648829431436,1.6053511705685635,历史1/2次成功; 当前距低点1.61%; 最新日涨幅0.40%; 状态bottom_area; 底部未确认
9,73.34755651276626,62.86439974251689,002350,北京科锐,bottom_area,2023-04-19,7.28,2023-04-19,7.17,1.5341701534170198,2.5104602510460214,27.28194726166328,False,0.5525,1.494,1,2,1,50.0,23.07692307692308,23.07692307692308,18.46582984658298,1.5341701534170198,历史1/2次成功; 当前距低点1.53%; 最新日涨幅0.55%; 状态bottom_area; 底部未确认
10,73.15912402145456,64.98389517023448,002125,湘潭电化,bottom_area,2023-04-19,12.75,2023-04-10,12.32,3.490259740259738,7.629870129870126,29.236071223434806,False,-1.772,1.0589,2,3,2,66.66666666666666,28.145272641720464,32.067510548523195,16.509740259740262,3.490259740259738,历史2/3次成功; 当前距低点3.49%; 最新日涨幅-1.77%; 状态bottom_area; 底部未确认
11,73.05085255116221,61.9804546745661,300393,中来股份,bottom_area,2023-04-19,14.4,2023-03-20,14.26,0.9817671809256702,7.8541374474053365,27.61421319796954,True,-3.4853,3.1697,2,3,2,66.66666666666666,22.108694518333078,23.89610389610389,19.01823281907433,0.9817671809256702,历史2/3次成功; 当前距低点0.98%; 最新日涨幅-3.49%; 状态bottom_area; 底部已确认
12,71.92500414247738,61.44218666137699,300763,锦浪科技,bottom_area,2023-04-19,125.02,2023-04-14,123.35,1.353871098500204,5.115524929063643,30.14893255563736,False,-2.2518,1.7644,1,2,1,50.0,35.693617021276594,35.693617021276594,18.646128901499797,1.353871098500204,历史1/2次成功; 当前距低点1.35%; 最新日涨幅-2.25%; 状态bottom_area; 底部未确认
13,70.95777558915076,59.340693641618515,000678,襄阳轴承,bottom_area,2023-04-19,5.2,2023-04-19,5.19,0.19267822736030416,1.7341040462427717,28.51239669421487,False,-1.7013,1.0171,1,2,1,50.0,121.62162162162164,121.62162162162164,19.807321772639696,0.19267822736030416,历史1/2次成功; 当前距低点0.19%; 最新日涨幅-1.70%; 状态bottom_area; 底部未确认
14,67.99374528948378,59.763164151550306,600141,兴发集团,bottom_area,2023-04-19,26.14,2023-04-12,25.4,2.9133858267716617,7.0472440944882,29.79546710889995,True,-1.7293,1.3104,1,2,1,50.0,36.58969804618119,36.58969804618119,17.08661417322834,2.9133858267716617,历史1/2次成功; 当前距低点2.91%; 最新日涨幅-1.73%; 状态bottom_area; 底部已确认
15,65.93461374257863,55.19598829672974,001319,铭科精技,bottom_area,2023-04-19,20.2,2023-04-19,20.15,0.24813895781638073,1.8362282878411962,28.21517634485216,False,-1.8465,2.535,1,2,1,50.0,28.396479142747793,28.396479142747793,19.75186104218362,0.24813895781638073,历史1/2次成功; 当前距低点0.25%; 最新日涨幅-1.85%; 状态bottom_area; 底部未确认
16,63.29771039451008,56.21023195622974,000756,新华制药,bottom_area,2023-04-19,24.11,2023-04-13,23.3,3.4763948497854025,9.399141630901278,27.164738980931535,True,-2.743,3.1741,1,2,1,50.0,24.38931297709925,24.38931297709925,16.5236051502146,3.4763948497854025,历史1/2次成功; 当前距低点3.48%; 最新日涨幅-2.74%; 状态bottom_area; 底部已确认
17,62.57600429959768,52.78331106292368,002520,日发精机,bottom_area,2023-04-19,6.08,2023-04-06,6.04,0.6622516556291397,7.284768211920537,27.316486161251508,True,-0.491,1.5445,1,3,1,33.33333333333333,30.752212389380546,30.752212389380546,19.337748344370862,0.6622516556291397,历史1/3次成功; 当前距低点0.66%; 最新日涨幅-0.49%; 状态bottom_area; 底部已确认
18,62.05066540131605,52.65609477227973,000887,中鼎股份,bottom_area,2023-04-19,12.23,2023-04-06,12.11,0.9909165978530223,6.853839801816681,28.512396694214885,False,-2.4721,1.1687,1,2,1,50.0,23.84615384615385,23.84615384615385,19.009083402146977,0.9909165978530223,历史1/2次成功; 当前距低点0.99%; 最新日涨幅-2.47%; 状态bottom_area; 底部未确认
19,60.975023980242206,51.71026768642448,000868,安凯客车,bottom_area,2023-04-19,5.28,2023-04-19,5.23,0.9560229445506657,2.294455066921591,27.76243093922652,False,-1.1236,1.5323,1,5,1,20.0,69.53846153846153,69.53846153846153,19.043977055449336,0.9560229445506657,历史1/5次成功; 当前距低点0.96%; 最新日涨幅-1.12%; 状态bottom_area; 底部未确认
20,58.436578672280646,52.71868521360654,000059,华锦股份,bottom_area,2023-04-19,7.21,2023-04-17,6.91,4.341534008683065,6.367583212735159,27.71966527196653,False,-1.368,0.7408,1,2,1,50.0,25.41603630862328,25.41603630862328,15.658465991316936,4.341534008683065,历史1/2次成功; 当前距低点4.34%; 最新日涨幅-1.37%; 状态bottom_area; 底部未确认
