rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,90.68398028903543,80.42599154961346,688181,八亿时空,bottom_area,2023-05-05,34.47,2023-05-05,34.11,1.0554089709762517,2.931691586045148,27.084224027362126,False,-1.3169,0.9446,2,2,2,100.0,25.76518281418983,28.477257745550418,13.944591029023748,1.0554089709762517,历史2/2次成功; 当前距低点1.06%; 最新日涨幅-1.32%; 状态bottom_area; 底部未确认
2,89.97441568722594,81.50287816853154,300454,深信服,bottom_area,2023-05-05,118.1,2023-05-04,115.57,2.1891494332439225,3.7466470537336787,31.00298507462687,False,0.1781,0.7677,2,2,2,100.0,22.979241270579003,29.49391262831224,12.810850566756077,2.1891494332439225,历史2/2次成功; 当前距低点2.19%; 最新日涨幅0.18%; 状态bottom_area; 底部未确认
3,89.62645436156292,80.05173542284962,688350,富淼科技,bottom_area,2023-05-05,16.27,2023-05-05,16.04,1.4339152119700775,3.4289276807980094,32.774518021793796,False,-1.988,5.1622,2,2,2,100.0,28.392807022265636,38.54748603351957,13.566084788029922,1.4339152119700775,历史2/2次成功; 当前距低点1.43%; 最新日涨幅-1.99%; 状态bottom_area; 底部未确认
4,88.64607192983284,79.42253183902191,000935,四川双马,bottom_area,2023-05-05,18.41,2023-05-05,18.12,1.600441501103748,3.532008830022078,32.68945022288261,False,-0.5402,0.587,1,1,1,100.0,43.71794871794874,43.71794871794874,13.399558498896253,1.600441501103748,历史1/1次成功; 当前距低点1.60%; 最新日涨幅-0.54%; 状态bottom_area; 底部未确认
5,88.34396207000933,80.47355276396009,603005,晶方科技,bottom_area,2023-05-05,21.83,2023-05-05,21.3,2.4882629107981105,3.9436619718309847,28.1618887015177,False,0.7849,3.8242,2,2,2,100.0,21.111786024622447,24.55991516436903,12.511737089201889,2.4882629107981105,历史2/2次成功; 当前距低点2.49%; 最新日涨幅0.78%; 状态bottom_area; 底部未确认
6,87.361846214808,78.12305174990125,300582,英飞特,bottom_area,2023-05-05,12.87,2023-04-27,12.68,1.49842271293375,4.337539432176662,32.40938166311301,False,-1.6055,2.1414,1,1,1,100.0,35.48094373865699,35.48094373865699,13.50157728706625,1.49842271293375,历史1/1次成功; 当前距低点1.50%; 最新日涨幅-1.61%; 状态bottom_area; 底部未确认
7,87.29443680119492,77.34141446600475,688289,圣湘生物,bottom_area,2023-05-05,18.16,2023-04-26,17.98,1.0011123470522787,12.45828698553948,27.058823529411757,False,-1.8378,1.2421,1,1,1,100.0,25.182530200451346,25.182530200451346,13.998887652947719,1.0011123470522787,历史1/1次成功; 当前距低点1.00%; 最新日涨幅-1.84%; 状态bottom_area; 底部未确认
8,87.16222158625634,79.44907110936703,002245,蔚蓝锂芯,bottom_area,2023-05-05,10.97,2023-04-26,10.7,2.5233644859813213,8.317757009345799,29.512516469038214,False,-2.1409,1.4501,3,3,3,100.0,21.840549125830286,25.653923541247494,12.476635514018678,2.5233644859813213,历史3/3次成功; 当前距低点2.52%; 最新日涨幅-2.14%; 状态bottom_area; 底部未确认
9,87.04386923881145,79.13781692687576,603260,合盛硅业,bottom_area,2023-05-05,71.67,2023-04-25,70.0,2.3857142857142883,9.41428571428572,29.64824120603015,True,-1.6738,0.213,2,2,2,100.0,25.95293278658251,34.21399022188793,12.61428571428571,2.3857142857142883,历史2/2次成功; 当前距低点2.39%; 最新日涨幅-1.67%; 状态bottom_area; 底部已确认
10,85.84500656993988,77.02845128915105,300661,圣邦股份,bottom_area,2023-05-05,121.59,2023-04-25,119.58,1.6808830908178667,6.790433182806494,30.20079383609619,False,-2.2667,0.7883,1,1,1,100.0,31.832606108687024,31.832606108687024,13.319116909182133,1.6808830908178667,历史1/1次成功; 当前距低点1.68%; 最新日涨幅-2.27%; 状态bottom_area; 底部未确认
11,85.56482211468521,76.12528657890145,300353,东土科技,bottom_area,2023-05-05,10.75,2023-05-04,10.62,1.2241054613936044,6.30885122410546,31.48387096774194,False,-0.463,2.7193,1,1,1,100.0,21.377672209026137,21.377672209026137,13.775894538606396,1.2241054613936044,历史1/1次成功; 当前距低点1.22%; 最新日涨幅-0.46%; 状态bottom_area; 底部未确认
12,84.99513784563767,76.74602422485839,688048,长光华芯,bottom_area,2023-05-05,88.5,2023-05-05,86.75,2.0172910662824206,4.853025936599416,27.100840336134453,False,-1.7976,1.8742,2,2,2,100.0,17.771225032162963,19.48504983388705,12.982708933717579,2.0172910662824206,历史2/2次成功; 当前距低点2.02%; 最新日涨幅-1.80%; 状态bottom_area; 底部未确认
13,84.95533017796065,75.47391909202501,300390,天华新能,bottom_area,2023-05-05,34.4,2023-05-05,34.01,1.146721552484565,6.292266980299914,31.223458038422656,False,-4.205,2.3058,1,1,1,100.0,27.142173288654863,27.142173288654863,13.853278447515436,1.146721552484565,历史1/1次成功; 当前距低点1.15%; 最新日涨幅-4.21%; 状态bottom_area; 底部未确认
