rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,97.87214217989197,87.55009444612212,601689,拓普集团,bottom_area,2023-03-13,54.92,2023-03-10,54.1,1.5157116451016641,6.11829944547134,27.000404803670218,False,1.2164,0.9115,3,3,3,100.0,30.569446220182318,47.99107142857144,13.484288354898336,1.5157116451016641,历史3/3次成功; 当前距低点1.52%; 最新日涨幅1.22%; 状态bottom_area; 底部未确认
2,92.60740055531389,82.90824931578062,002347,泰尔股份,bottom_area,2023-03-13,5.21,2023-03-13,5.13,1.5594541910331399,1.7543859649122777,27.542372881355938,False,0.5792,2.1623,2,2,2,100.0,22.816155222237516,29.585798816568047,13.440545808966858,1.5594541910331399,历史2/2次成功; 当前距低点1.56%; 最新日涨幅0.58%; 状态bottom_area; 底部未确认
3,90.8676219419211,80.4249454333142,300707,威唐工业,bottom_area,2023-03-13,16.0,2023-03-13,15.85,0.9463722397476363,3.0914826498422725,28.859964093357277,False,-1.5385,3.5944,4,4,4,100.0,30.92835559106886,59.14285714285715,14.053627760252363,0.9463722397476363,历史4/4次成功; 当前距低点0.95%; 最新日涨幅-1.54%; 状态bottom_area; 底部未确认
4,90.65100042587335,81.99046873746903,300382,斯莱克,bottom_area,2023-03-13,15.99,2023-03-13,15.66,2.1072796934865905,4.086845466155815,28.882833787465938,False,-1.3572,1.6262,3,3,3,100.0,30.403583003325068,49.70059880239522,12.892720306513409,2.1072796934865905,历史3/3次成功; 当前距低点2.11%; 最新日涨幅-1.36%; 状态bottom_area; 底部未确认
5,88.21863672757767,79.17903072033899,002855,捷荣技术,bottom_area,2023-03-13,10.2,2023-03-13,10.03,1.6949152542372874,2.1934197407776734,32.18390804597701,False,0.0,1.6138,1,1,1,100.0,21.093749999999993,21.093749999999993,13.305084745762713,1.6949152542372874,历史1/1次成功; 当前距低点1.69%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
6,87.74325430294284,78.60730306245347,605128,上海沿浦,bottom_area,2023-03-13,43.92,2023-03-13,43.23,1.596113809854279,2.5213971778857354,27.344537815126056,False,0.3198,3.0596,1,1,1,100.0,16.80883090817863,16.80883090817863,13.40388619014572,1.596113809854279,历史1/1次成功; 当前距低点1.60%; 最新日涨幅0.32%; 状态bottom_area; 底部未确认
7,87.0288862081531,79.68187464787829,002660,茂硕电源,bottom_area,2023-03-13,9.3,2023-03-13,9.05,2.7624309392265194,2.7624309392265194,27.192276749798864,False,0.5405,2.7745,2,2,2,100.0,20.21622144792876,24.71428571428572,12.237569060773481,2.7624309392265194,历史2/2次成功; 当前距低点2.76%; 最新日涨幅0.54%; 状态bottom_area; 底部未确认
8,84.84114643081612,75.72715561198781,300473,德尔股份,bottom_area,2023-03-13,18.13,2023-03-08,17.88,1.3982102908277405,4.474272930648774,27.90322580645162,False,-1.0911,2.5539,1,1,1,100.0,21.37137137137137,21.37137137137137,13.60178970917226,1.3982102908277405,历史1/1次成功; 当前距低点1.40%; 最新日涨幅-1.09%; 状态bottom_area; 底部未确认
9,80.56217477603161,70.85324915634273,002708,光洋股份,bottom_area,2023-03-13,6.63,2023-03-13,6.59,0.6069802731411235,4.097116843702587,29.291845493562235,False,-3.3528,3.1464,1,1,1,100.0,35.522388059701484,35.522388059701484,14.393019726858878,0.6069802731411235,历史1/1次成功; 当前距低点0.61%; 最新日涨幅-3.35%; 状态bottom_area; 底部未确认
10,72.46093261694605,63.883199437209534,688221,前沿生物,bottom_area,2023-03-13,13.67,2023-03-13,13.57,0.73691967575534,2.063375092114955,27.043010752688172,False,-1.6547,1.8034,3,5,3,60.0,26.09342095662206,34.87394957983194,14.263080324244658,0.73691967575534,历史3/5次成功; 当前距低点0.74%; 最新日涨幅-1.65%; 状态bottom_area; 底部未确认
11,72.0129190035813,63.66530059706824,603348,文灿股份,bottom_area,2023-03-13,48.96,2023-03-13,48.53,0.8860498660622289,3.6884401401195115,31.82073616184322,False,-1.0909,1.63,2,3,2,66.66666666666666,28.97219153238415,31.539888682745836,14.11395013393777,0.8860498660622289,历史2/3次成功; 当前距低点0.89%; 最新日涨幅-1.09%; 状态bottom_area; 底部未确认
