rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,89.92323692694578,84.2220518768224,302132,中航成飞,bottom_area,2025-09-08,81.25,2025-09-08,80.0,1.5625,3.687500000000003,27.140255009107467,False,-1.789,3.371,4,4,4,100.0,19.056730520550555,28.81165919282512,8.4375,1.5625,历史4/4次成功; 当前距低点1.56%; 最新日涨幅-1.79%; 状态bottom_area; 底部未确认
2,89.37547686508294,83.72734114526303,002041,登海种业,bottom_area,2025-09-08,9.68,2025-06-23,9.53,1.5739769150052505,7.345225603357829,29.719764011799416,True,0.4149,1.6383,2,2,2,100.0,18.2043468358871,21.395106715252467,8.42602308499475,1.5739769150052505,历史2/2次成功; 当前距低点1.57%; 最新日涨幅0.41%; 状态bottom_area; 底部已确认
3,82.12904739747148,82.0760950780663,300510,金冠股份,bottom_area,2025-09-08,4.65,2025-09-03,4.43,4.966139954853288,4.966139954853288,30.01579778830964,False,1.7505,5.6442,4,4,4,100.0,26.76824825339677,40.000000000000014,5.033860045146713,4.966139954853288,历史4/4次成功; 当前距低点4.97%; 最新日涨幅1.75%; 状态bottom_area; 底部未确认
4,80.2657783217637,75.34847080868524,300870,欧陆通,bottom_area,2025-09-08,207.95,2025-09-08,204.51,1.6820693364627635,5.129333528922795,27.45299751684994,False,-3.9847,4.073,2,2,2,100.0,16.363381160324387,21.28571428571428,8.317930663537238,1.6820693364627635,历史2/2次成功; 当前距低点1.68%; 最新日涨幅-3.98%; 状态bottom_area; 底部未确认
5,78.51718511692415,74.93219388029814,688221,前沿生物,bottom_area,2025-09-08,15.3,2025-09-08,14.92,2.546916890080434,8.378016085790897,27.1484375,False,-3.287,8.9566,6,7,6,85.71428571428571,22.345737886152683,34.87394957983194,7.453083109919567,2.546916890080434,历史6/7次成功; 当前距低点2.55%; 最新日涨幅-3.29%; 状态bottom_area; 底部未确认
6,78.26076776700113,77.848627971856,002148,北纬科技,bottom_area,2025-09-08,10.2,2025-09-05,9.74,4.722792607802865,5.133470225872689,32.31410701876303,False,0.691,5.5197,3,3,3,100.0,17.72362966476626,19.756097560975626,5.277207392197136,4.722792607802865,历史3/3次成功; 当前距低点4.72%; 最新日涨幅0.69%; 状态bottom_area; 底部未确认
7,77.52588330179215,73.36595785633013,002256,兆新股份,bottom_area,2025-09-08,2.91,2025-09-05,2.85,2.1052631578947385,6.666666666666665,28.571428571428577,False,-1.3559,13.7944,6,8,6,75.0,21.51052610930184,31.775700934579426,7.894736842105263,2.1052631578947385,历史6/8次成功; 当前距低点2.11%; 最新日涨幅-1.36%; 状态bottom_area; 底部未确认
8,77.36184683273852,75.2698203084074,688011,新光光电,bottom_area,2025-09-08,34.9,2025-09-08,33.7,3.5608308605341117,4.2729970326409425,30.010384215991685,False,0.1147,3.0927,4,5,4,80.0,16.28233693776982,19.069767441860456,6.439169139465889,3.5608308605341117,历史4/5次成功; 当前距低点3.56%; 最新日涨幅0.11%; 状态bottom_area; 底部未确认
9,77.29444619133221,76.17795987922425,300902,国安达,bottom_area,2025-09-08,23.13,2025-09-04,22.19,4.2361424064893995,4.551599819738612,32.798304058146584,False,0.5215,3.7501,2,2,2,100.0,19.4428202474198,26.906779661016937,5.763857593510601,4.2361424064893995,历史2/2次成功; 当前距低点4.24%; 最新日涨幅0.52%; 状态bottom_area; 底部未确认
10,76.63404308116556,75.6049858837634,002826,易明医药,bottom_area,2025-09-08,19.69,2025-09-03,18.88,4.290254237288147,7.415254237288147,29.631010063361906,True,-0.856,4.1837,2,2,2,100.0,30.305191100969765,50.0,5.7097457627118535,4.290254237288147,历史2/2次成功; 当前距低点4.29%; 最新日涨幅-0.86%; 状态bottom_area; 底部已确认
11,76.01575349884631,75.01554621596674,300645,正元智慧,bottom_area,2025-09-08,18.9,2025-09-05,18.12,4.304635761589391,4.74613686534216,27.3164861612515,False,0.7463,4.9323,1,1,1,100.0,30.699547055863096,30.699547055863096,5.69536423841061,4.304635761589391,历史1/1次成功; 当前距低点4.30%; 最新日涨幅0.75%; 状态bottom_area; 底部未确认
