rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,91.04253318614286,79.34790867838663,002339,积成电子,bottom_area,2023-09-20,6.69,2023-08-25,6.53,2.450229709035224,9.494640122511488,27.201783723522855,True,-1.3274,0.8437,3,4,3,75.0,48.70662588702658,82.94930875576038,17.549770290964776,2.450229709035224,历史3/4次成功; 当前距低点2.45%; 最新日涨幅-1.33%; 状态bottom_area; 底部已确认
2,90.06293584302604,76.22181893230602,603106,恒银科技,bottom_area,2023-09-20,7.17,2023-09-11,7.11,0.843881856540079,6.610407876230657,30.634146341463413,False,0.561,3.7726,1,1,1,100.0,34.60144927536232,34.60144927536232,19.15611814345992,0.843881856540079,历史1/1次成功; 当前距低点0.84%; 最新日涨幅0.56%; 状态bottom_area; 底部未确认
3,87.55380490542885,72.96150408785738,300561,汇金科技,bottom_area,2023-09-20,12.58,2023-09-20,12.58,0.0,2.5437201907790166,31.88955062263129,False,-1.1783,2.4331,2,2,2,100.0,24.79303273041607,27.62128325508607,20.0,0.0,历史2/2次成功; 当前距低点0.00%; 最新日涨幅-1.18%; 状态bottom_area; 底部未确认
4,84.83479673095249,74.80627198524641,601777,千里科技,bottom_area,2023-09-20,3.67,2023-08-25,3.56,3.089887640449435,8.146067415730338,27.93522267206478,True,-1.0782,0.3694,1,1,1,100.0,27.96352583586626,27.96352583586626,16.910112359550567,3.089887640449435,历史1/1次成功; 当前距低点3.09%; 最新日涨幅-1.08%; 状态bottom_area; 底部已确认
5,81.75052094443089,74.4117049287608,600338,西藏珠峰,bottom_area,2023-09-20,14.54,2023-08-25,13.87,4.830569574621485,11.175198269646726,28.320413436692515,True,-1.3569,0.6353,2,2,2,100.0,30.512922359665453,31.213191990577155,15.169430425378517,4.830569574621485,历史2/2次成功; 当前距低点4.83%; 最新日涨幅-1.36%; 状态bottom_area; 底部已确认
6,78.35022548723545,65.48210898337162,002534,西子洁能,bottom_area,2023-09-20,12.62,2023-09-20,12.6,0.15873015873015534,3.015873015873022,27.16763005780347,False,-2.2463,0.4043,2,3,2,66.66666666666666,29.824446659191896,33.11594202898551,19.841269841269845,0.15873015873015534,历史2/3次成功; 当前距低点0.16%; 最新日涨幅-2.25%; 状态bottom_area; 底部未确认
7,75.73033583458604,69.13793984108969,300749,顶固集创,bottom_area,2023-09-20,9.25,2023-09-11,8.81,4.994324631101016,9.421112372304199,28.663967611336027,True,-0.6445,3.6564,1,1,1,100.0,20.833333333333336,20.833333333333336,15.005675368898984,4.994324631101016,历史1/1次成功; 当前距低点4.99%; 最新日涨幅-0.64%; 状态bottom_area; 底部已确认
8,69.63551615818393,59.74092539039908,002386,天原股份,bottom_area,2023-09-20,5.76,2023-08-31,5.67,1.5873015873015848,5.996472663139327,31.604342581423396,False,-1.7065,0.3892,1,3,1,33.33333333333333,48.85290148448042,48.85290148448042,18.41269841269842,1.5873015873015848,历史1/3次成功; 当前距低点1.59%; 最新日涨幅-1.71%; 状态bottom_area; 底部未确认
9,69.22355231817197,59.00442660550458,002265,建设工业,bottom_area,2023-09-20,12.31,2023-08-25,12.16,1.2335526315789502,7.1546052631578885,28.344136711844424,True,-1.4412,0.5326,1,4,1,25.0,32.75229357798165,32.75229357798165,18.76644736842105,1.2335526315789502,历史1/4次成功; 当前距低点1.23%; 最新日涨幅-1.44%; 状态bottom_area; 底部已确认
10,61.83900280076528,51.90379480891405,688191,智洋创新,bottom_area,2023-09-20,17.94,2023-09-20,17.87,0.39171796306659357,5.595970900951315,28.519999999999996,False,-5.3797,6.3157,1,2,1,50.0,22.671568627450974,22.671568627450974,19.608282036933407,0.39171796306659357,历史1/2次成功; 当前距低点0.39%; 最新日涨幅-5.38%; 状态bottom_area; 底部未确认
11,59.05590395157844,49.676734274337164,603232,格尔软件,bottom_area,2023-09-20,11.79,2023-09-20,11.73,0.5115089514066388,3.4953111679454403,27.94840294840295,False,-2.803,3.3621,1,4,1,25.0,22.78481012658228,22.78481012658228,19.488491048593364,0.5115089514066388,历史1/4次成功; 当前距低点0.51%; 最新日涨幅-2.80%; 状态bottom_area; 底部未确认
12,57.975423316458304,52.89819685690652,002069,獐子岛,bottom_area,2023-09-20,4.23,2023-09-14,4.03,4.962779156327548,5.707196029776663,28.79858657243816,False,1.1962,1.5273,1,3,1,33.33333333333333,30.967741935483854,30.967741935483854,15.037220843672452,4.962779156327548,历史1/3次成功; 当前距低点4.96%; 最新日涨幅1.20%; 状态bottom_area; 底部未确认
