rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,90.97096206650788,85.17287607681902,002545,东方铁塔,bottom_area,2024-07-30,5.92,2024-07-25,5.83,1.5437392795883338,2.2298456260720396,29.247572815533985,False,0.6803,0.4155,3,3,3,100.0,18.132266850969987,28.468653648509758,8.456260720411667,1.5437392795883338,历史3/3次成功; 当前距低点1.54%; 最新日涨幅0.68%; 状态bottom_area; 底部未确认
2,90.32248766537258,86.11717195856355,601666,平煤股份,bottom_area,2024-07-30,9.85,2024-07-25,9.61,2.4973985431841856,5.411030176899078,29.597069597069602,False,1.0256,1.2037,4,4,4,100.0,18.23247654313697,27.30923694779115,7.502601456815815,2.4973985431841856,历史4/4次成功; 当前距低点2.50%; 最新日涨幅1.03%; 状态bottom_area; 底部未确认
3,89.39827987679968,83.37819368980983,001203,大中矿业,bottom_area,2024-07-30,8.31,2024-07-30,8.2,1.3414634146341613,1.3414634146341613,29.492691315563206,False,0.3623,0.2825,2,2,2,100.0,22.670592877288865,29.46341463414634,8.65853658536584,1.3414634146341613,历史2/2次成功; 当前距低点1.34%; 最新日涨幅0.36%; 状态bottom_area; 底部未确认
4,88.0695716388364,84.21080107238619,001309,德明利,bottom_area,2024-07-30,74.81,2024-07-30,72.88,2.648188803512633,3.3342480790340385,28.74462260461479,False,-1.0188,5.1876,5,5,5,100.0,32.304685722553685,64.1432791728213,7.351811196487368,2.648188803512633,历史5/5次成功; 当前距低点2.65%; 最新日涨幅-1.02%; 状态bottom_area; 底部未确认
5,87.80370546602538,81.88157308694623,603367,辰欣药业,bottom_area,2024-07-30,12.9,2024-07-30,12.73,1.3354281225451683,1.7282010997643273,27.048710601719193,False,0.7026,0.4393,1,1,1,100.0,31.216931216931226,31.216931216931226,8.664571877454833,1.3354281225451683,历史1/1次成功; 当前距低点1.34%; 最新日涨幅0.70%; 状态bottom_area; 底部未确认
6,85.38082801143837,82.94735666449881,000065,北方国际,bottom_area,2024-07-30,9.51,2024-07-25,9.19,3.4820457018498403,4.2437431991294945,30.641509433962266,False,0.9554,0.662,3,3,3,100.0,29.926993896325044,41.48061104582843,6.517954298150161,3.4820457018498403,历史3/3次成功; 当前距低点3.48%; 最新日涨幅0.96%; 状态bottom_area; 底部未确认
7,85.29739805663205,78.35856008874889,603368,柳药集团,bottom_area,2024-07-30,16.51,2024-07-30,16.42,0.5481120584652853,1.2789281364189846,31.867219917012445,False,-0.7216,1.0422,3,3,3,100.0,31.603524634675978,42.85714285714285,9.451887941534714,0.5481120584652853,历史3/3次成功; 当前距低点0.55%; 最新日涨幅-0.72%; 状态bottom_area; 底部未确认
8,84.53547650551319,81.45816793893133,002687,乔治白,bottom_area,2024-07-30,4.05,2024-07-25,3.93,3.053435114503808,3.307888040712454,32.82051282051282,False,1.25,0.5553,1,1,1,100.0,64.00000000000001,64.00000000000001,6.946564885496192,3.053435114503808,历史1/1次成功; 当前距低点3.05%; 最新日涨幅1.25%; 状态bottom_area; 底部未确认
9,83.58772884449682,79.65438228142638,601163,三角轮胎,bottom_area,2024-07-30,14.52,2024-07-25,14.17,2.4700070571630177,3.5991531404375428,27.18396711202467,False,0.8333,0.6305,2,2,2,100.0,16.48386221375298,20.655412115193645,7.529992942836983,2.4700070571630177,历史2/2次成功; 当前距低点2.47%; 最新日涨幅0.83%; 状态bottom_area; 底部未确认
10,82.72029860782521,81.21502021589272,601886,江河集团,bottom_area,2024-07-30,4.64,2024-07-25,4.46,4.035874439461877,4.48430493273543,29.54186413902054,False,1.5317,0.5469,3,3,3,100.0,27.40222547239673,33.5540838852097,5.964125560538124,4.035874439461877,历史3/3次成功; 当前距低点4.04%; 最新日涨幅1.53%; 状态bottom_area; 底部未确认
11,81.93740955312354,80.11277691171789,000811,冰轮环境,bottom_area,2024-07-30,8.43,2024-07-24,8.12,3.8177339901477896,7.142857142857144,31.64983164983166,True,-0.8235,0.925,3,3,3,100.0,32.0817763938432,47.451868629671566,6.182266009852211,3.8177339901477896,历史3/3次成功; 当前距低点3.82%; 最新日涨幅-0.82%; 状态bottom_area; 底部已确认
