rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,86.93589981918825,84.45457943232695,603348,文灿股份,bottom_area,2024-01-24,28.25,2024-01-24,27.3,3.4798534798534773,5.274725274725267,32.923832923832926,False,0.284,1.1356,4,4,4,100.0,21.33680304512298,31.539888682745836,6.520146520146524,3.4798534798534773,历史4/4次成功; 当前距低点3.48%; 最新日涨幅0.28%; 状态bottom_area; 底部未确认
2,86.16419321319258,83.6545565176627,600418,江淮汽车,bottom_area,2024-01-24,13.2,2024-01-23,12.76,3.448275862068962,4.310344827586213,30.0438596491228,False,0.9946,2.0375,4,4,4,100.0,16.648524103117875,24.365079365079367,6.551724137931039,3.448275862068962,历史4/4次成功; 当前距低点3.45%; 最新日涨幅0.99%; 状态bottom_area; 底部未确认
3,86.11638160722302,83.4252446819973,002370,亚太药业,bottom_area,2024-01-24,3.72,2024-01-23,3.6,3.333333333333336,4.166666666666664,30.367504835589937,False,1.6393,1.6794,4,4,4,100.0,14.006691838695174,15.633423180592995,6.666666666666665,3.333333333333336,历史4/4次成功; 当前距低点3.33%; 最新日涨幅1.64%; 状态bottom_area; 底部未确认
4,85.27694648447753,80.68978734111288,300538,同益股份,bottom_area,2024-01-24,14.6,2024-01-24,14.3,2.0979020979020904,5.45454545454545,30.073349633251826,False,-0.7478,4.6277,3,3,3,100.0,23.295721098546444,30.150753768844226,7.90209790209791,2.0979020979020904,历史3/3次成功; 当前距低点2.10%; 最新日涨幅-0.75%; 状态bottom_area; 底部未确认
5,84.90291703282548,81.1244287544388,688103,国力电子,bottom_area,2024-01-24,36.95,2024-01-23,36.01,2.6103860038878226,7.7478478200499845,27.67624020887729,True,-3.0184,1.964,3,3,3,100.0,32.93606905001623,57.609964966913196,7.389613996112178,2.6103860038878226,历史3/3次成功; 当前距低点2.61%; 最新日涨幅-3.02%; 状态bottom_area; 底部已确认
6,84.73262119227387,84.10703170028823,300735,光弘科技,bottom_area,2024-01-24,18.15,2024-01-24,17.35,4.610951008645516,5.475504322766566,28.008298755186722,False,0.3317,2.9939,3,3,3,100.0,50.43111523258737,93.48973607038124,5.389048991354485,4.610951008645516,历史3/3次成功; 当前距低点4.61%; 最新日涨幅0.33%; 状态bottom_area; 底部未确认
7,84.47728739091812,81.58633427034702,688037,芯源微,bottom_area,2024-01-24,104.08,2024-01-24,100.88,3.172085646312454,7.3354480570975475,27.099291805174158,False,-2.4189,1.9969,5,5,5,100.0,24.616610451287148,34.08866995073892,6.8279143536875475,3.172085646312454,历史5/5次成功; 当前距低点3.17%; 最新日涨幅-2.42%; 状态bottom_area; 底部未确认
8,83.92572296171672,82.34221875489187,000665,湖北广电,bottom_area,2024-01-24,4.16,2024-01-24,4.0,4.0000000000000036,4.0000000000000036,29.32862190812721,False,1.7115,1.1923,4,4,4,100.0,16.35601481124668,26.231691078561926,5.999999999999997,4.0000000000000036,历史4/4次成功; 当前距低点4.00%; 最新日涨幅1.71%; 状态bottom_area; 底部未确认
9,82.3963655601606,81.0621906592939,688246,嘉和美康,bottom_area,2024-01-24,25.64,2024-01-23,24.62,4.1429731925264,8.2859463850528,29.677235075692654,True,1.6653,1.1857,2,2,2,100.0,35.36650289383915,58.0508474576271,5.857026807473601,4.1429731925264,历史2/2次成功; 当前距低点4.14%; 最新日涨幅1.67%; 状态bottom_area; 底部已确认
10,82.28270851027315,79.34085652669891,688176,亚虹医药,bottom_area,2024-01-24,8.01,2024-01-24,7.77,3.0888030888030915,4.761904761904775,28.84615384615385,False,0.5019,2.1474,2,2,2,100.0,22.38348155467721,25.473484848484844,6.911196911196909,3.0888030888030915,历史2/2次成功; 当前距低点3.09%; 最新日涨幅0.50%; 状态bottom_area; 底部未确认
11,81.79169826717867,81.12511081814843,002536,飞龙股份,bottom_area,2024-01-24,11.44,2024-01-24,10.94,4.570383912248629,5.66727605118831,27.212242182302067,False,0.1751,2.9961,3,3,3,100.0,33.47089321545858,55.505617977528075,5.429616087751371,4.570383912248629,历史3/3次成功; 当前距低点4.57%; 最新日涨幅0.18%; 状态bottom_area; 底部未确认
12,81.75644552829228,78.5481411706191,000729,燕京啤酒,bottom_area,2024-01-24,7.81,2024-01-24,7.59,2.898550724637678,3.6890645586297794,28.79924953095685,False,0.3856,0.6945,2,2,2,100.0,15.789445283833375,17.9203539823009,7.101449275362323,2.898550724637678,历史2/2次成功; 当前距低点2.90%; 最新日涨幅0.39%; 状态bottom_area; 底部未确认
13,81.23605915896786,79.74228885732198,688315,诺禾致源,bottom_area,2024-01-24,17.83,2024-01-24,17.14,4.025670945157513,7.176196032672114,27.24957555178268,False,-0.4467,1.0575,3,3,3,100.0,41.83235813054352,86.2826357231662,5.974329054842487,4.025670945157513,历史3/3次成功; 当前距低点4.03%; 最新日涨幅-0.45%; 状态bottom_area; 底部未确认
14,80.98055140899241,79.01723962685281,300421,力星股份,bottom_area,2024-01-24,9.78,2024-01-23,9.43,3.7115588547189784,6.7868504772004306,28.015267175572518,False,1.5576,4.8279,2,2,2,100.0,28.27738610544126,43.59974009096816,6.2884411452810225,3.7115588547189784,历史2/2次成功; 当前距低点3.71%; 最新日涨幅1.56%; 状态bottom_area; 底部未确认
15,80.97683731676332,78.00681307860803,688095,福昕软件,bottom_area,2024-01-24,53.58,2024-01-24,52.0,3.038461538461535,7.307692307692302,27.33370598099497,False,-2.137,2.7255,3,3,3,100.0,20.400566593012503,31.679509356817103,6.961538461538465,3.038461538461535,历史3/3次成功; 当前距低点3.04%; 最新日涨幅-2.14%; 状态bottom_area; 底部未确认
16,80.96577570825247,77.211058281087,002304,洋河股份,bottom_area,2024-01-24,94.84,2024-01-24,92.52,2.5075659316904533,3.166882836143544,27.53759398496241,False,0.498,0.4262,1,1,1,100.0,20.474777448071226,20.474777448071226,7.492434068309548,2.5075659316904533,历史1/1次成功; 当前距低点2.51%; 最新日涨幅0.50%; 状态bottom_area; 底部未确认
17,80.5746495056401,79.14376817553477,300446,航天智造,bottom_area,2024-01-24,13.33,2024-01-24,12.81,4.05932864949258,4.05932864949258,28.555493586168428,False,0.9848,3.4784,2,2,2,100.0,33.22063170095625,51.92697768762679,5.9406713505074205,4.05932864949258,历史2/2次成功; 当前距低点4.06%; 最新日涨幅0.98%; 状态bottom_area; 底部未确认
18,80.50163193271166,78.2166511136609,001309,德明利,bottom_area,2024-01-24,68.53,2024-01-24,66.22,3.4883720930232593,6.070673512533972,30.8768267223382,False,-1.3247,1.8791,3,3,3,100.0,27.043760676096344,45.392,6.5116279069767415,3.4883720930232593,历史3/3次成功; 当前距低点3.49%; 最新日涨幅-1.32%; 状态bottom_area; 底部未确认
19,80.42936339522551,79.06615384615388,002426,胜利精密,bottom_area,2024-01-24,2.03,2024-01-23,1.95,4.102564102564095,4.615384615384619,29.090909090909093,False,1.5,0.9882,1,1,1,100.0,51.31578947368419,51.31578947368419,5.897435897435906,4.102564102564095,历史1/1次成功; 当前距低点4.10%; 最新日涨幅1.50%; 状态bottom_area; 底部未确认
