rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,92.95528719221765,82.88307272527231,002636,金安国纪,bottom_area,2025-07-18,12.08,2025-07-16,11.92,1.342281879194632,5.956375838926182,28.192771084337352,False,-2.7375,7.7022,2,2,2,100.0,42.49180327868853,69.0,13.657718120805368,1.342281879194632,历史2/2次成功; 当前距低点1.34%; 最新日涨幅-2.74%; 状态bottom_area; 底部未确认
2,87.27065210773102,79.89991818864941,002155,湖南黄金,bottom_area,2025-07-18,17.87,2025-06-30,17.39,2.760207015526167,7.073030477285798,29.28019520130134,True,0.4497,1.5357,1,1,1,100.0,28.834355828220854,28.834355828220854,12.239792984473832,2.760207015526167,历史1/1次成功; 当前距低点2.76%; 最新日涨幅0.45%; 状态bottom_area; 底部已确认
3,84.01429537570314,75.5218141861,300649,杭州园林,bottom_area,2025-07-18,17.75,2025-07-18,17.44,1.777522935779809,9.461009174311918,27.333333333333325,False,-4.0022,15.2717,3,4,3,75.0,39.29874451439769,71.60305343511452,13.22247706422019,1.777522935779809,历史3/4次成功; 当前距低点1.78%; 最新日涨幅-4.00%; 状态bottom_area; 底部未确认
4,83.87273138774496,77.17873470659656,301348,蓝箭电子,bottom_area,2025-07-18,20.39,2025-07-15,19.79,3.031834259727142,3.4360788276907512,29.92209631728045,False,0.1473,3.5725,1,1,1,100.0,26.727509778357234,26.727509778357234,11.968165740272857,3.031834259727142,历史1/1次成功; 当前距低点3.03%; 最新日涨幅0.15%; 状态bottom_area; 底部未确认
5,83.35467818687974,77.4716958147279,002041,登海种业,bottom_area,2025-07-18,9.87,2025-06-23,9.53,3.567681007345224,4.931794333683113,29.719764011799416,False,0.3049,0.6576,2,2,2,100.0,18.2043468358871,21.395106715252467,11.432318992654775,3.567681007345224,历史2/2次成功; 当前距低点3.57%; 最新日涨幅0.30%; 状态bottom_area; 底部未确认
6,81.50671556289045,71.81611439444285,603928,兴业股份,bottom_area,2025-07-18,15.7,2025-07-18,15.59,0.7055805003207147,1.8601667735728091,30.058322117541497,False,-0.6329,3.3848,1,1,1,100.0,31.69267707082834,31.69267707082834,14.294419499679284,0.7055805003207147,历史1/1次成功; 当前距低点0.71%; 最新日涨幅-0.63%; 状态bottom_area; 底部未确认
7,79.85986536977899,74.06784169048906,002371,北方华创,bottom_area,2025-07-18,325.19,2025-07-17,314.33,3.4549677090955413,5.090191836604842,29.91527313266444,False,2.0684,1.1258,1,1,1,100.0,15.189075630252091,15.189075630252091,11.545032290904459,3.4549677090955413,历史1/1次成功; 当前距低点3.45%; 最新日涨幅2.07%; 状态bottom_area; 底部未确认
8,77.41161928865475,73.13912100809503,301108,洁雅股份,bottom_area,2025-07-18,24.18,2025-07-15,23.15,4.449244060475167,4.578833693304546,32.32972814966384,False,1.1715,2.9416,1,1,1,100.0,22.383857343969968,22.383857343969968,10.550755939524832,4.449244060475167,历史1/1次成功; 当前距低点4.45%; 最新日涨幅1.17%; 状态bottom_area; 底部未确认
9,76.88652447557232,70.76546136198307,600227,赤天化,bottom_area,2025-07-18,2.37,2025-07-16,2.3,3.043478260869578,4.347826086956526,27.444794952681388,False,0.4237,1.3088,2,3,2,66.66666666666666,31.27916736612389,44.72049689440993,11.956521739130421,3.043478260869578,历史2/3次成功; 当前距低点3.04%; 最新日涨幅0.42%; 状态bottom_area; 底部未确认
10,76.26198787016669,70.76990178206077,000999,华润三九,bottom_area,2025-07-18,31.48,2025-07-15,30.42,3.4845496383957877,5.0295857988165595,30.036798528058867,False,-0.2535,0.5176,1,1,1,100.0,20.293951384963254,20.293951384963254,11.515450361604213,3.4845496383957877,历史1/1次成功; 当前距低点3.48%; 最新日涨幅-0.25%; 状态bottom_area; 底部未确认
11,72.39139507032061,63.83972977573518,002658,雪迪龙,bottom_area,2025-07-18,8.04,2025-07-17,7.98,0.7518796992481042,2.1303258145363397,30.36649214659686,False,-0.2481,4.5932,2,3,2,66.66666666666666,28.265316254592392,34.81481481481481,14.248120300751896,0.7518796992481042,历史2/3次成功; 当前距低点0.75%; 最新日涨幅-0.25%; 状态bottom_area; 底部未确认
12,67.94163028396042,60.28330894816663,603022,新通联,bottom_area,2025-07-18,10.3,2025-07-15,10.19,1.0794896957801885,2.2571148184494643,32.202262142381905,False,-0.1938,2.455,1,2,1,50.0,26.099706744868023,26.099706744868023,13.92051030421981,1.0794896957801885,历史1/2次成功; 当前距低点1.08%; 最新日涨幅-0.19%; 状态bottom_area; 底部未确认
13,66.62721797899898,60.66299557728952,000637,茂化实华,bottom_area,2025-07-18,4.16,2025-07-07,4.06,2.4630541871921316,5.665024630541883,27.370304114490168,False,0.0,2.5833,1,2,1,50.0,22.627737226277358,22.627737226277358,12.536945812807868,2.4630541871921316,历史1/2次成功; 当前距低点2.46%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
14,65.27792986622313,59.82978278103693,600241,时代万恒,bottom_area,2025-07-18,8.39,2025-07-15,8.16,2.8186274509803972,4.044117647058824,30.25641025641025,False,0.1193,2.2636,1,2,1,50.0,22.50673854447439,22.50673854447439,12.181372549019603,2.8186274509803972,历史1/2次成功; 当前距低点2.82%; 最新日涨幅0.12%; 状态bottom_area; 底部未确认
