rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
32,69.26042077160524,61.365585828806935,601111,中国国航,bottom_area,2023-10-23,7.05,2023-10-23,6.98,1.0028653295128853,4.011461318051566,27.291666666666657,False,-2.7586,0.5783,1,2,1,50.0,30.97913322632423,30.97913322632423,13.997134670487114,1.0028653295128853,历史1/2次成功; 当前距低点1.00%; 最新日涨幅-2.76%; 状态bottom_area; 底部未确认
33,69.00209914601014,60.568004517015716,000928,中钢国际,bottom_area,2023-10-23,6.0,2023-10-23,5.97,0.5025125628140745,3.6850921273031934,31.06235565819862,False,-3.2258,1.8369,2,3,2,66.66666666666666,17.833690825619026,18.798449612403097,14.497487437185924,0.5025125628140745,历史2/3次成功; 当前距低点0.50%; 最新日涨幅-3.23%; 状态bottom_area; 底部未确认
34,68.95361115607749,61.10981747066494,002798,帝欧水华,bottom_area,2023-10-23,5.96,2023-10-23,5.9,1.0169491525423662,4.06779661016948,27.96092796092795,False,-2.9316,1.828,1,2,1,50.0,29.776674937965264,29.776674937965264,13.983050847457633,1.0169491525423662,历史1/2次成功; 当前距低点1.02%; 最新日涨幅-2.93%; 状态bottom_area; 底部未确认
35,66.98059111075005,59.36342536346408,300721,怡达股份,bottom_area,2023-10-23,13.88,2023-10-23,13.74,1.0189228529839924,4.876273653566229,29.06556530717605,False,-2.5965,1.7001,1,2,1,50.0,20.411663807890235,20.411663807890235,13.981077147016007,1.0189228529839924,历史1/2次成功; 当前距低点1.02%; 最新日涨幅-2.60%; 状态bottom_area; 底部未确认
36,66.23841133040493,58.98278803266312,600408,安泰集团,bottom_area,2023-10-23,2.39,2023-10-23,2.36,1.2711864406779767,3.3898305084745797,30.99415204678363,False,-1.6461,1.7129,1,2,1,50.0,21.457489878542503,21.457489878542503,13.728813559322022,1.2711864406779767,历史1/2次成功; 当前距低点1.27%; 最新日涨幅-1.65%; 状态bottom_area; 底部未确认
37,65.87086897344545,57.708859030837026,002366,融发核电,bottom_area,2023-10-23,5.02,2023-10-23,5.0,0.39999999999999153,3.5999999999999943,28.469241773962807,False,-3.0888,1.1986,2,4,2,50.0,20.64977973568282,25.0,14.600000000000007,0.39999999999999153,历史2/4次成功; 当前距低点0.40%; 最新日涨幅-3.09%; 状态bottom_area; 底部未确认
38,65.76187263162403,60.12964197501258,600322,津投城开,bottom_area,2023-10-23,2.29,2023-10-19,2.23,2.690582959641258,8.96860986547086,32.012195121951216,True,-1.7167,6.9664,1,2,1,50.0,35.828877005347586,35.828877005347586,12.309417040358742,2.690582959641258,历史1/2次成功; 当前距低点2.69%; 最新日涨幅-1.72%; 状态bottom_area; 底部已确认
39,64.5821669050186,56.70289562289561,688103,国力电子,bottom_area,2023-10-23,44.78,2023-10-23,44.55,0.5162738496071919,4.1975308641975415,31.461538461538467,False,-4.0908,0.916,1,2,1,50.0,57.609964966913196,57.609964966913196,14.483726150392808,0.5162738496071919,历史1/2次成功; 当前距低点0.52%; 最新日涨幅-4.09%; 状态bottom_area; 底部未确认
40,64.14164221673424,56.914231069458246,002312,川发龙蟒,bottom_area,2023-10-23,6.54,2023-10-23,6.47,1.0819165378670832,4.17310664605874,27.13963963963965,False,-3.1111,0.8256,1,2,1,50.0,18.231186966640802,18.231186966640802,13.918083462132916,1.0819165378670832,历史1/2次成功; 当前距低点1.08%; 最新日涨幅-3.11%; 状态bottom_area; 底部未确认
41,63.94364449075023,56.42980338394572,000721,西安饮食,bottom_area,2023-10-23,10.21,2023-10-23,10.13,0.7897334649555782,5.5281342546890295,30.521262002743477,False,-3.6792,4.4189,2,4,2,50.0,18.550514430346464,20.485175202156327,14.210266535044422,0.7897334649555782,历史2/4次成功; 当前距低点0.79%; 最新日涨幅-3.68%; 状态bottom_area; 底部未确认
