rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,85.59741431145038,76.22245941067247,002987,京北方,bottom_area,2025-08-12,20.57,2025-08-08,19.85,3.627204030226695,3.778337531486146,28.339350180505406,False,2.0844,5.4564,1,1,1,100.0,28.88432580424366,28.88432580424366,16.372795969773307,3.627204030226695,历史1/1次成功; 当前距低点3.63%; 最新日涨幅2.08%; 状态bottom_area; 底部未确认
2,85.1733268132589,76.19841089127151,603839,安正时尚,bottom_area,2025-08-12,7.76,2025-08-08,7.47,3.882195448460509,5.488621151271756,28.03468208092486,False,0.7792,4.2876,1,1,1,100.0,31.88073394495412,31.88073394495412,16.117804551539493,3.882195448460509,历史1/1次成功; 当前距低点3.88%; 最新日涨幅0.78%; 状态bottom_area; 底部未确认
3,84.82010977286564,74.43709003469306,605033,美邦股份,bottom_area,2025-08-12,21.45,2025-08-08,20.86,2.828379674017257,3.4515819750719023,32.926045016077175,False,-0.1861,2.0663,1,1,1,100.0,31.96664350243223,31.96664350243223,17.171620325982744,2.828379674017257,历史1/1次成功; 当前距低点2.83%; 最新日涨幅-0.19%; 状态bottom_area; 底部未确认
4,82.50941789068632,72.97847508746531,600620,天宸股份,bottom_area,2025-08-12,6.34,2025-08-04,6.14,3.257328990228016,4.560260586319222,27.078384798099762,False,-0.9375,1.336,1,1,1,100.0,29.38271604938273,29.38271604938273,16.742671009771986,3.257328990228016,历史1/1次成功; 当前距低点3.26%; 最新日涨幅-0.94%; 状态bottom_area; 底部未确认
5,82.48417164342143,72.33375432692104,300963,中洲特材,bottom_area,2025-08-12,19.54,2025-08-01,19.01,2.7880063124671097,6.049447659126767,27.93783169067475,False,-1.4127,4.8991,1,1,1,100.0,20.163487738419626,20.163487738419626,17.211993687532892,2.7880063124671097,历史1/1次成功; 当前距低点2.79%; 最新日涨幅-1.41%; 状态bottom_area; 底部未确认
6,79.09701725040208,71.05583866568996,000999,华润三九,bottom_area,2025-08-12,31.67,2025-07-15,30.42,4.10913872452334,7.133464825772523,30.036798528058867,True,-0.3775,0.9267,1,1,1,100.0,20.293951384963254,20.293951384963254,15.890861275476661,4.10913872452334,历史1/1次成功; 当前距低点4.11%; 最新日涨幅-0.38%; 状态bottom_area; 底部已确认
7,78.53668427675252,70.88245698279312,603928,兴业股份,bottom_area,2025-08-12,15.78,2025-08-01,15.12,4.3650793650793664,5.75396825396826,32.16689098250337,False,-0.3788,3.1069,1,1,1,100.0,31.69267707082834,31.69267707082834,15.634920634920634,4.3650793650793664,历史1/1次成功; 当前距低点4.37%; 最新日涨幅-0.38%; 状态bottom_area; 底部未确认
8,76.40489440510297,66.86465243269599,002658,雪迪龙,bottom_area,2025-08-12,8.06,2025-08-01,7.85,2.6751592356688008,3.1847133757961785,31.50087260034905,False,-0.1239,2.5831,2,3,2,66.66666666666666,28.265316254592392,34.81481481481481,17.3248407643312,2.6751592356688008,历史2/3次成功; 当前距低点2.68%; 最新日涨幅-0.12%; 状态bottom_area; 底部未确认
9,75.3966872326716,65.37285020173836,001226,拓山重工,bottom_area,2025-08-12,36.3,2025-08-08,35.53,2.1671826625386883,3.405572755417959,31.699346405228763,False,-0.165,3.0706,2,4,2,50.0,33.46250899100309,41.451766953199616,17.83281733746131,2.1671826625386883,历史2/4次成功; 当前距低点2.17%; 最新日涨幅-0.17%; 状态bottom_area; 底部未确认
10,74.99524932505827,68.11737813475311,300069,金利华电,bottom_area,2025-08-12,22.66,2025-08-12,21.64,4.713493530499074,7.208872458410346,29.671758206044846,False,-5.1089,34.0127,1,1,1,100.0,31.312598840274124,31.312598840274124,15.286506469500926,4.713493530499074,历史1/1次成功; 当前距低点4.71%; 最新日涨幅-5.11%; 状态bottom_area; 底部未确认
11,74.46898512462431,63.51797618674275,001331,胜通能源,bottom_area,2025-08-12,11.96,2025-08-08,11.81,1.2701100762066075,2.4555461473327616,30.242173656231536,False,0.1675,14.852,1,2,1,50.0,23.35390946502057,23.35390946502057,18.729889923793394,1.2701100762066075,历史1/2次成功; 当前距低点1.27%; 最新日涨幅0.17%; 状态bottom_area; 底部未确认
12,72.6832690759228,61.974097821385676,300651,金陵体育,bottom_area,2025-08-12,21.03,2025-08-08,20.77,1.2518054886856118,2.888781896966786,30.651085141903174,False,-1.2676,6.4754,2,5,2,40.0,25.635560944026203,25.720461095100855,18.748194511314388,1.2518054886856118,历史2/5次成功; 当前距低点1.25%; 最新日涨幅-1.27%; 状态bottom_area; 底部未确认
13,70.47673997905264,61.13467775021001,605099,共创草坪,bottom_area,2025-08-12,30.77,2025-08-08,30.11,2.191962803055464,3.819329126536042,27.93202489229297,False,-0.2593,0.8159,1,2,1,50.0,44.31372549019606,44.31372549019606,17.808037196944536,2.191962803055464,历史1/2次成功; 当前距低点2.19%; 最新日涨幅-0.26%; 状态bottom_area; 底部未确认
