rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,91.91977905418004,79.26180539145054,002246,北化股份,bottom_area,2025-01-24,9.28,2025-01-24,9.11,1.8660812294182212,1.9758507135016437,28.097868981846887,False,0.3243,1.2336,3,4,3,75.0,27.803605346903716,31.992687385740403,18.13391877058178,1.8660812294182212,历史3/4次成功; 当前距低点1.87%; 最新日涨幅0.32%; 状态bottom_area; 底部未确认
2,89.89722656836082,77.46403960175896,603682,锦和商管,bottom_area,2025-01-24,5.57,2025-01-24,5.47,1.8281535648994613,3.2906764168190237,29.961587708066578,False,-2.4518,5.2632,1,1,1,100.0,35.97972972972974,35.97972972972974,18.171846435100537,1.8281535648994613,历史1/1次成功; 当前距低点1.83%; 最新日涨幅-2.45%; 状态bottom_area; 底部未确认
3,80.0457644836028,72.43596852957137,002234,民和股份,bottom_area,2025-01-24,8.11,2025-01-13,7.76,4.510309278350511,9.149484536082486,27.13615023474179,True,-0.8557,1.2048,1,1,1,100.0,32.63157894736842,32.63157894736842,15.48969072164949,4.510309278350511,历史1/1次成功; 当前距低点4.51%; 最新日涨幅-0.86%; 状态bottom_area; 底部已确认
4,78.89554737549349,67.31734491247153,002767,先锋电子,bottom_area,2025-01-24,14.14,2025-01-24,13.96,1.2893982808022901,4.369627507163319,30.547263681592042,False,-8.833,16.2363,2,4,2,50.0,43.37189781021898,52.04379562043795,18.71060171919771,1.2893982808022901,历史2/4次成功; 当前距低点1.29%; 最新日涨幅-8.83%; 状态bottom_area; 底部未确认
5,77.91560393196198,67.5157931125024,300347,泰格医药,bottom_area,2025-01-24,48.82,2025-01-24,47.8,2.1338912133891283,3.3054393305439445,30.824891461649784,False,0.8469,1.8987,2,4,2,50.0,22.102500424890394,23.423271500843175,17.866108786610873,2.1338912133891283,历史2/4次成功; 当前距低点2.13%; 最新日涨幅0.85%; 状态bottom_area; 底部未确认
6,77.10196303521882,66.44146698426098,600202,哈空调,bottom_area,2025-01-24,4.45,2025-01-24,4.37,1.8306636155606424,2.9748283752860387,29.967948717948715,False,0.0,4.0095,2,5,2,40.0,34.27623670827554,41.50485436893204,18.169336384439358,1.8306636155606424,历史2/5次成功; 当前距低点1.83%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
7,74.9450464511334,66.0699751608676,600325,华发股份,bottom_area,2025-01-24,5.36,2025-01-13,5.2,3.0769230769230793,5.961538461538454,29.539295392953925,False,-0.3717,1.1958,2,3,2,66.66666666666666,28.917704890244938,32.553606237816766,16.92307692307692,3.0769230769230793,历史2/3次成功; 当前距低点3.08%; 最新日涨幅-0.37%; 状态bottom_area; 底部未确认
8,67.3063157908023,58.99468187274909,002636,金安国纪,bottom_area,2025-01-24,8.56,2025-01-24,8.33,2.761104441776716,5.042016806722689,32.93075684380032,False,-6.4481,9.347,1,2,1,50.0,69.0,69.0,17.238895558223284,2.761104441776716,历史1/2次成功; 当前距低点2.76%; 最新日涨幅-6.45%; 状态bottom_area; 底部未确认
9,64.50816182509504,58.43130600099189,000629,钒钛股份,bottom_area,2025-01-24,2.75,2025-01-13,2.63,4.562737642585556,7.604562737642592,27.348066298342545,True,0.7326,0.6426,1,2,1,50.0,27.173913043478265,27.173913043478265,15.437262357414443,4.562737642585556,历史1/2次成功; 当前距低点4.56%; 最新日涨幅0.73%; 状态bottom_area; 底部已确认
10,61.65434712755616,51.968770377270616,300601,康泰生物,bottom_area,2025-01-24,14.53,2025-01-24,14.44,0.6232686980609409,1.869806094182835,28.971962616822427,False,0.0,1.2532,1,5,1,20.0,24.837758112094402,24.837758112094402,19.37673130193906,0.6232686980609409,历史1/5次成功; 当前距低点0.62%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
11,60.45354445797807,50.37795371498173,002848,高斯贝尔,bottom_area,2025-01-24,5.64,2025-01-24,5.64,0.0,0.0,29.05660377358491,False,-10.0478,2.7804,1,2,1,50.0,21.924482338611433,21.924482338611433,20.0,0.0,历史1/2次成功; 当前距低点0.00%; 最新日涨幅-10.05%; 状态bottom_area; 底部未确认
