rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,89.50365638920799,76.73718741979889,600506,统一股份,bottom_area,2025-12-01,25.51,2025-11-28,25.12,1.5525477707006392,4.657643312101904,31.17808219178082,False,-1.8469,11.0876,1,1,1,100.0,28.69352869352869,28.69352869352869,18.447452229299362,1.5525477707006392,历史1/1次成功; 当前距低点1.55%; 最新日涨幅-1.85%; 状态bottom_area; 底部未确认
2,89.16290194581946,76.33810098100982,002321,华英农业,bottom_area,2025-12-01,2.75,2025-11-28,2.71,1.4760147601476028,2.9520295202952056,29.792746113989637,False,-1.0791,2.8394,1,1,1,100.0,25.609756097560986,25.609756097560986,18.523985239852397,1.4760147601476028,历史1/1次成功; 当前距低点1.48%; 最新日涨幅-1.08%; 状态bottom_area; 底部未确认
3,85.62672204472257,75.19091500732308,603151,邦基科技,bottom_area,2025-12-01,18.69,2025-11-21,18.17,2.8618602091359358,4.237754540451291,32.62884686688913,False,-0.5851,1.5724,1,1,1,100.0,36.42987249544626,36.42987249544626,17.138139790864066,2.8618602091359358,历史1/1次成功; 当前距低点2.86%; 最新日涨幅-0.59%; 状态bottom_area; 底部未确认
4,84.6588747239828,74.57894193971036,600550,保变电气,bottom_area,2025-12-01,9.5,2025-11-28,9.22,3.036876355748366,4.121475054229924,29.076923076923073,False,-0.1052,2.8036,1,1,1,100.0,35.285053929121716,35.285053929121716,16.963123644251635,3.036876355748366,历史1/1次成功; 当前距低点3.04%; 最新日涨幅-0.11%; 状态bottom_area; 底部未确认
5,83.73115583066271,74.71644749021004,688766,普冉股份,bottom_area,2025-12-01,124.49,2025-11-21,120.0,3.7416666666666627,7.816666666666664,28.22966507177033,False,0.0,0.0,1,1,1,100.0,22.190577904355056,22.190577904355056,16.25833333333334,3.7416666666666627,历史1/1次成功; 当前距低点3.74%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
6,81.98966151629588,74.56552846480054,300072,海新能科,bottom_area,2025-12-01,4.6,2025-11-24,4.39,4.783599088838268,7.972665148063794,31.29890453834116,True,-1.4989,2.4492,1,1,1,100.0,47.4308300395257,47.4308300395257,15.216400911161731,4.783599088838268,历史1/1次成功; 当前距低点4.78%; 最新日涨幅-1.50%; 状态bottom_area; 底部已确认
7,81.66521068042648,72.91332375483327,603173,福斯达,bottom_area,2025-12-01,38.24,2025-11-24,36.85,3.772048846675714,5.427408412483039,32.86573146292585,False,-0.5203,2.5087,1,1,1,100.0,35.34190927555856,35.34190927555856,16.227951153324288,3.772048846675714,历史1/1次成功; 当前距低点3.77%; 最新日涨幅-0.52%; 状态bottom_area; 底部未确认
8,81.52436996951032,73.30701747112695,603178,圣龙股份,bottom_area,2025-12-01,18.52,2025-11-24,17.78,4.161979752530924,4.668166479190091,27.694184627897517,False,0.6522,0.9462,5,7,5,71.42857142857143,31.669983984855786,47.51869476546566,15.838020247469075,4.161979752530924,历史5/7次成功; 当前距低点4.16%; 最新日涨幅0.65%; 状态bottom_area; 底部未确认
9,80.62809192518704,73.19081416303064,003038,鑫铂股份,bottom_area,2025-12-01,16.1,2025-11-24,15.38,4.681404421326402,5.7867360208062335,28.76331635016211,False,1.0038,2.1034,1,1,1,100.0,25.507614213197975,25.507614213197975,15.3185955786736,4.681404421326402,历史1/1次成功; 当前距低点4.68%; 最新日涨幅1.00%; 状态bottom_area; 底部未确认
10,74.98937777254949,65.03740900186628,300730,科创信息,bottom_area,2025-12-01,13.58,2025-11-24,13.29,2.182091798344627,8.803611738148998,31.84615384615385,True,-1.1645,4.4323,2,4,2,50.0,22.648270441355024,24.329896907216508,17.817908201655374,2.182091798344627,历史2/4次成功; 当前距低点2.18%; 最新日涨幅-1.16%; 状态bottom_area; 底部已确认
11,74.76081635725417,65.35631559928821,688337,普源精电,bottom_area,2025-12-01,36.86,2025-11-21,35.92,2.6169265033407507,5.066815144766148,28.159999999999997,False,-0.1084,0.8835,3,6,3,50.0,38.886602295188766,54.46153846153845,17.38307349665925,2.6169265033407507,历史3/6次成功; 当前距低点2.62%; 最新日涨幅-0.11%; 状态bottom_area; 底部未确认
