rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,89.21923321827411,85.0679187817259,002269,美邦服饰,bottom_area,2022-12-23,2.0,2022-12-23,1.97,1.52284263959391,4.56852791878173,27.30627306273063,False,-3.3816,4.9817,3,3,3,100.0,67.6633252638804,173.50993377483442,6.47715736040609,1.52284263959391,历史3/3次成功; 当前距低点1.52%; 最新日涨幅-3.38%; 状态bottom_area; 底部未确认
2,87.02353523771465,82.2592305535563,688115,思林杰,bottom_area,2022-12-23,38.62,2022-12-23,38.21,1.0730175346767772,1.753467678618167,31.375718390804597,False,0.0259,0.9089,2,2,2,100.0,13.364035121609469,16.977032898820603,6.926982465323222,1.0730175346767772,历史2/2次成功; 当前距低点1.07%; 最新日涨幅0.03%; 状态bottom_area; 底部未确认
3,86.49086475424288,82.97727714461296,605289,罗曼股份,bottom_area,2022-12-23,20.99,2022-12-23,20.61,1.8437651625424503,2.668607472100925,28.36287799791449,False,0.0,3.9235,3,3,3,100.0,10.005708146288955,11.881750994883456,6.15623483745755,1.8437651625424503,历史3/3次成功; 当前距低点1.84%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
4,85.1460855497624,81.0151060820368,002388,新亚制程,bottom_area,2022-12-23,7.17,2022-12-23,7.07,1.4144271570014093,6.364922206506354,32.666666666666664,False,-2.1828,3.3302,1,1,1,100.0,50.505050505050505,50.505050505050505,6.585572842998591,1.4144271570014093,历史1/1次成功; 当前距低点1.41%; 最新日涨幅-2.18%; 状态bottom_area; 底部未确认
5,83.93847156343918,80.63758093806143,002006,精工科技,bottom_area,2022-12-23,23.96,2022-12-23,23.51,1.9140791152700947,3.1475967673330425,28.649468892261005,False,-1.3992,0.5418,2,2,2,100.0,37.42839419826479,61.48648648648647,6.085920884729905,1.9140791152700947,历史2/2次成功; 当前距低点1.91%; 最新日涨幅-1.40%; 状态bottom_area; 底部未确认
6,83.53889770743015,77.88886996561813,300724,捷佳伟创,bottom_area,2022-12-23,100.37,2022-12-23,100.01,0.3599640035996394,6.689331066893309,27.57097334878332,False,-3.8602,2.6,4,4,4,100.0,20.320365020566065,30.55368319691865,7.6400359964003615,0.3599640035996394,历史4/4次成功; 当前距低点0.36%; 最新日涨幅-3.86%; 状态bottom_area; 底部未确认
7,82.86916149008722,78.71595763035246,600158,中体产业,bottom_area,2022-12-23,8.4,2022-12-23,8.29,1.3268998793727529,2.77442702050664,29.626485568760614,False,0.3584,1.6486,1,1,1,100.0,14.092953523238386,14.092953523238386,6.673100120627247,1.3268998793727529,历史1/1次成功; 当前距低点1.33%; 最新日涨幅0.36%; 状态bottom_area; 底部未确认
8,82.16802967737857,79.88180427396692,300542,新晨科技,bottom_area,2022-12-23,11.74,2022-12-23,11.45,2.532751091703065,3.8427947598253387,27.89672544080605,False,1.2942,1.9294,2,2,2,100.0,18.47568152177371,21.587301587301592,5.467248908296935,2.532751091703065,历史2/2次成功; 当前距低点2.53%; 最新日涨幅1.29%; 状态bottom_area; 底部未确认
9,81.76959466924178,77.38337977949803,603289,泰瑞机器,bottom_area,2022-12-23,8.92,2022-12-23,8.82,1.1337868480725584,1.9274376417233552,29.888712241653415,False,-0.2237,1.4544,1,1,1,100.0,27.034482758620705,27.034482758620705,6.866213151927441,1.1337868480725584,历史1/1次成功; 当前距低点1.13%; 最新日涨幅-0.22%; 状态bottom_area; 底部未确认
10,81.45318693070324,78.16424287683594,300382,斯莱克,bottom_area,2022-12-23,18.1,2022-12-23,17.77,1.857062464828373,5.79628587507035,28.34677419354839,False,-4.1314,1.1684,2,2,2,100.0,33.64701772389588,49.70059880239522,6.142937535171628,1.857062464828373,历史2/2次成功; 当前距低点1.86%; 最新日涨幅-4.13%; 状态bottom_area; 底部未确认
11,81.0890054551622,77.01125677344183,300667,必创科技,bottom_area,2022-12-23,14.61,2022-12-23,14.42,1.3176144244105377,3.6754507628293993,29.863813229571978,False,-1.0833,1.5288,1,1,1,100.0,27.287191726332534,27.287191726332534,6.682385575589462,1.3176144244105377,历史1/1次成功; 当前距低点1.32%; 最新日涨幅-1.08%; 状态bottom_area; 底部未确认
12,80.62507535324256,76.8673705377259,000810,创维数字,bottom_area,2022-12-23,13.37,2022-12-23,13.17,1.5186028853454767,2.9612756264236944,28.849270664505678,False,-0.0747,0.9204,2,2,2,100.0,12.310672668352654,12.689901697944595,6.4813971146545235,1.5186028853454767,历史2/2次成功; 当前距低点1.52%; 最新日涨幅-0.07%; 状态bottom_area; 底部未确认
13,80.24718397335616,75.63273719822828,300707,威唐工业,bottom_area,2022-12-23,14.24,2022-12-23,14.11,0.9213323883770431,3.189227498228215,29.308617234468944,False,-0.9047,1.7292,3,3,3,100.0,21.523521740472766,24.351297405189634,7.078667611622958,0.9213323883770431,历史3/3次成功; 当前距低点0.92%; 最新日涨幅-0.90%; 状态bottom_area; 底部未确认
14,80.00750283660349,76.95809262898774,002362,汉王科技,bottom_area,2022-12-23,15.97,2022-12-23,15.66,1.9795657726692242,3.767560664112387,32.933618843683085,False,1.0759,6.8414,1,1,1,100.0,12.642487046632112,12.642487046632112,6.020434227330776,1.9795657726692242,历史1/1次成功; 当前距低点1.98%; 最新日涨幅1.08%; 状态bottom_area; 底部未确认
15,79.99983510619708,77.41499819178237,002423,中粮资本,bottom_area,2022-12-23,7.14,2022-12-23,6.98,2.2922636103151754,2.5787965616045803,28.41025641025641,False,0.7052,1.0913,1,1,1,100.0,18.932038834951456,18.932038834951456,5.7077363896848246,2.2922636103151754,历史1/1次成功; 当前距低点2.29%; 最新日涨幅0.71%; 状态bottom_area; 底部未确认
16,79.59554946413058,75.19980621027725,002860,星帅尔,bottom_area,2022-12-23,12.55,2022-12-23,12.42,1.0466988727858357,3.6231884057970962,27.664531158998262,False,-2.3346,3.5385,1,1,1,100.0,14.227309893704007,14.227309893704007,6.953301127214165,1.0466988727858357,历史1/1次成功; 当前距低点1.05%; 最新日涨幅-2.33%; 状态bottom_area; 底部未确认
17,79.5384915249473,74.55336072715373,300360,炬华科技,bottom_area,2022-12-23,12.67,2022-12-23,12.59,0.6354249404289124,3.415409054805399,30.748074807480748,False,-1.4774,1.1721,2,2,2,100.0,28.882417157697027,45.323741007194236,7.364575059571088,0.6354249404289124,历史2/2次成功; 当前距低点0.64%; 最新日涨幅-1.48%; 状态bottom_area; 底部未确认
18,78.65461843735552,75.95276474769013,603286,日盈电子,bottom_area,2022-12-23,15.45,2022-12-23,15.12,2.1825396825396832,2.5793650793650835,27.828162291169452,False,0.6515,1.3477,1,1,1,100.0,9.725565719788154,9.725565719788154,5.817460317460317,2.1825396825396832,历史1/1次成功; 当前距低点2.18%; 最新日涨幅0.65%; 状态bottom_area; 底部未确认
