rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,93.58162620423892,79.67333333333333,002491,通鼎互联,bottom_area,2024-06-06,3.46,2024-06-06,3.42,1.1695906432748548,8.479532163742691,29.48453608247422,False,-5.7221,1.6523,1,1,1,100.0,52.39520958083833,52.39520958083833,18.83040935672515,1.1695906432748548,历史1/1次成功; 当前距低点1.17%; 最新日涨幅-5.72%; 状态bottom_area; 底部未确认
2,93.26514311926603,79.03825688073394,300720,海川智能,bottom_area,2024-06-06,14.3,2024-06-06,14.17,0.9174311926605561,13.620324629498953,27.146529562982003,False,-9.6081,4.3866,3,3,3,100.0,57.75229601757511,75.69193742478939,19.082568807339445,0.9174311926605561,历史3/3次成功; 当前距低点0.92%; 最新日涨幅-9.61%; 状态bottom_area; 底部未确认
3,93.00684482918253,79.09107316685599,688129,东来技术,bottom_area,2024-06-06,11.89,2024-06-06,11.76,1.105442176870755,7.993197278911561,27.40740740740741,False,-5.4097,0.9154,2,2,2,100.0,29.416566290974792,32.881355932203384,18.894557823129247,1.105442176870755,历史2/2次成功; 当前距低点1.11%; 最新日涨幅-5.41%; 状态bottom_area; 底部未确认
4,91.56263736263737,79.35428571428572,002687,乔治白,bottom_area,2024-06-06,4.29,2024-06-06,4.2,2.1428571428571392,4.523809523809512,28.2051282051282,False,-1.6055,3.0635,1,1,1,100.0,64.00000000000001,64.00000000000001,17.85714285714286,2.1428571428571392,历史1/1次成功; 当前距低点2.14%; 最新日涨幅-1.61%; 状态bottom_area; 底部未确认
5,91.47764797021601,80.20971066093443,300649,杭州园林,bottom_area,2024-06-06,9.98,2024-06-06,9.71,2.780638516992786,9.98970133882594,28.968544257498163,False,-5.9378,4.7604,3,3,3,100.0,39.29874451439769,71.60305343511452,17.219361483007216,2.780638516992786,历史3/3次成功; 当前距低点2.78%; 最新日涨幅-5.94%; 状态bottom_area; 底部未确认
6,90.95570073647056,77.81276695411476,002162,悦心健康,bottom_area,2024-06-06,2.83,2024-06-06,2.79,1.4336917562724028,9.318996415770602,28.64450127877238,False,-4.3919,1.656,1,1,1,100.0,43.23432343234324,43.23432343234324,18.566308243727597,1.4336917562724028,历史1/1次成功; 当前距低点1.43%; 最新日涨幅-4.39%; 状态bottom_area; 底部未确认
7,90.77744820644664,77.19673643428628,300611,美力科技,bottom_area,2024-06-06,7.31,2024-06-06,7.23,1.1065006915629207,9.958506224066387,30.279652844744447,False,-7.1156,5.6648,1,1,1,100.0,35.911602209944746,35.911602209944746,18.893499308437082,1.1065006915629207,历史1/1次成功; 当前距低点1.11%; 最新日涨幅-7.12%; 状态bottom_area; 底部未确认
8,90.37461799945339,78.36069683945247,002631,德尔未来,bottom_area,2024-06-06,3.77,2024-06-06,3.69,2.168021680216804,10.569105691056913,27.075098814229243,False,-6.6832,1.4756,2,2,2,100.0,38.51497994810097,47.77070063694268,17.831978319783197,2.168021680216804,历史2/2次成功; 当前距低点2.17%; 最新日涨幅-6.68%; 状态bottom_area; 底部未确认
9,90.00145258025744,77.19978027786905,002842,翔鹭钨业,bottom_area,2024-06-06,5.15,2024-06-06,5.07,1.577909270216964,10.059171597633132,29.87551867219917,False,-6.1931,5.5747,2,2,2,100.0,25.039857064321065,29.70588235294118,18.422090729783037,1.577909270216964,历史2/2次成功; 当前距低点1.58%; 最新日涨幅-6.19%; 状态bottom_area; 底部未确认
10,89.34189986880273,76.507303710782,603017,中衡设计,bottom_area,2024-06-06,8.87,2024-06-06,8.74,1.4874141876430091,8.352402745995429,30.52464228934817,False,-5.7386,5.605,1,1,1,100.0,36.87423687423689,36.87423687423689,18.512585812356992,1.4874141876430091,历史1/1次成功; 当前距低点1.49%; 最新日涨幅-5.74%; 状态bottom_area; 底部未确认
11,89.1228652126286,74.5281392872592,688023,安恒信息,bottom_area,2024-06-06,42.19,2024-06-06,42.11,0.18997862740441296,8.216575635241037,28.359986389928547,False,-6.8653,3.2525,2,2,2,100.0,33.50156213839389,39.261744966442954,19.81002137259559,0.18997862740441296,历史2/2次成功; 当前距低点0.19%; 最新日涨幅-6.87%; 状态bottom_area; 底部未确认
12,87.3690544288436,76.84730827757681,002836,新宏泽,bottom_area,2024-06-06,5.58,2024-06-06,5.42,2.9520295202952056,12.546125461254606,29.97416020671835,False,-7.1547,2.3851,2,2,2,100.0,39.98890098844028,59.30851063829788,17.047970479704798,2.9520295202952056,历史2/2次成功; 当前距低点2.95%; 最新日涨幅-7.15%; 状态bottom_area; 底部未确认
13,87.36065745007684,74.98258064516132,600173,卧龙新能,bottom_area,2024-06-06,3.78,2024-06-06,3.72,1.612903225806441,5.376344086021498,29.545454545454547,False,-2.3256,1.1286,1,1,1,100.0,20.000000000000004,20.000000000000004,18.38709677419356,1.612903225806441,历史1/1次成功; 当前距低点1.61%; 最新日涨幅-2.33%; 状态bottom_area; 底部未确认
14,87.32053807631159,75.57173407445327,002303,美盈森,bottom_area,2024-06-06,2.47,2024-06-06,2.42,2.06611570247935,7.438016528925627,30.65902578796562,False,-3.5156,2.7817,1,1,1,100.0,38.93805309734515,38.93805309734515,17.933884297520652,2.06611570247935,历史1/1次成功; 当前距低点2.07%; 最新日涨幅-3.52%; 状态bottom_area; 底部未确认
15,86.948990282708,74.7511103509612,000586,汇源通信,bottom_area,2024-06-06,7.17,2024-06-06,7.05,1.7021276595744694,10.638297872340425,30.198019801980198,False,-7.1244,3.1225,1,1,1,100.0,30.06430868167203,30.06430868167203,18.29787234042553,1.7021276595744694,历史1/1次成功; 当前距低点1.70%; 最新日涨幅-7.12%; 状态bottom_area; 底部未确认
16,85.98993216563117,73.88494642291757,002795,永和智控,bottom_area,2024-06-06,3.65,2024-06-06,3.59,1.6713091922005585,9.749303621169918,29.330708661417326,False,-5.9278,3.5244,3,4,3,75.0,29.196405274918448,31.302270011947446,18.32869080779944,1.6713091922005585,历史3/4次成功; 当前距低点1.67%; 最新日涨幅-5.93%; 状态bottom_area; 底部未确认
17,85.9007084085168,72.81235294117648,000420,吉林化纤,bottom_area,2024-06-06,3.26,2024-06-06,3.23,0.9287925696594366,5.26315789473684,29.321663019693663,False,-3.5503,2.7404,1,1,1,100.0,53.9249146757679,53.9249146757679,19.071207430340564,0.9287925696594366,历史1/1次成功; 当前距低点0.93%; 最新日涨幅-3.55%; 状态bottom_area; 底部未确认
18,85.41577879979789,72.09067882649298,605198,安德利,bottom_area,2024-06-06,29.02,2024-06-06,28.82,0.6939625260235923,5.621096460791121,28.62803368003963,False,-4.2244,0.5825,1,1,1,100.0,43.241469816272954,43.241469816272954,19.30603747397641,0.6939625260235923,历史1/1次成功; 当前距低点0.69%; 最新日涨幅-4.22%; 状态bottom_area; 底部未确认
19,85.28702997247068,74.82467402077002,002246,北化股份,bottom_area,2024-06-06,9.14,2024-06-06,8.89,2.8121484814398197,7.424071991001126,28.190630048465266,False,-3.3827,6.8658,2,2,2,100.0,27.399852464800023,31.992687385740403,17.187851518560183,2.8121484814398197,历史2/2次成功; 当前距低点2.81%; 最新日涨幅-3.38%; 状态bottom_area; 底部未确认
20,84.97307113773331,73.03320308200331,600376,首开股份,bottom_area,2024-06-06,2.41,2024-06-06,2.37,1.6877637130801704,7.172995780590714,29.25373134328358,False,-3.9841,0.6541,1,1,1,100.0,20.652173913043484,20.652173913043484,18.31223628691983,1.6877637130801704,历史1/1次成功; 当前距低点1.69%; 最新日涨幅-3.98%; 状态bottom_area; 底部未确认
21,84.68838149416825,72.9129414499942,688335,复洁科技,bottom_area,2024-06-06,8.0,2024-06-06,7.86,1.7811704834605555,7.251908396946558,30.565371024734983,False,-4.5346,0.7976,1,1,1,100.0,21.15059221658205,21.15059221658205,18.218829516539444,1.7811704834605555,历史1/1次成功; 当前距低点1.78%; 最新日涨幅-4.53%; 状态bottom_area; 底部未确认
22,84.60052230023057,71.30797234261017,688329,艾隆科技,bottom_area,2024-06-06,14.57,2024-06-06,14.48,0.6215469613259659,6.767955801104975,29.674599320058277,False,-5.2049,2.6984,2,2,2,100.0,21.479029109856874,21.72890326374596,19.378453038674035,0.6215469613259659,历史2/2次成功; 当前距低点0.62%; 最新日涨幅-5.20%; 状态bottom_area; 底部未确认
23,84.09781299229647,72.89940969567213,002012,凯恩股份,bottom_area,2024-06-06,3.32,2024-06-06,3.25,2.153846153846149,9.53846153846154,28.88402625820569,False,-5.949,3.4498,1,1,1,100.0,25.646123260437374,25.646123260437374,17.846153846153854,2.153846153846149,历史1/1次成功; 当前距低点2.15%; 最新日涨幅-5.95%; 状态bottom_area; 底部未确认
24,83.85425132591261,70.2322767662959,300621,维业股份,bottom_area,2024-06-06,7.28,2024-06-06,7.26,0.27548209366391824,6.473829201101937,32.02247191011236,False,-4.4619,2.2877,1,1,1,100.0,28.120300751879686,28.120300751879686,19.724517906336082,0.27548209366391824,历史1/1次成功; 当前距低点0.28%; 最新日涨幅-4.46%; 状态bottom_area; 底部未确认
25,81.98230020705823,69.02256890968954,300668,杰恩股份,bottom_area,2024-06-06,14.38,2024-06-06,14.3,0.5594405594405599,11.678321678321678,27.48478701825557,False,-8.9873,1.8036,1,1,1,100.0,25.097276264591432,25.097276264591432,19.44055944055944,0.5594405594405599,历史1/1次成功; 当前距低点0.56%; 最新日涨幅-8.99%; 状态bottom_area; 底部未确认
26,81.75308600843044,69.14661340392131,002615,哈尔斯,bottom_area,2024-06-06,6.22,2024-06-06,6.17,0.8103727714748756,6.807131280388978,27.41176470588235,False,-4.7473,4.7146,1,1,1,100.0,28.84012539184954,28.84012539184954,19.189627228525126,0.8103727714748756,历史1/1次成功; 当前距低点0.81%; 最新日涨幅-4.75%; 状态bottom_area; 底部未确认
27,81.72077922077924,68.10064935064936,002486,嘉麟杰,bottom_area,2024-06-06,1.52,2024-06-06,1.52,0.0,11.84210526315789,31.531531531531538,False,-10.0592,5.0169,1,1,1,100.0,25.54112554112554,25.54112554112554,20.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-10.06%; 状态bottom_area; 底部未确认
