rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,88.86464411808103,79.12108946980156,688236,春立医疗,bottom_area,2023-07-06,24.02,2023-06-28,23.72,1.2647554806070858,7.082630691399662,32.228571428571435,True,-1.5574,1.3965,1,1,1,100.0,28.788881535407025,28.788881535407025,13.735244519392914,1.2647554806070858,历史1/1次成功; 当前距低点1.26%; 最新日涨幅-1.56%; 状态bottom_area; 底部已确认
2,88.68768244470304,77.93255507427182,002343,慈文传媒,bottom_area,2023-07-06,7.17,2023-07-05,7.13,0.5610098176718098,4.0673211781206176,27.76089159067882,False,0.2797,4.1298,1,1,1,100.0,40.33149171270718,40.33149171270718,14.43899018232819,0.5610098176718098,历史1/1次成功; 当前距低点0.56%; 最新日涨幅0.28%; 状态bottom_area; 底部未确认
3,86.39526589722942,77.75532571534842,002299,圣农发展,bottom_area,2023-07-06,18.8,2023-06-26,18.46,1.8418201516793058,4.821235102925247,27.00672202451561,False,-0.5291,0.5429,2,2,2,100.0,21.046643339662563,26.73830594184577,13.158179848320694,1.8418201516793058,历史2/2次成功; 当前距低点1.84%; 最新日涨幅-0.53%; 状态bottom_area; 底部未确认
4,83.42420615804646,75.68413425020697,300661,圣邦股份,bottom_area,2023-07-06,83.33,2023-07-03,81.48,2.270495827196851,6.529209621993118,27.145922746781114,False,-0.7149,0.4406,1,1,1,100.0,31.832606108687024,31.832606108687024,12.72950417280315,2.270495827196851,历史1/1次成功; 当前距低点2.27%; 最新日涨幅-0.71%; 状态bottom_area; 底部未确认
5,82.1349385745451,74.21670975662596,002063,远光软件,bottom_area,2023-07-06,6.95,2023-07-03,6.81,2.0558002936857647,6.02055800293686,29.136316337148806,False,-1.5581,1.0963,1,1,1,100.0,21.311475409836078,21.311475409836078,12.944199706314235,2.0558002936857647,历史1/1次成功; 当前距低点2.06%; 最新日涨幅-1.56%; 状态bottom_area; 底部未确认
6,76.56388065608107,70.68562050525541,601669,中国电建,bottom_area,2023-07-06,5.79,2023-06-07,5.61,3.208556149732615,5.882352941176471,29.78723404255319,False,-1.1945,0.7468,1,1,1,100.0,16.457680250783696,16.457680250783696,11.791443850267385,3.208556149732615,历史1/1次成功; 当前距低点3.21%; 最新日涨幅-1.19%; 状态bottom_area; 底部未确认
7,76.09811274106148,72.52835763853965,601086,国芳集团,bottom_area,2023-07-06,4.48,2023-06-26,4.27,4.9180327868852665,6.791569086651056,28.83333333333334,False,0.2237,0.9929,1,1,1,100.0,24.846625766871185,24.846625766871185,10.081967213114734,4.9180327868852665,历史1/1次成功; 当前距低点4.92%; 最新日涨幅0.22%; 状态bottom_area; 底部未确认
8,75.48882388627483,70.87276856524876,600935,华塑股份,bottom_area,2023-07-06,3.8,2023-06-27,3.65,4.109589041095888,6.575342465753431,28.571428571428577,False,-0.2625,0.164,1,1,1,100.0,28.50877192982458,28.50877192982458,10.890410958904113,4.109589041095888,历史1/1次成功; 当前距低点4.11%; 最新日涨幅-0.26%; 状态bottom_area; 底部未确认
9,75.16774806315617,70.55456496902744,600995,南网储能,bottom_area,2023-07-06,11.18,2023-06-07,10.74,4.096834264432025,6.983240223463687,32.7909887359199,False,-0.1786,0.6444,1,1,1,100.0,26.64165103189493,26.64165103189493,10.903165735567974,4.096834264432025,历史1/1次成功; 当前距低点4.10%; 最新日涨幅-0.18%; 状态bottom_area; 底部未确认
10,72.2335674387456,64.45727598999301,688228,开普云,bottom_area,2023-07-06,49.8,2023-07-06,49.12,1.384364820846905,3.094462540716619,31.492329149232923,False,0.2012,2.8298,1,2,1,50.0,29.80445043830074,29.80445043830074,13.615635179153093,1.384364820846905,历史1/2次成功; 当前距低点1.38%; 最新日涨幅0.20%; 状态bottom_area; 底部未确认
11,65.46796266562039,60.88035271301611,605266,健之佳,bottom_area,2023-07-06,61.35,2023-07-04,59.22,3.596757852077005,5.369807497467072,32.11051243838129,False,-1.2077,0.5579,2,4,2,50.0,26.833121590062774,33.154615273148806,11.403242147922994,3.596757852077005,历史2/4次成功; 当前距低点3.60%; 最新日涨幅-1.21%; 状态bottom_area; 底部未确认
12,64.81685777749563,61.80292585518556,600984,建设机械,bottom_area,2023-07-06,4.46,2023-06-12,4.25,4.941176470588235,8.23529411764705,32.0,True,-0.4464,0.526,2,3,2,66.66666666666666,19.63516957774231,20.21439509954057,10.058823529411764,4.941176470588235,历史2/3次成功; 当前距低点4.94%; 最新日涨幅-0.45%; 状态bottom_area; 底部已确认
13,62.308635769322194,57.33056228642437,000792,盐湖股份,bottom_area,2023-07-06,19.06,2023-05-30,18.5,3.02702702702702,7.5675675675675595,29.49695121951219,True,-1.8032,0.3903,1,2,1,50.0,24.904214559386965,24.904214559386965,11.972972972972979,3.02702702702702,历史1/2次成功; 当前距低点3.03%; 最新日涨幅-1.80%; 状态bottom_area; 底部已确认
14,61.801614723520785,57.61303198661405,688156,路德科技,bottom_area,2023-07-06,26.98,2023-07-03,26.01,3.729334871203379,9.765474817377928,27.72992497916088,False,-0.8453,2.0886,1,2,1,50.0,44.22535211267606,44.22535211267606,11.270665128796619,3.729334871203379,历史1/2次成功; 当前距低点3.73%; 最新日涨幅-0.85%; 状态bottom_area; 底部未确认
15,61.68207466439372,56.60508299853624,002545,东方铁塔,bottom_area,2023-07-06,7.13,2023-06-26,6.93,2.886002886002889,3.4632034632034667,27.58620689655173,False,-0.1401,0.3164,1,2,1,50.0,28.468653648509758,28.468653648509758,12.11399711399711,2.886002886002889,历史1/2次成功; 当前距低点2.89%; 最新日涨幅-0.14%; 状态bottom_area; 底部未确认
