rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,80.57186034330167,77.71285884724905,002774,快意电梯,bottom_area,2022-10-12,5.98,2022-10-11,5.8,3.103448275862079,5.51724137931035,32.00468933177022,False,2.2222,2.2001,2,2,2,100.0,13.810327506530031,15.049226441631497,6.896551724137921,3.103448275862079,历史2/2次成功; 当前距低点3.10%; 最新日涨幅2.22%; 状态bottom_area; 底部未确认
2,79.69239064401852,78.310441673313,002157,正邦科技,bottom_area,2022-10-12,4.59,2022-09-30,4.41,4.081632653061218,6.122448979591827,29.326923076923077,False,3.1461,2.3245,3,3,3,100.0,12.347118937056795,13.751169317118809,5.918367346938782,4.081632653061218,历史3/3次成功; 当前距低点4.08%; 最新日涨幅3.15%; 状态bottom_area; 底部未确认
3,79.34680685082111,78.8213313087627,002600,领益智造,bottom_area,2022-10-12,4.5,2022-10-10,4.3,4.651162790697678,4.883720930232557,30.533117932148635,False,2.9748,0.4102,3,3,3,100.0,22.07517457824405,38.381201044386415,5.348837209302322,4.651162790697678,历史3/3次成功; 当前距低点4.65%; 最新日涨幅2.97%; 状态bottom_area; 底部未确认
4,79.0711150359487,78.25771428571427,300446,航天智造,bottom_area,2022-10-12,9.14,2022-10-10,8.75,4.4571428571428635,5.028571428571423,32.69230769230769,False,1.4428,1.7673,1,1,1,100.0,51.92697768762679,51.92697768762679,5.5428571428571365,4.4571428571428635,历史1/1次成功; 当前距低点4.46%; 最新日涨幅1.44%; 状态bottom_area; 底部未确认
5,79.00885791883572,77.55470715959338,601155,新城控股,bottom_area,2022-10-12,16.8,2022-10-12,16.15,4.024767801857599,4.024767801857599,29.321663019693666,False,2.3143,0.9092,2,2,2,100.0,24.2536438055306,24.642857142857142,5.975232198142401,4.024767801857599,历史2/2次成功; 当前距低点4.02%; 最新日涨幅2.31%; 状态bottom_area; 底部未确认
6,78.52400608181087,77.03485644058033,300342,天银机电,bottom_area,2022-10-12,8.07,2022-10-12,7.76,3.994845360824749,4.12371134020619,31.929824561403514,False,2.4112,0.8421,2,2,2,100.0,21.09195625409008,26.68539325842696,6.0051546391752515,3.994845360824749,历史2/2次成功; 当前距低点3.99%; 最新日涨幅2.41%; 状态bottom_area; 底部未确认
7,78.46222246300256,76.93125226860253,600178,东安动力,bottom_area,2022-10-12,6.03,2022-10-11,5.8,3.9655172413793176,4.310344827586207,28.746928746928752,False,1.8581,0.7476,1,1,1,100.0,36.84210526315788,36.84210526315788,6.034482758620683,3.9655172413793176,历史1/1次成功; 当前距低点3.97%; 最新日涨幅1.86%; 状态bottom_area; 底部未确认
8,76.19011527488941,75.00335335471979,300433,蓝思科技,bottom_area,2022-10-12,9.48,2022-10-10,9.1,4.175824175824185,4.285714285714292,29.94611239414935,False,3.4934,0.4515,2,2,2,100.0,12.388346643005029,14.217687074829932,5.824175824175815,4.175824175824185,历史2/2次成功; 当前距低点4.18%; 最新日涨幅3.49%; 状态bottom_area; 底部未确认
9,76.090621695625,75.98813950169169,603236,移远通信,bottom_area,2022-10-12,110.48,2022-10-12,105.29,4.929243043024027,5.404121948903027,32.315505271277964,False,0.245,1.4566,2,2,2,100.0,26.918352902077746,39.389337383102855,5.070756956975974,4.929243043024027,历史2/2次成功; 当前距低点4.93%; 最新日涨幅0.24%; 状态bottom_area; 底部未确认
10,76.00090422709461,74.6483312525642,000902,新洋丰,bottom_area,2022-10-12,13.08,2022-10-12,12.57,4.057279236276848,4.136833731105804,27.758620689655167,False,1.1601,0.9231,1,1,1,100.0,25.693160813308673,25.693160813308673,5.942720763723153,4.057279236276848,历史1/1次成功; 当前距低点4.06%; 最新日涨幅1.16%; 状态bottom_area; 底部未确认
11,75.83285501301529,74.1647125424555,605080,浙江自然,bottom_area,2022-10-12,46.06,2022-10-12,44.36,3.832281334535624,4.147880973850324,29.810126582278485,False,0.7877,1.822,1,1,1,100.0,20.335021425788852,20.335021425788852,6.167718665464377,3.832281334535624,历史1/1次成功; 当前距低点3.83%; 最新日涨幅0.79%; 状态bottom_area; 底部未确认
