rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,93.44230931811063,83.20515351558674,001331,胜通能源,bottom_area,2025-08-12,11.96,2025-08-08,11.81,1.2701100762066075,2.4555461473327616,30.242173656231536,False,0.1675,14.852,2,2,2,100.0,20.865615534074305,23.35390946502057,13.729889923793392,1.2701100762066075,历史2/2次成功; 当前距低点1.27%; 最新日涨幅0.17%; 状态bottom_area; 底部未确认
2,82.11955153004305,74.35711895984142,001226,拓山重工,bottom_area,2025-08-12,36.3,2025-08-08,35.53,2.1671826625386883,3.405572755417959,31.699346405228763,False,-0.165,3.0706,3,4,3,75.0,27.598362529191544,41.451766953199616,12.83281733746131,2.1671826625386883,历史3/4次成功; 当前距低点2.17%; 最新日涨幅-0.17%; 状态bottom_area; 底部未确认
3,81.91968990867485,76.22245941067247,002987,京北方,bottom_area,2025-08-12,20.57,2025-08-08,19.85,3.627204030226695,3.778337531486146,28.339350180505406,False,2.0844,5.4564,1,1,1,100.0,28.88432580424366,28.88432580424366,11.372795969773305,3.627204030226695,历史1/1次成功; 当前距低点3.63%; 最新日涨幅2.08%; 状态bottom_area; 底部未确认
4,81.5057873199741,76.19841089127151,603839,安正时尚,bottom_area,2025-08-12,7.76,2025-08-08,7.47,3.882195448460509,5.488621151271756,28.03468208092486,False,0.7792,4.2876,1,1,1,100.0,31.88073394495412,31.88073394495412,11.11780455153949,3.882195448460509,历史1/1次成功; 当前距低点3.88%; 最新日涨幅0.78%; 状态bottom_area; 底部未确认
5,81.20062795905747,74.43709003469306,605033,美邦股份,bottom_area,2025-08-12,21.45,2025-08-08,20.86,2.828379674017257,3.4515819750719023,32.926045016077175,False,-0.1861,2.0663,1,1,1,100.0,31.96664350243223,31.96664350243223,12.171620325982742,2.828379674017257,历史1/1次成功; 当前距低点2.83%; 最新日涨幅-0.19%; 状态bottom_area; 底部未确认
6,80.7583985428453,73.26042777334398,603511,爱慕股份,bottom_area,2025-08-12,15.34,2025-08-04,15.0,2.2666666666666657,4.066666666666663,29.906542056074763,False,-0.712,0.7972,1,1,1,100.0,18.754988028731056,18.754988028731056,12.733333333333333,2.2666666666666657,历史1/1次成功; 当前距低点2.27%; 最新日涨幅-0.71%; 状态bottom_area; 底部未确认
7,78.97560214118289,72.97847508746531,600620,天宸股份,bottom_area,2025-08-12,6.34,2025-08-04,6.14,3.257328990228016,4.560260586319222,27.078384798099762,False,-0.9375,1.336,1,1,1,100.0,29.38271604938273,29.38271604938273,11.742671009771984,3.257328990228016,历史1/1次成功; 当前距低点3.26%; 最新日涨幅-0.94%; 状态bottom_area; 底部未确认
8,78.96558241682274,72.33375432692104,300963,中洲特材,bottom_area,2025-08-12,19.54,2025-08-01,19.01,2.7880063124671097,6.049447659126767,27.93783169067475,False,-1.4127,4.8991,1,1,1,100.0,20.163487738419626,20.163487738419626,12.21199368753289,2.7880063124671097,历史1/1次成功; 当前距低点2.79%; 最新日涨幅-1.41%; 状态bottom_area; 底部未确认
9,78.0241892280919,69.45244331196263,300651,金陵体育,bottom_area,2025-08-12,21.03,2025-08-08,20.77,1.2518054886856118,2.888781896966786,30.651085141903174,False,-1.2676,6.4754,3,5,3,60.0,22.508386162181807,25.720461095100855,13.748194511314388,1.2518054886856118,历史3/5次成功; 当前距低点1.25%; 最新日涨幅-1.27%; 状态bottom_area; 底部未确认
10,75.68445234321817,71.05583866568996,000999,华润三九,bottom_area,2025-08-12,31.67,2025-07-15,30.42,4.10913872452334,7.133464825772523,30.036798528058867,True,-0.3775,0.9267,1,1,1,100.0,20.293951384963254,20.293951384963254,10.89086127547666,4.10913872452334,历史1/1次成功; 当前距低点4.11%; 最新日涨幅-0.38%; 状态bottom_area; 底部已确认
11,75.14079470267194,70.88245698279312,603928,兴业股份,bottom_area,2025-08-12,15.78,2025-08-01,15.12,4.3650793650793664,5.75396825396826,32.16689098250337,False,-0.3788,3.1069,1,1,1,100.0,31.69267707082834,31.69267707082834,10.634920634920633,4.3650793650793664,历史1/1次成功; 当前距低点4.37%; 最新日涨幅-0.38%; 状态bottom_area; 底部未确认
12,73.14876834060753,66.86465243269599,002658,雪迪龙,bottom_area,2025-08-12,8.06,2025-08-01,7.85,2.6751592356688008,3.1847133757961785,31.50087260034905,False,-0.1239,2.5831,2,3,2,66.66666666666666,28.265316254592392,34.81481481481481,12.3248407643312,2.6751592356688008,历史2/3次成功; 当前距低点2.68%; 最新日涨幅-0.12%; 状态bottom_area; 底部未确认
13,71.74268961006257,68.11737813475311,300069,金利华电,bottom_area,2025-08-12,22.66,2025-08-12,21.64,4.713493530499074,7.208872458410346,29.671758206044846,False,-5.1089,34.0127,1,1,1,100.0,31.312598840274124,31.312598840274124,10.286506469500925,4.713493530499074,历史1/1次成功; 当前距低点4.71%; 最新日涨幅-5.11%; 状态bottom_area; 底部未确认
14,67.48557139429667,61.13467775021001,605099,共创草坪,bottom_area,2025-08-12,30.77,2025-08-08,30.11,2.191962803055464,3.819329126536042,27.93202489229297,False,-0.2593,0.8159,1,2,1,50.0,44.31372549019606,44.31372549019606,12.808037196944536,2.191962803055464,历史1/2次成功; 当前距低点2.19%; 最新日涨幅-0.26%; 状态bottom_area; 底部未确认
15,62.402566229112495,56.91563689997319,603022,新通联,bottom_area,2025-08-12,10.43,2025-07-24,10.17,2.556538839724678,3.539823008849552,32.33532934131736,False,-0.572,2.4358,1,2,1,50.0,26.099706744868023,26.099706744868023,12.443461160275321,2.556538839724678,历史1/2次成功; 当前距低点2.56%; 最新日涨幅-0.57%; 状态bottom_area; 底部未确认
16,62.342870289063384,55.13147629194709,000558,天府文旅,bottom_area,2025-08-12,5.6,2025-08-12,5.55,0.9009009009008978,3.2432432432432545,29.83565107458913,False,-2.0979,14.7757,2,5,2,40.0,24.384571752694278,30.23255813953488,14.099099099099103,0.9009009009008978,历史2/5次成功; 当前距低点0.90%; 最新日涨幅-2.10%; 状态bottom_area; 底部未确认
17,58.84777202140471,51.3781016617791,002775,文科股份,bottom_area,2025-08-12,4.66,2025-08-12,4.65,0.2150537634408556,3.6559139784946217,27.34375,False,-1.8947,14.5885,1,3,1,33.33333333333333,26.909090909090917,26.909090909090917,14.784946236559144,0.2150537634408556,历史1/3次成功; 当前距低点0.22%; 最新日涨幅-1.89%; 状态bottom_area; 底部未确认
