rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,91.39117087798114,84.77810481854146,300563,神宇股份,bottom_area,2025-11-20,36.28,2025-11-19,35.9,1.0584958217270266,4.6518105849582225,30.29126213592233,False,-0.0551,2.1957,4,4,4,100.0,15.86814673160799,20.477137176938378,8.941504178272975,1.0584958217270266,历史4/4次成功; 当前距低点1.06%; 最新日涨幅-0.06%; 状态bottom_area; 底部未确认
2,87.87256367933547,85.65559532962746,002678,珠江钢琴,bottom_area,2025-11-20,5.1,2025-11-03,4.92,3.658536585365848,7.113821138211375,29.613733905579405,True,0.7905,1.1137,4,4,4,100.0,20.79063841000859,35.5191256830601,6.341463414634152,3.658536585365848,历史4/4次成功; 当前距低点3.66%; 最新日涨幅0.79%; 状态bottom_area; 底部已确认
3,85.09799668756979,78.21343046944207,001209,洪兴股份,bottom_area,2025-11-20,21.04,2025-11-20,20.92,0.5736137667303892,2.5334608030592616,32.18800648298217,False,-0.473,4.6481,4,4,4,100.0,14.469192782727669,21.88679245283018,9.42638623326961,0.5736137667303892,历史4/4次成功; 当前距低点0.57%; 最新日涨幅-0.47%; 状态bottom_area; 底部未确认
4,84.94414406904755,77.22194915367959,600403,大有能源,bottom_area,2025-11-20,8.31,2025-11-20,8.31,0.0,9.26594464500601,30.749999999999993,False,-9.9675,4.6362,4,4,4,100.0,24.58037179397625,37.18411552346569,10.0,0.0,历史4/4次成功; 当前距低点0.00%; 最新日涨幅-9.97%; 状态bottom_area; 底部未确认
5,84.50970404790209,81.8576191894284,002062,宏润建设,bottom_area,2025-11-20,9.63,2025-11-18,9.32,3.326180257510735,7.081545064377684,27.751937984496124,False,0.0,2.1012,3,3,3,100.0,22.15758159437036,33.22683706070288,6.673819742489265,3.326180257510735,历史3/3次成功; 当前距低点3.33%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
6,83.94612604511208,76.48697265877094,000661,长春高新,bottom_area,2025-11-20,101.69,2025-11-19,101.57,0.11814512159102546,1.3389780446982513,28.355787543203792,False,-0.6157,0.9658,3,3,3,100.0,16.270664172034742,25.03526756324649,9.881854878408976,0.11814512159102546,历史3/3次成功; 当前距低点0.12%; 最新日涨幅-0.62%; 状态bottom_area; 底部未确认
7,83.06169085621522,76.14264207624355,002664,信质集团,bottom_area,2025-11-20,23.0,2025-11-20,22.9,0.4366812227074298,3.056768558951978,27.53164556962026,False,-1.1603,1.0724,2,2,2,100.0,34.990727225895085,52.526315789473685,9.56331877729257,0.4366812227074298,历史2/2次成功; 当前距低点0.44%; 最新日涨幅-1.16%; 状态bottom_area; 底部未确认
8,82.64435416794471,75.73790467839075,002338,奥普光电,bottom_area,2025-11-20,50.05,2025-11-20,49.84,0.421348314606729,2.8290529695024005,29.15422885572138,False,-1.3015,1.4964,3,3,3,100.0,15.960101267172554,20.995288574793882,9.578651685393272,0.421348314606729,历史3/3次成功; 当前距低点0.42%; 最新日涨幅-1.30%; 状态bottom_area; 底部未确认
9,82.29143184821096,75.11100840336134,688588,凌志软件,bottom_area,2025-11-20,14.31,2025-11-20,14.28,0.21008403361345335,4.271708683473398,28.6,False,-2.8513,1.9501,1,1,1,100.0,43.33333333333334,43.33333333333334,9.789915966386548,0.21008403361345335,历史1/1次成功; 当前距低点0.21%; 最新日涨幅-2.85%; 状态bottom_area; 底部未确认
10,81.53455780462284,74.96848368461089,603809,豪能股份,bottom_area,2025-11-20,11.84,2025-11-20,11.77,0.5947323704333074,3.2285471537808053,30.764705882352946,False,-1.8242,2.0577,2,2,2,100.0,30.615448866660387,31.661442006269603,9.405267629566694,0.5947323704333074,历史2/2次成功; 当前距低点0.59%; 最新日涨幅-1.82%; 状态bottom_area; 底部未确认
11,80.30702468046512,73.75477789691251,300611,美力科技,bottom_area,2025-11-20,26.34,2025-11-20,26.2,0.5343511450381702,3.0534351145038197,29.81516206804179,False,-1.089,2.9032,2,2,2,100.0,23.34999197634166,35.911602209944746,9.465648854961831,0.5343511450381702,历史2/2次成功; 当前距低点0.53%; 最新日涨幅-1.09%; 状态bottom_area; 底部未确认
12,79.8884634423878,72.7169074547221,688050,爱博医疗,bottom_area,2025-11-20,61.0,2025-11-20,60.96,0.06561679790026106,2.3458005249343827,27.28140283907909,False,-2.1024,1.4819,2,2,2,100.0,12.024267494272554,12.90770757525636,9.934383202099738,0.06561679790026106,历史2/2次成功; 当前距低点0.07%; 最新日涨幅-2.10%; 状态bottom_area; 底部未确认
13,79.81759136660779,74.25304347826084,600094,大名城,bottom_area,2025-11-20,4.19,2025-11-20,4.14,1.2077294685990512,3.864734299516912,30.067567567567572,False,-1.1792,1.7274,2,3,2,66.66666666666666,51.71595225176342,87.28070175438596,8.792270531400948,1.2077294685990512,历史2/3次成功; 当前距低点1.21%; 最新日涨幅-1.18%; 状态bottom_area; 底部未确认
