rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,92.89752793856108,87.97037520504657,688315,诺禾致源,bottom_area,2024-01-29,17.34,2024-01-24,17.14,1.1668611435239165,7.4679113185530985,27.24957555178268,True,-2.0339,1.2868,3,3,3,100.0,41.83235813054352,86.2826357231662,6.833138856476085,1.1668611435239165,历史3/3次成功; 当前距低点1.17%; 最新日涨幅-2.03%; 状态bottom_area; 底部已确认
2,88.54931430370048,84.08151428277097,603226,菲林格尔,bottom_area,2024-01-29,5.42,2024-01-24,5.35,1.3084112149532765,7.850467289719626,29.419525065963064,True,-3.9007,1.2073,4,4,4,100.0,16.208020714325002,20.479302832244016,6.691588785046723,1.3084112149532765,历史4/4次成功; 当前距低点1.31%; 最新日涨幅-3.90%; 状态bottom_area; 底部已确认
3,88.16641588596872,83.59633222957515,688320,禾川科技,confirmed_rebound,2024-01-29,29.56,2024-01-24,29.2,1.2328767123287652,8.184931506849317,29.074568860820992,True,-3.4933,1.6165,4,4,4,100.0,22.888662009057757,38.29133374308544,6.767123287671235,1.2328767123287652,历史4/4次成功; 当前距低点1.23%; 最新日涨幅-3.49%; 状态confirmed_rebound; 底部已确认
4,87.42373261355795,83.82506449807616,002600,领益智造,confirmed_rebound,2024-01-29,5.05,2024-01-22,4.96,1.8145161290322551,9.677419354838717,27.272727272727277,True,-2.5097,0.6657,4,4,4,100.0,21.03312511972955,38.381201044386415,6.1854838709677455,1.8145161290322551,历史4/4次成功; 当前距低点1.81%; 最新日涨幅-2.51%; 状态confirmed_rebound; 底部已确认
5,85.3205727561112,79.20406467240807,688037,芯源微,bottom_area,2024-01-29,97.43,2024-01-29,97.3,0.1336073997944601,6.351490236382331,29.68637086284145,False,-3.2665,2.1167,5,5,5,100.0,24.616610451287148,34.08866995073892,7.866392600205541,0.1336073997944601,历史5/5次成功; 当前距低点0.13%; 最新日涨幅-3.27%; 状态bottom_area; 底部未确认
6,84.2016966971129,80.898986503706,002536,飞龙股份,confirmed_rebound,2024-01-29,11.15,2024-01-24,10.94,1.9195612431444318,8.135283363802564,27.212242182302067,True,-3.6301,2.2411,3,3,3,100.0,33.47089321545858,55.505617977528075,6.0804387568555684,1.9195612431444318,历史3/3次成功; 当前距低点1.92%; 最新日涨幅-3.63%; 状态confirmed_rebound; 底部已确认
7,83.86067862859026,78.21507894531912,300604,长川科技,bottom_area,2024-01-29,26.6,2024-01-29,26.5,0.3773584905660431,7.471698113207549,31.701030927835046,False,-4.5911,3.222,4,4,4,100.0,22.28739948284786,36.28082648300379,7.622641509433957,0.3773584905660431,历史4/4次成功; 当前距低点0.38%; 最新日涨幅-4.59%; 状态bottom_area; 底部未确认
8,83.20897122095424,77.2534337804268,603305,旭升集团,bottom_area,2024-01-29,14.3,2024-01-29,14.28,0.14005602240897305,3.7815126050420234,29.09632571996028,False,-1.9877,0.9959,3,3,3,100.0,20.660008126447625,32.41061130334487,7.859943977591027,0.14005602240897305,历史3/3次成功; 当前距低点0.14%; 最新日涨幅-1.99%; 状态bottom_area; 底部未确认
9,82.91283813519627,79.75497233854834,300607,拓斯达,confirmed_rebound,2024-01-29,11.84,2024-01-24,11.61,1.9810508182601243,8.699397071490093,30.520646319569128,True,-3.3469,1.9159,3,3,3,100.0,28.074022603125986,45.9265890778872,6.018949181739876,1.9810508182601243,历史3/3次成功; 当前距低点1.98%; 最新日涨幅-3.35%; 状态confirmed_rebound; 底部已确认
10,82.80079080100198,78.7855283413707,688176,亚虹医药,confirmed_rebound,2024-01-29,7.88,2024-01-24,7.77,1.4157014157014198,8.751608751608748,28.84615384615385,True,-2.9557,2.3226,2,2,2,100.0,22.38348155467721,25.473484848484844,6.58429858429858,1.4157014157014198,历史2/2次成功; 当前距低点1.42%; 最新日涨幅-2.96%; 状态confirmed_rebound; 底部已确认
11,82.65653495576359,78.74721606817592,688321,微芯生物,bottom_area,2024-01-29,17.13,2024-01-24,16.88,1.481042654028436,7.760663507109018,29.987557030277895,True,-2.5597,0.5407,2,2,2,100.0,12.763404942799756,15.754082612872244,6.518957345971564,1.481042654028436,历史2/2次成功; 当前距低点1.48%; 最新日涨幅-2.56%; 状态bottom_area; 底部已确认
