rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,90.14104686478842,80.92463060180506,000426,兴业银锡,bottom_area,2021-10-13,7.74,2021-09-29,7.61,1.708278580814716,4.862023653088043,30.628988149498632,False,0.5195,0.9396,1,1,1,100.0,30.64250411861613,30.64250411861613,13.291721419185285,1.708278580814716,历史1/1次成功; 当前距低点1.71%; 最新日涨幅0.52%; 状态bottom_area; 底部未确认
2,86.79499363940229,79.54044981677247,603113,金能科技,bottom_area,2021-10-13,16.09,2021-10-13,15.65,2.811501597444086,3.450479233226843,29.977628635346758,False,1.195,1.3237,2,2,2,100.0,20.057384187876238,20.395634379263292,12.188498402555915,2.811501597444086,历史2/2次成功; 当前距低点2.81%; 最新日涨幅1.20%; 状态bottom_area; 底部未确认
3,86.2145111008179,79.12329636968698,002833,弘亚数控,bottom_area,2021-10-13,30.98,2021-10-13,30.11,2.8894055131185685,4.350714048488881,30.86107921928817,False,0.5191,1.8047,1,1,1,100.0,35.43624161073825,35.43624161073825,12.11059448688143,2.8894055131185685,历史1/1次成功; 当前距低点2.89%; 最新日涨幅0.52%; 状态bottom_area; 底部未确认
4,85.21137586485413,77.361462734447,300516,久之洋,bottom_area,2021-10-13,29.24,2021-09-30,28.58,2.3093072078376493,6.0531840447865655,27.590575120344567,False,1.2115,0.3796,1,1,1,100.0,18.853135313531354,18.853135313531354,12.69069279216235,2.3093072078376493,历史1/1次成功; 当前距低点2.31%; 最新日涨幅1.21%; 状态bottom_area; 底部未确认
5,84.72762229155502,78.24773198642889,000612,焦作万方,bottom_area,2021-10-13,8.0,2021-10-13,7.75,3.225806451612903,4.12903225806452,29.41712204007286,False,0.6289,2.2235,2,2,2,100.0,18.185863957560837,20.790629575402633,11.774193548387096,3.225806451612903,历史2/2次成功; 当前距低点3.23%; 最新日涨幅0.63%; 状态bottom_area; 底部未确认
6,84.14334871230315,77.93469799370155,688355,明志科技,bottom_area,2021-10-13,24.76,2021-10-12,23.95,3.382045929018799,4.759916492693113,31.23743898937697,False,2.1874,1.9097,1,1,1,100.0,35.08474576271185,35.08474576271185,11.6179540709812,3.382045929018799,历史1/1次成功; 当前距低点3.38%; 最新日涨幅2.19%; 状态bottom_area; 底部未确认
7,83.80738121198928,77.01967595680338,300437,清水源,bottom_area,2021-10-13,16.68,2021-10-13,16.2,2.962962962962966,5.432098765432094,29.195804195804197,False,-3.5281,15.0553,3,3,3,100.0,24.382965120209345,30.330330330330323,12.037037037037033,2.962962962962966,历史3/3次成功; 当前距低点2.96%; 最新日涨幅-3.53%; 状态bottom_area; 底部未确认
8,82.80634847795169,75.73143783783787,000789,万年青,bottom_area,2021-10-13,12.54,2021-10-13,12.21,2.7027027027026884,6.388206388206383,27.79420461265523,False,-3.3153,3.1778,1,1,1,100.0,47.599999999999994,47.599999999999994,12.29729729729731,2.7027027027026884,历史1/1次成功; 当前距低点2.70%; 最新日涨幅-3.32%; 状态bottom_area; 底部未确认
9,81.3801090276176,76.6720952835658,300447,全信股份,bottom_area,2021-10-13,17.23,2021-09-29,16.52,4.297820823244558,9.564164648910422,28.17391304347826,True,1.592,1.7685,1,1,1,100.0,30.328638497652584,30.328638497652584,10.702179176755442,4.297820823244558,历史1/1次成功; 当前距低点4.30%; 最新日涨幅1.59%; 状态bottom_area; 底部已确认
10,81.05003937238459,73.4396732342829,600409,三友化工,bottom_area,2021-10-13,10.2,2021-10-13,9.98,2.2044088176352594,6.012024048096189,30.01402524544179,False,-2.7645,3.4887,1,1,1,100.0,18.95551257253386,18.95551257253386,12.79559118236474,2.2044088176352594,历史1/1次成功; 当前距低点2.20%; 最新日涨幅-2.76%; 状态bottom_area; 底部未确认
11,77.75138167468144,73.52958719460825,001212,中旗新材,bottom_area,2021-10-13,31.35,2021-10-12,30.0,4.500000000000004,6.733333333333344,32.65993265993266,False,0.9012,2.9646,1,1,1,100.0,25.105307497893843,25.105307497893843,10.499999999999995,4.500000000000004,历史1/1次成功; 当前距低点4.50%; 最新日涨幅0.90%; 状态bottom_area; 底部未确认
12,72.18057096281228,68.0367822098976,605169,洪通燃气,bottom_area,2021-10-13,18.34,2021-10-13,17.58,4.3230944254835135,11.14903299203641,27.59472817133444,False,-5.3175,21.8512,1,1,1,100.0,26.09375,26.09375,10.676905574516486,4.3230944254835135,历史1/1次成功; 当前距低点4.32%; 最新日涨幅-5.32%; 状态bottom_area; 底部未确认
13,70.52665292088652,66.51847457627119,300699,光威复材,bottom_area,2021-10-13,61.57,2021-10-13,59.0,4.355932203389831,8.779661016949165,32.14491086831512,False,-4.7494,1.8993,1,1,1,100.0,18.33333333333333,18.33333333333333,10.644067796610168,4.355932203389831,历史1/1次成功; 当前距低点4.36%; 最新日涨幅-4.75%; 状态bottom_area; 底部未确认
