rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,83.18755642329482,78.82250177043882,600009,上海机场,bottom_area,2021-07-28,38.86,2021-07-28,38.4,1.197916666666669,3.9583333333333415,27.34153263954589,False,-1.8439,1.4316,2,2,2,100.0,18.89113855074634,20.250284414106932,6.80208333333333,1.197916666666669,历史2/2次成功; 当前距低点1.20%; 最新日涨幅-1.84%; 状态bottom_area; 底部未确认
2,80.75517358871627,76.59448548812667,000037,深南电A,bottom_area,2021-07-28,7.29,2021-07-28,7.2,1.249999999999998,6.388888888888888,31.753554502369667,False,-4.9544,1.4028,1,1,1,100.0,34.43271767810025,34.43271767810025,6.750000000000002,1.249999999999998,历史1/1次成功; 当前距低点1.25%; 最新日涨幅-4.95%; 状态bottom_area; 底部未确认
3,77.43908278653683,73.23052760728454,603236,移远通信,bottom_area,2021-07-28,126.48,2021-07-28,125.11,1.095036367996167,6.618176005115488,31.303536130024163,False,-4.3846,4.1975,1,1,1,100.0,14.447368421052637,14.447368421052637,6.904963632003833,1.095036367996167,历史1/1次成功; 当前距低点1.10%; 最新日涨幅-4.38%; 状态bottom_area; 底部未确认
4,76.39898083118419,72.91415465268676,000860,顺鑫农业,bottom_area,2021-07-28,31.0,2021-07-28,30.52,1.572739187418088,5.373525557011786,30.128205128205128,False,-2.8518,2.0992,1,1,1,100.0,8.387096774193555,8.387096774193555,6.4272608125819115,1.572739187418088,历史1/1次成功; 当前距低点1.57%; 最新日涨幅-2.85%; 状态bottom_area; 底部未确认
5,75.66903925561343,72.43150348542966,603232,格尔软件,bottom_area,2021-07-28,14.73,2021-07-28,14.48,1.7265193370165748,4.972375690607727,28.245787908820613,False,-3.0921,1.3124,1,1,1,100.0,17.89229878401853,17.89229878401853,6.273480662983426,1.7265193370165748,历史1/1次成功; 当前距低点1.73%; 最新日涨幅-3.09%; 状态bottom_area; 底部未确认
6,75.33551161315106,71.59127081507451,300669,沪宁股份,bottom_area,2021-07-28,16.52,2021-07-28,16.3,1.3496932515337352,5.521472392638028,29.680759275237268,False,-4.065,1.2925,1,1,1,100.0,8.75576036866358,8.75576036866358,6.650306748466265,1.3496932515337352,历史1/1次成功; 当前距低点1.35%; 最新日涨幅-4.07%; 状态bottom_area; 底部未确认
7,74.71778841143549,72.51425447694236,000034,神州数码,bottom_area,2021-07-28,16.77,2021-07-28,16.37,2.4434941967012738,3.848503359804514,29.07279029462737,False,-1.4109,1.4807,1,1,1,100.0,16.910866910866908,16.910866910866908,5.556505803298727,2.4434941967012738,历史1/1次成功; 当前距低点2.44%; 最新日涨幅-1.41%; 状态bottom_area; 底部未确认
8,74.4996602483388,72.07914897561878,601717,中创智领,bottom_area,2021-07-28,9.41,2021-07-28,9.2,2.282608695652183,7.065217391304353,28.626842513576424,False,-4.7571,2.4383,1,1,1,100.0,22.814498933901906,22.814498933901906,5.717391304347817,2.282608695652183,历史1/1次成功; 当前距低点2.28%; 最新日涨幅-4.76%; 状态bottom_area; 底部未确认
9,73.79689489673552,70.01602931379082,001896,豫能控股,confirmed_rebound,2021-07-28,6.4,2021-07-28,6.32,1.2658227848101276,9.335443037974681,27.77142857142857,False,-7.5145,2.3921,1,1,1,100.0,9.473684210526324,9.473684210526324,6.734177215189872,1.2658227848101276,历史1/1次成功; 当前距低点1.27%; 最新日涨幅-7.51%; 状态confirmed_rebound; 底部未确认
10,73.71806267804692,68.65543468754333,605090,九丰能源,bottom_area,2021-07-28,26.58,2021-07-28,26.5,0.30188679245282374,3.1698113207547167,31.753798609322686,False,-2.0273,3.5077,1,1,1,100.0,9.751271905031079,9.751271905031079,7.698113207547176,0.30188679245282374,历史1/1次成功; 当前距低点0.30%; 最新日涨幅-2.03%; 状态bottom_area; 底部未确认
11,73.36631556920419,70.99453030091134,002765,蓝黛科技,bottom_area,2021-07-28,6.25,2021-07-28,6.11,2.2913256955810093,7.36497545008182,28.117647058823525,False,-4.8706,3.2975,1,1,1,100.0,17.09006928406467,17.09006928406467,5.708674304418991,2.2913256955810093,历史1/1次成功; 当前距低点2.29%; 最新日涨幅-4.87%; 状态bottom_area; 底部未确认
