rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_top_date,current_top_price,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,close_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,history_success_dates,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,83.14327854595221,73.69129646224582,301687,新广益,bottom_area,2026-01-12,64.71,2026-01-07,88.3,2026-01-12,62.6,3.3706070287539815,6.1341853035143705,29.10532276330691,26.71574178935448,False,-0.9035222052067415,33.55273148300841,1,1,1,100.0,34.60365853658537,34.60365853658537,2026-01-05,16.62939297124602,3.3706070287539815,历史1/1次成功; 当前距低点3.37%; 最新日涨幅-0.90%; 状态bottom_area; 底部未确认
2,68.55924242575435,61.03411622633528,601566,九牧王,bottom_area,2026-01-12,13.48,2025-12-22,18.68,2026-01-06,13.01,3.6126056879323647,6.302843966179863,30.35331905781585,27.8372591006424,False,-1.5339663988312546,5.910338793980712,3,6,3,50.0,27.85407093989817,38.914728682170555,2015-08-26; 2024-09-18; 2025-11-27,16.387394312067638,3.6126056879323647,历史3/6次成功; 当前距低点3.61%; 最新日涨幅-1.53%; 状态bottom_area; 底部未确认
3,67.30475216864473,60.98936112141662,000998,隆平高科,bottom_area,2026-01-12,9.58,2025-04-09,12.99,2025-12-17,9.16,4.5851528384279465,4.5851528384279465,29.484218629715166,26.250962278675903,False,0.3141361256544517,1.463751101372906,5,11,5,45.45454545454545,26.910364380916818,32.57055682684973,2008-03-18; 2008-04-03; 2008-06-11; 2008-08-13; 2015-06-30,15.414847161572053,4.5851528384279465,历史5/11次成功; 当前距低点4.59%; 最新日涨幅0.31%; 状态bottom_area; 底部未确认
4,57.84069589381436,52.712974626632246,600104,上汽集团,bottom_area,2026-01-12,15.42,2025-08-25,20.63,2025-11-21,14.7,4.897959183673474,8.299319727891161,28.74454677653902,25.254483761512358,True,0.12987012987013546,0.5369187477205314,2,9,2,22.22222222222222,27.391215106732346,30.357142857142854,2015-08-25; 2025-04-07,15.102040816326529,4.897959183673474,历史2/9次成功; 当前距低点4.90%; 最新日涨幅0.13%; 状态bottom_area; 底部已确认
